카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
중고폰/모바일_태블릿,아이패드프로 M4 11인치 1TB 스페이스그레이 WIFI+애플펜슬프로,"1,750,000",SALE,중고나라 회원,False,True,kkkkhhgb,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993705,1107993705
중고폰/모바일_태블릿,서피스프로6 i7/16g/500g,"430,000",SALE,중고나라 회원,False,True,내낙ㄷ,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993626,1107993626
중고폰/모바일_태블릿,갤럭시탭S10 플러스 256기가 와이파이 팝니다,"800,000",ESCROW,중고나라 회원,True,True,xjdbsjw,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993397,1107993397
중고폰/모바일_태블릿,갤럭시탭s7 lte 512판매합니다.,"550,000",SALE,중고나라 회원,False,True,함박초롱,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993112,1107993112
중고폰/모바일_태블릿,갤럭시탭A with s pen 10.1 LTE (P585) S펜포함 정상작동,"41,000",SALE,중고나라 회원,False,True,올어바웃중고디지털,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992962,1107992962
중고폰/모바일_태블릿,아이패드 미니5 셀룰러 실버,"280,000",ESCROW,본인인증 회원,True,True,해피니s,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992651,1107992651
중고폰/모바일_태블릿,갤럭시탭S4 64G (T830) S급 무잔상 12만,"120,000",SALE,중고나라 회원,False,True,올어바웃중고디지털,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992644,1107992644
중고폰/모바일_태블릿,갤럭시탭A 10.5 2018 LTE (T595) A급 5.3만 팔아요,"53,000",SALE,중고나라 회원,False,True,올어바웃중고디지털,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992632,1107992632
중고폰/모바일_태블릿,LG G패드5 10.1 (T605) A급 C타입충전 정상작동 5.8만,"60,000",SALE,중고나라 회원,False,True,중고태블릿의모든것,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992583,1107992583
중고폰/모바일_태블릿,갤럭시탭A 10.1 2016 (T580) A급 4만 팔아요.,"40,000",SALE,중고나라 회원,False,True,중고태블릿의모든것,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992525,1107992525
중고폰/모바일_태블릿,갤럭시탭A8 10.5 (X200) S급 11.5만 팔아요.,"115,000",SALE,중고나라 회원,False,True,중고태블릿의모든것,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992510,1107992510
중고폰/모바일_태블릿,갤럭시탭A with S pen 10.1 (P580) A급 4.3만,"43,000",SALE,중고나라 회원,False,True,중고태블릿의모든것,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992496,1107992496
중고폰/모바일_태블릿,로지텍 콤보터치 프로11인치,"80,000",SALE,인증+안전거래 회원,False,True,이뿌니짱키,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992492,1107992492
중고폰/모바일_태블릿,갤럭시노트10.1 2014 LTE 32G (P605) A급 2.2만원 팔아요.,"22,000",SALE,중고나라 회원,False,True,중고태블릿의모든것,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992472,1107992472
중고폰/모바일_태블릿,애플 아이패드 에어 11인치 M3 256GB WIFI 스페이스 그레이 + 펜슬 프로,"12,345",SALE,본인인증 회원,False,True,ekwjdflwnd,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992433,1107992433
중고폰/모바일_태블릿,오닉스 포크6 화이트 판매,"159,000",SALE,인증+안전거래 회원,False,True,dj9128,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992423,1107992423
중고폰/모바일_태블릿,오닉스 북스 탭x,"650,000",SALE,중고나라 회원,False,True,시바독,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991675,1107991675
중고폰/모바일_태블릿,엘가토 페이스캠 급처!,"45,000",SALE,중고나라 회원,False,True,holnet,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991532,1107991532
중고폰/모바일_태블릿,아이패드 프로11 4세대 셀룰러 모델 판매합니다,"750,000",SALE,중고나라 회원,False,True,gsam,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991046,1107991046
중고폰/모바일_태블릿,갤럭시탭 s10 울트라 256gb wifi  판매합니다 4월 24일 구매 삼케플 가입가능,"1,000,000",RESERVATION,본인인증 회원,False,True,초록돌이,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990839,1107990839
중고폰/모바일_태블릿,크레마 사운드업(+크레마클럽 6개월 이용권),"55,000",ESCROW,인증+안전거래 회원,True,True,해커스커스,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990348,1107990348
중고폰/모바일_태블릿,갤럭시탭S9 울트라 512GB wifi S급,"900,000",SALE,중고나라 회원,False,True,서브유정45,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989865,1107989865
중고폰/모바일_태블릿,오닉스북스 고7 Go7 2세대 흑백 블랙기기 판매합디다.,"290,000",SOLD_OUT,인증+안전거래 회원,False,False,고기몽둥이,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989706,1107989706
중고폰/모바일_태블릿,국내 정발 화웨이 미디어패드 T5 팝니다.,"50,000",ESCROW,인증+안전거래 회원,True,True,초록빛달빛,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989549,1107989549
중고폰/모바일_태블릿,"(애플펜슬 2세대 포함, 배터리 99%) 아이패드 프로 11 2세대 셀룰러 (개별거래가능) 아이패드 프로 11인치 2세대","720,000",SALE,인증+안전거래 회원,False,True,qkfkatnf,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989031,1107989031
중고폰/모바일_태블릿,도시바 윈도우 태블릿 WT310 11.6인치,"120,000",SALE,본인인증 회원,False,True,착니기,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989027,1107989027
중고폰/모바일_태블릿,아이패드 프로 10.5 로즈골드 셀룰러 256GB (A1709) + 애플펜슬 1세대,"300,000",SALE,본인인증 회원,False,True,PrideKU,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988500,1107988500
