카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
카메라_메모리/배터리/가방,퓨어클리어 en-el15 듀얼충전기,"5,000",SALE,중고나라 회원,False,True,애드문드,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991442,1107991442
카메라_메모리/배터리/가방,시루이 어반워크 BP15 카메라가방 카메라백팩,"70,000",SALE,중고나라 회원,False,True,theyongworld,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990586,1107990586
카메라_메모리/배터리/가방,"캐논 정품 LP-E6 , LP-E12 , LP-E5 , 니콘  , 소니 NP-QM71D 정품배터리 판매합니다.","2,000",SALE,◆셀러회원◆,False,True,onmaket,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990395,1107990395
카메라_메모리/배터리/가방,픽디자인 테크파우치,"50,000",SALE,중고나라 회원,False,True,D999,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989233,1107989233
카메라_메모리/배터리/가방,3가지중선택 아티산아티스트 정품 카메라백 빅사이즈 루이지 카메라 스트랩 보스톤백,"12,345",SALE,중고나라 회원,False,True,hyuny3227632,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988654,1107988654
카메라_메모리/배터리/가방,LP-E19 캐논 배터리 팜 ( eos r1 / eos r3 사용 가능 ),"70,000",SALE,중고나라 회원,False,True,ByJia486,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988062,1107988062
카메라_메모리/배터리/가방,미개봉 마이크로 SD 샌디스크 128GB 2개 일괄,"30,000",ESCROW,인증+안전거래 회원,True,True,FPW,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107984998,1107984998
카메라_메모리/배터리/가방,미개봉 삼성 마이크로SD 512GB EVO PLUS,"45,000",ESCROW,인증+안전거래 회원,True,True,FPW,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107984779,1107984779
카메라_메모리/배터리/가방,미개봉 삼성 마이크로SD 512GB Pro Plus,"50,000",SOLD_OUT,인증+안전거래 회원,True,False,FPW,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107984486,1107984486
카메라_메모리/배터리/가방,소니 cf a 1tb,"800,000",SOLD_OUT,인증+안전거래 회원,True,False,doo4hee,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107979463,1107979463
카메라_메모리/배터리/가방,펠리칸케이스 1535air 데저트탄 판매,"350,000",SOLD_OUT,본인인증 회원,False,False,ultrarabbit,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107978324,1107978324
카메라_메모리/배터리/가방,시모다 어반 30L 카키,"420,000",SALE,본인인증 회원,False,True,리바우어,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107977308,1107977308
카메라_메모리/배터리/가방,마틴 카메라 백팩,"30,000",SALE,중고나라 회원,False,True,러브러브파라다이스,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107976130,1107976130
카메라_메모리/배터리/가방,스몰리그 니콘 배터리 EN-EL15,"30,000",SALE,중고나라 회원,False,True,tmfrl123,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107975336,1107975336
카메라_메모리/배터리/가방,캐논 EOS 2356 카메라 가방,"30,000",SALE,중고나라 회원,False,True,야천명월,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107969863,1107969863
