카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
카메라_필름/중형카메라,(네이버 안전거래) A급 캐논 뉴오토보이 AIAF 팝니다(신품 2cr5포함),"170,000",SALE,중고나라 회원,False,True,merecee,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993560,1107993560
카메라_필름/중형카메라,[급처] 니콘 FM + 50mm f2 렌즈(가격인하),"220,000",SALE,본인인증 회원,False,True,BrokenMoon,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993538,1107993538
카메라_필름/중형카메라,미놀타 하이메틱 Hi-Matic SD 팝니다 (전용케이스포함),"170,000",SALE,중고나라 회원,False,True,8ROENL,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993435,1107993435
카메라_필름/중형카메라,[Nikon]니콘 줌 310AF 팝니다,"180,000",ESCROW,중고나라 회원,True,True,ermoso,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993259,1107993259
카메라_필름/중형카메라,니콘s3 밀레니엄 복각 (상태좋음),"2,000",SALE,중고나라 회원,False,True,무안하다,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992121,1107992121
카메라_필름/중형카메라,"캐논, 야시카, 미놀타 리플렉스 필름카메라 수집용 여러대 각 1만5천원","15,000",ESCROW,인증+안전거래 회원,True,True,nelagama,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991775,1107991775
카메라_필름/중형카메라,"수집용 필름 카메라 (캐논, 니콘, 올림푸스 , 미놀타 , 펜탁스 , 리코 , 후지 , 삼성 등) 수동카메라 , 자동카메라 여러가지 판매합니다.","2,000",SALE,중고나라 회원,False,True,nhh555,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990854,1107990854
카메라_필름/중형카메라,"코니 FT-1 바디 + 코니카 헥사논 57mm F1.2 , 올림푸스 XA2 , 야시카 YASHICA Mat , 코닥 스테레오 카메라 , 올림푸스 EE-3 등 필름카메라 정리합니다","2,000",SALE,중고나라 회원,False,True,nhh555,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990804,1107990804
카메라_필름/중형카메라,마미야 RZ67 PRO2 + 65mm + 127mm 셋트로 판매합니다.,"2,000",SALE,◆셀러회원◆,False,True,onmaket,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990219,1107990219
카메라_필름/중형카메라,엑시무스 슈퍼헤즈 토이 필름 카메라 (reto 레토 와이드슬림),"35,000",ESCROW,인증+안전거래 회원,True,True,sharmaj,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990213,1107990213
카메라_필름/중형카메라,nikkor 50mm 1.4 수동렌즈 s.c 판매 합니다.,"90,000",SALE,인증+안전거래 회원,False,True,천천히 만든 사진,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988792,1107988792
카메라_필름/중형카메라,올림푸스 뮤 ZOOM(스타일러스 줌) 팝니다,"150,000",ESCROW,중고나라 회원,True,True,ermoso,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988359,1107988359
카메라_필름/중형카메라,캐논 오토보이3((Autoboy3) 팝니다,"160,000",SALE,중고나라 회원,False,True,8ROENL,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988313,1107988313
카메라_필름/중형카메라,캐논 중급기 A-1 (new FD 50.4)팝니다,"300,000",ESCROW,본인인증 회원,True,True,ELParaiso,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988144,1107988144
카메라_필름/중형카메라,미놀타 하이메틱 AF-D,"150,000",SALE,본인인증 회원,False,True,hamin e,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987367,1107987367
카메라_필름/중형카메라,"필름카메라 부품용 또는 장식용 2대 (올림푸스,미놀타)","40,000",SALE,본인인증 회원,False,True,가소롭군,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987315,1107987315
카메라_필름/중형카메라,"캐논eos5(a급,세로그립), 2cr5 전기능ok, 렌즈28~105울트라2(양호), 캐논가방.","305,000",SALE,중고나라 회원,False,True,축복마켓,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107984576,1107984576
카메라_필름/중형카메라,"펜탁스MX(A급), LR44 2개 기능 노출정상, PENTA-M렌즈 50/1:1.4(깨끗함), 케이스.","220,000",SALE,중고나라 회원,False,True,축복마켓,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107984536,1107984536
카메라_필름/중형카메라,"올림푸스TRIP35(A급), 노출정상, 쥬이코렌즈40/1:2'8(깨끗함), 카메라가방.","130,000",SALE,중고나라 회원,False,True,시사이드7,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107984222,1107984222
카메라_필름/중형카메라,"CANON af35m(a급), aa2개기능정상, 캐논렌즈38/1:2.8(깨끗함), 캡, 스트랩, 케이스, 카메라가방.","130,000",SALE,중고나라 회원,False,True,헬로우쥬쥬,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107983572,1107983572
카메라_필름/중형카메라,"라이카R8(A급), CR2 2개기능정상, 라이카렌즈 바리오 28~70(A급), 후레쉬, 스트랩.","940,000",SALE,중고나라 회원,False,True,안녕하세요0327,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107983500,1107983500
카메라_필름/중형카메라,"미놀타X-700(A급),LR44 2개기능 노출정상,MD50/1:1.4(깨끗함),후드,미놀타후레쉬2800AF,케이스.","310,000",SALE,중고나라 회원,False,True,안녕하세요0327,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107983466,1107983466
카메라_필름/중형카메라,"펜탁스 645n 히고 33-55m, 75mm, 120mm 그리고 접사튜브 1.2.3번 하고 220폴더 팝니다","1,700,000",ESCROW,본인인증 회원,True,True,쩌비이,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107983310,1107983310
카메라_필름/중형카메라,인스탁스 와이드 에보 필름카메라 즉석카메라 미사용 새상품,"470,000",SALE,중고나라 회원,False,True,소원을말해봐봐,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107983309,1107983309
카메라_필름/중형카메라,"캐논A-1(AA급,소장급),4LR44 기능노출정상,캐논렌즈FD2개(깨끗함),50/1:1.4, 35~70/1:4, 캐논후레쉬188A,케이스.","370,000",SALE,중고나라 회원,False,True,목포달빛,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107982939,1107982939
카메라_필름/중형카메라,올림푸스 zoom2000,"80,000",SALE,본인인증 회원,False,True,mellow20,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107982869,1107982869
카메라_필름/중형카메라,"상태좋은 펜탁스 MX셋 ,미놀타 필름바디","150,000",SALE,중고나라 회원,False,True,qaz1wdc,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107982779,1107982779
카메라_필름/중형카메라,"정리분양(올림푸스,펜탁스,니코), 정상작동, 상태양호, 신도, 펜탁스, 코니카, 루믹스, 삼성슬립","12,345",SALE,중고나라 회원,False,True,석수동할머니2,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107982638,1107982638
카메라_필름/중형카메라,"올림푸스-PEN EE-3(A급,필름을 2배로 사용하는 하프카메라),세레늄살아있어불올라옴,케이스.","120,000",SALE,중고나라 회원,False,True,석수동할머니2,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107982621,1107982621
카메라_필름/중형카메라,"펜탁스p50(a급)lr44 2개 기능노출정상,펜탁스SMC A렌즈2개(깨끗함),50/1:1.4 70~210/1:4, 스트랩.","150,000",SALE,중고나라 회원,False,True,석수동할머니2,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107982604,1107982604
카메라_필름/중형카메라,"캐논프리마슈퍼115N(오토보이S 미주판),CR123A 기능정상,케이스.","90,000",SALE,중고나라 회원,False,True,꽂지오메가3,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107982544,1107982544
