카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
캠핑_캠핑 가구,세라콜 고기불판 숯불판,"25,000",ESCROW,중고나라 회원,True,True,좋게싸게빨리,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992732,1107992732
캠핑_캠핑 가구,스노우피크 엔트리테이블+igt2유닛테이블(스텐럭제품)+하프사이즈igt테이블,"260,000",ESCROW,본인인증 회원,True,True,태곰이,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991608,1107991608
캠핑_캠핑 가구,카고컨테이너 코지체어 베이지 L사이즈 2개 팝니다,"130,000",ESCROW,중고나라 회원,True,True,욱이1111,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990553,1107990553
캠핑_캠핑 가구,파고라 정자 그늘막 4×3,"500,000",SALE,본인인증 회원,False,True,부엉이uu,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107983763,1107983763
캠핑_캠핑 가구,아베나키 분리형 수납다이,"35,000",SALE,중고나라 회원,False,True,ppaaqq,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107981904,1107981904
캠핑_캠핑 가구,큐브테이블m4,"40,000",SALE,본인인증 회원,False,True,좋은것만보면서,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107978928,1107978928
캠핑_캠핑 가구,WIWO 캔버스 코지체어,"20,000",ESCROW,본인인증 회원,True,True,지노스 지노스,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107978094,1107978094
캠핑_캠핑 가구,헬리녹스 테이블원 신품,"100,000",SALE,중고나라 회원,False,True,봉,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107976542,1107976542
캠핑_캠핑 가구,"피트보스 휴대용 차콜 바베큐 그릴, 옐로우 (두어번 사용, 택포)","69,000",ESCROW,인증+안전거래 회원,True,True,코코아나무씨앗,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107975263,1107975263
캠핑_캠핑 가구,헬리녹스 체어원,"100,000",SALE,중고나라 회원,False,True,봉,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107973250,1107973250
캠핑_캠핑 가구,스노우피크 랙소토 판매.,"600,000",ESCROW,본인인증 회원,True,True,아르슈드,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107968978,1107968978
캠핑_캠핑 가구,노델 디자인 버터플라이 테이블 M + 마운트,"630,000",SALE,본인인증 회원,False,True,킴쪄리,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107966008,1107966008
캠핑_캠핑 가구,캠민 각도조절 릴렉스 체어 팝니다,"40,000",SALE,본인인증 회원,False,True,눈치머슴,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107956372,1107956372
캠핑_캠핑 가구,더캠프 척박스 캠핑테이블,"80,000",ESCROW,중고나라 회원,True,True,고운소리y,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107950862,1107950862
캠핑_캠핑 가구,스타벅스 + 라코스테 와이드 폴딩 체어 접이식 릴렉스 캠핑 의자 그린 새상품 팝니다,"68,000",ESCROW,인증+안전거래 회원,True,True,라이더베이사랑해,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107947939,1107947939
캠핑_캠핑 가구,차박 캠핑카 가구,"290,000",SALE,중고나라 회원,False,True,grand220,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107946248,1107946248
캠핑_캠핑 가구,[부산] 마추픽추 에어텐트 에어쉘터 2회사용,"700,000",SALE,인증+안전거래 회원,False,True,kje1616,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107944865,1107944865
캠핑_캠핑 가구,"밴프 캠핑의자, 휴식용 의자 판매합니다.(1회사용,촬영용)","80,000",ESCROW,본인인증 회원,True,True,학원전,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107943755,1107943755
캠핑_캠핑 가구,"스노우피크 원액션테이블롱(LV-015TR), 원액션로우테이블(LV-100TR) (미사용)","460,000",SALE,본인인증 회원,False,True,소프트타입,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107936609,1107936609
캠핑_캠핑 가구,스노우피크 익스텐션 IGT 테이블 (CK-090),"420,000",SALE,본인인증 회원,False,True,소프트타입,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107935581,1107935581
캠핑_캠핑 가구,고파미르 에어쇼파 SF180 검정색,"300,000",ESCROW,본인인증 회원,True,True,공구장이,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107935224,1107935224
캠핑_캠핑 가구,테르보 마요르 캠핑테이블 1200,"50,000",SALE,중고나라 회원,False,True,ilikllllll,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107933749,1107933749
캠핑_캠핑 가구,캠프빌리지 디렉터스 체어 판매,"40,000",ESCROW,중고나라 회원,True,True,sghfriend,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107932027,1107932027
캠핑_캠핑 가구,우미어스 IGT 폴딩테이블 3유닛 가변다리 전용가방포함,"139,000",SALE,인증+안전거래 회원,False,True,무감1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107930150,1107930150
캠핑_캠핑 가구,(미개봉) 더퍼스트펭귄 미니히터 + 전용가방,"12,345",SALE,중고나라 회원,False,True,공수거,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107921366,1107921366
캠핑_캠핑 가구,캠프밸리 브로몰딩 접이식 벤치 침대 야전침대,"60,000",ESCROW,중고나라 회원,True,True,냥녕녕투,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107916358,1107916358
캠핑_캠핑 가구,코베아 폴딩 캐비넷 캠핑 수납장 정리대,"35,000",SALE,본인인증 회원,False,True,고넘,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107908181,1107908181
캠핑_캠핑 가구,코베아 원액션 AL캠핑테이블,"60,000",SOLD_OUT,본인인증 회원,False,False,dlrkdtnv,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107907973,1107907973
