카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
컴퓨터_PC 주변기기,한글 한컴오피스 2024 정품,"27,000",ESCROW,인증+안전거래 회원,True,True,귀여운예삐짱,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993828,1107993828
컴퓨터_PC 주변기기,"A3 도면 흑백 레이저 프린터, 코니카미놀타 Bizhub 367 복합기, 상태 굿 ~~> 25만","250,000",SALE,본인인증 회원,False,True,egcos,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993787,1107993787
컴퓨터_PC 주변기기,"# 샌디스크 Portable SSD E30 (1TB, BLACK)","90,000",ESCROW,중고나라 회원,True,True,Rowrow,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993574,1107993574
컴퓨터_PC 주변기기,ATK X1 ULTRA 8K,"40,000",SALE,인증+안전거래 회원,False,True,민초부먹펩시,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993529,1107993529
컴퓨터_PC 주변기기,애플 뉴메릭 매직키보드 터치아이디 Touch ID 화이트 숫자키,"100,000",SALE,본인인증 회원,False,True,sweetsocker,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993410,1107993410
컴퓨터_PC 주변기기,브라더 잉크젯 컬러 복합기 DCP-T310,"2,222",SALE,본인인증 회원,False,True,kongjing57463,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993329,1107993329
컴퓨터_PC 주변기기,레이저 데스에더 V3 프로(데브삼) 판매합니다 (미개봉/새제품),"179,000",SALE,본인인증 회원,False,True,IiIlIilliIlIIillIilI,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993268,1107993268
컴퓨터_PC 주변기기,RS8 키보드 베어본,"25,000",SALE,중고나라 회원,False,True,jongTK,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993230,1107993230
컴퓨터_PC 주변기기,RODE Videomic NTG 로데 비디오마이크 NTG 카메라 스마트폰,"160,000",ESCROW,중고나라 회원,True,True,에에에에애애에,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993186,1107993186
컴퓨터_PC 주변기기,pfi 57 잉크 토너,"1,100,000",SALE,본인인증 회원,False,True,bonobonoyaa7,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993118,1107993118
