group,카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
남성패션,남성패션_기타,볼보 웰컴 기프트 여권케이스 카드지갑 키링 USB 메모리 볼펜 풀세트 총 2세트 있습니다,"50,000",SALE,중고나라 회원,False,True,폭신폭신구름쿠키,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208496,1108208496
남성패션,남성패션_기타,롤렉스 데이데이트 블루,"160,000",SALE,중고나라 회원,False,True,SATURN R4,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207449,1108207449
남성패션,남성패션_기타,카딜로310DL 블랙xs 사이즈 및 제로투히어로 익스트림M,"230,000",SALE,중고나라 회원,False,True,안쓰면판매,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207383,1108207383
남성패션,남성패션_기타,시티즌 AT9031-52L,"250,000",SALE,중고나라 회원,False,True,up0417,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206225,1108206225
남성패션,남성패션_기타,[애쉬크로프트] 뿔테 안경테 '류노스케' 47mm (아세테이트 소재 / C13. 데미 카키 & 실버 리벳),"35,000",ESCROW,중고나라 회원,True,True,타꾸더쿠,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206084,1108206084
남성패션,남성패션_기타,라파 클래식 선그라스 팝니다,"69,000",SALE,본인인증 회원,False,True,비타민,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205917,1108205917
남성패션,남성패션_기타,[애쉬크로프트 & 파라노이드] 뿔테 안경테 '콘래드' 46mm (타키론 소재 / C2. 데미 브라운),"55,000",ESCROW,중고나라 회원,True,True,타꾸더쿠,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205887,1108205887
남성패션,남성패션_기타,뉴에라 러닝 제트캡,"30,000",SALE,본인인증 회원,False,True,namjinipang,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205773,1108205773
남성패션,남성패션_기타,잠스트 발목보호대 필르미스타 L 좌우,"45,000",SALE,중고나라 회원,False,True,hakeem_34,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205631,1108205631
남성패션,남성패션_기타,브라운 파워케이스 판매합니다,"50,000",SALE,중고나라 회원,False,True,낙천적인먹보서울,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204946,1108204946
남성패션,남성패션_기타,피엘라벤 모자,"35,000",SALE,중고나라 회원,False,True,seti1522,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204800,1108204800
남성패션,남성패션_기타,[구매] 알렉스 조노 아이 디그 러닝 캡 브라운 색상 모자 구매 삽니다.,"2,000",SALE,중고나라 회원,False,True,HHsung,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202780,1108202780
남성패션,남성패션_기타,(새제품) 클립더문 모자,"33,000",SALE,본인인증 회원,False,True,fullmoon23,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202666,1108202666
남성패션,남성패션_기타,태그호이어 아쿠아레이서 칼리버5 오토매틱 판매 (중고),"1,450,000",ESCROW,인증+안전거래 회원,True,True,우영아부지,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201460,1108201460
남성패션,남성패션_기타,프라그먼트 웨이드 코치 자켓 XL,"220,000",SALE,중고나라 회원,False,True,adfgdsgsdhdsgh,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201115,1108201115
남성패션,남성패션_기타,크롬제작 목걸이,"7,700,000",SALE,중고나라 회원,False,True,쩨쩨DDD,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108200581,1108200581
남성패션,남성패션_기타,"림락 안경 RC 013 10만원에 판매합니다. (케이스, 품질 보증서 등 포함)","100,000",SALE,중고나라 회원,False,True,신비주의,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108200162,1108200162
남성패션,남성패션_기타,메종 마르지엘라 스티치 카드 홀더 블랙 팝니다.,"180,000",SALE,본인인증 회원,False,True,컨디션난죠,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108199828,1108199828
남성패션,남성패션_기타,유니클로 반바지 (카키색),"2,000",SALE,본인인증 회원,False,True,인물극장,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108199803,1108199803
남성패션,남성패션_기타,폴로 랄프로렌 반팔 남방 셔츠 M,"2,000",SALE,본인인증 회원,False,True,인물극장,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108199729,1108199729
남성패션,남성패션_기타,폴로 랄프로렌 반팔 카라티,"2,000",SALE,본인인증 회원,False,True,인물극장,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108199638,1108199638
남성패션,남성패션_기타,타미힐피거 카라티 M,"2,000",SALE,본인인증 회원,False,True,인물극장,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108199551,1108199551
남성패션,남성패션_기타,나이키 드라이핏 에어로스위프트 2인치 러닝 숏팬츠 FN3350-376 새상품,"63,000",SALE,인증+안전거래 회원,False,True,스페살,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108198299,1108198299
남성패션,남성패션_기타,100%(백퍼센트) 노빅,"200,000",SALE,중고나라 회원,False,True,나봉기,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108197511,1108197511
남성패션,남성패션_기타,[새상품] 아크테릭스 메탈 키링,"50,000",ESCROW,인증+안전거래 회원,True,True,진짜신비,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108196847,1108196847
남성패션,남성패션_기타,"지샥 / GA-B2100-1A1DR (터프솔라, 블루투스) + 메탈케이스,밴드 / 구입 : 25년 4월 20일","130,000",SALE,본인인증 회원,False,True,ChulWoo0521,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108195533,1108195533
남성패션,남성패션_기타,그라픽플라스틱 람스 보이 블랙 안경,"80,000",SALE,본인인증 회원,False,True,k그린,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108195074,1108195074
