group,카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
반려동물,반려동물_외출/이동 용품,강아지 고양이 새상품 옷 골라골라 장당 오천원,"5,000",SALE,본인인증 회원,False,True,앨리스x,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208708,1108208708
반려동물,반려동물_외출/이동 용품,중대형견 소프트켄넬 강아지이동장.대형견캔넬. 대형견 하우스 아르르 스몰스터프 러프웨어,"55,000",ESCROW,인증+안전거래 회원,True,True,에이프릴1,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201107,1108201107
반려동물,반려동물_외출/이동 용품,강아지여름옷 새상품3개,"15,000",ESCROW,중고나라 회원,True,True,룽지몬,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108194482,1108194482
반려동물,반려동물_외출/이동 용품,분독 하네스 목줄 3종 플로트 리쉬 일괄 택포,"50,000",ESCROW,본인인증 회원,True,True,미니멀비우는,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108192830,1108192830
반려동물,반려동물_외출/이동 용품,"바비스영 포그니 아토백 ML 사이즈 (구매가격:179,000) 택포 (강아지 이동가방)","85,000",SALE,본인인증 회원,False,True,쿠쿠륭,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108189438,1108189438
반려동물,반려동물_외출/이동 용품,피콜로카네 유모차 무선 선풍기,"25,000",SALE,본인인증 회원,False,True,호기심까까,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108189258,1108189258
반려동물,반려동물_외출/이동 용품,허츠앤베이 옐로우 쿨조끼 (2XL),"20,000",SALE,본인인증 회원,False,True,호기심까까,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108189238,1108189238
반려동물,반려동물_외출/이동 용품,퍼피엔젤 올인원 핑크 레인 코트 (2XL),"40,000",SALE,본인인증 회원,False,True,호기심까까,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108189221,1108189221
반려동물,반려동물_외출/이동 용품,분독 마틴게일 목줄+리쉬,"40,000",SALE,중고나라 회원,False,True,화이트베어s,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108185000,1108185000
반려동물,반려동물_외출/이동 용품,"올치카시트,기저귀,페리스독이동가방,하네스백팩목줄셋트,미용키트,투명울타리 등 여러가지","2,000",ESCROW,인증+안전거래 회원,True,True,올리브,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108182173,1108182173
