group,카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
산업용품,산업용품_농기계/농업용공구,마늘수확기,"2,000,000",SALE,중고나라 회원,False,True,농사신신,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207440,1108207440
산업용품,산업용품_농기계/농업용공구,Ss기 한서,"5,500,000",SALE,중고나라 회원,False,True,농사신신,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207426,1108207426
산업용품,산업용품_농기계/농업용공구,운반차 콤바인,"5,500,000",SALE,중고나라 회원,False,True,농사신신,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207409,1108207409
산업용품,산업용품_농기계/농업용공구,오렉RM98 승용제초기,"4,000,000",ESCROW,본인인증 회원,True,True,아지랭이,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206584,1108206584
산업용품,산업용품_농기계/농업용공구,여주 미니굴삭기 렌탈 임대 이천,"150,000",ESCROW,◆셀러회원◆,True,True,구보다 오렌지건기,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205471,1108205471
산업용품,산업용품_농기계/농업용공구,오렉 승용예초기,"4,000,000",ESCROW,본인인증 회원,True,True,아지랭이,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205169,1108205169
산업용품,산업용품_농기계/농업용공구,ATAGO 아타고 당도계 당도측정기 농도계 Brix 0~53 PAL-1,"100,000",SALE,중고나라 회원,False,True,ummm0729,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204382,1108204382
산업용품,산업용품_농기계/농업용공구,"탑프레쉬 후레쉬업, 신선저장비닐","30,000",SALE,중고나라 회원,False,True,ummm0729,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204139,1108204139
산업용품,산업용품_농기계/농업용공구,과일망 난좌망 쫄망 망패드 과일포장재 에어젠 에어셀,"5,000",SALE,중고나라 회원,False,True,ummm0729,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203468,1108203468
산업용품,산업용품_농기계/농업용공구,대동콤바인5조식 DXM85,"8,300,000",SALE,중고나라 회원,False,True,탱크라이더스,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202643,1108202643
산업용품,산업용품_농기계/농업용공구,SS기 퇴비살포기 거름살포기,"800,000",SALE,중고나라 회원,False,True,탱크라이더스,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202574,1108202574
산업용품,산업용품_농기계/농업용공구,천안 미니굴삭기렌탈 임대 아산,"1,500,000",ESCROW,◆셀러회원◆,True,True,구보다 오렌지건기,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201794,1108201794
산업용품,산업용품_농기계/농업용공구,CCTV모양 태양광 무선 센서등 모션감지 옥외등 (리모컨 포함),"12,000",ESCROW,중고나라 회원,True,True,kygomax,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108200430,1108200430
