group,카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
여행,여행/여가활동_여행/숙박 티켓,25.06.28 로마에서 피렌체가는 이딸로 양도 2장 날짜 시간변경가능,"40,000",ESCROW,본인인증 회원,True,True,665454515,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208517,1108208517
여행,여행/여가활동_여행/숙박 티켓,야놀자 여기어때 80퍼 필요하신분,"80,000",SALE,본인인증 회원,False,True,던힐레지던,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208364,1108208364
여행,여행/여가활동_여행/숙박 티켓,@7월8월~리솜 제천~쏠비치 삼척/양양/진도~소노벨 천안/변산/단양~소노캄 거제/오크밸리,"8,888",SALE,◆셀러회원◆,False,True,범이투어since2021,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208248,1108208248
여행,여행/여가활동_여행/숙박 티켓,천안/소노캄거제 오션어드밴처~홍천오션월드~델피노/변산/삼척 오션플레이(어드벤처~어드밴쳐)~비발디파크,"8,989",SALE,◆셀러회원◆,False,True,범이투어since2021,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208142,1108208142
여행,여행/여가활동_여행/숙박 티켓,홍천 비발디파크6월14토21토28토~7월 초특가숙박+오션월드(워터파크)~소노펠리체/소노빌리지,"7,666",SALE,◆셀러회원◆,False,True,범이투어since2021,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208071,1108208071
여행,여행/여가활동_여행/숙박 티켓,@여름극성수기~속초(고성) 델피노(자쿠지룸)~쏠비치 남해 7월5 그랜드 오픈,"8,787",SALE,◆셀러회원◆,False,True,범이투어since2021,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208022,1108208022
여행,여행/여가활동_여행/숙박 티켓,노블리안 상위객실/프레지덴셜/로얄골드/홍천/델피노/삼척/양양/진도,"2,000",SALE,◆셀러회원◆,False,True,여행투어가이드,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207995,1108207995
여행,여행/여가활동_여행/숙박 티켓,보홀 모달라리조트 8/15~8/17  디럭스방 2개,"640,000",SALE,본인인증 회원,False,True,짱혀니9993,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207573,1108207573
여행,여행/여가활동_여행/숙박 티켓,@6월14토21토28토 쏠비치 삼척/진도/양양~리솜 제천~소노벨 천안~소노캄 거제~파나크 영덕 풀빌라~소노문 해운대 소노벨 단양,"7,777",SALE,◆셀러회원◆,False,True,범이투어since2008,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207515,1108207515
여행,여행/여가활동_여행/숙박 티켓,@7월26토8월2토~15 16~쏠비치~파나크영덕 풀빌라~소노벨 천안/변산/단양~소노캄 거제/오크밸리,"8,888",SALE,◆셀러회원◆,False,True,범이투어since2008,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207408,1108207408
여행,여행/여가활동_여행/숙박 티켓,용평 조식부페~워터파크~용평호텔사우나8천~용평 발왕산 케이블카~루지/마운틴코스터/애니포레/~공룡해양랜드~오션플레이~오션어드벤처(용평 피크아일랜드),"8,888",SALE,◆셀러회원◆,False,True,범이투어since2008,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207366,1108207366
여행,여행/여가활동_여행/숙박 티켓,급!급! 6월15일(일) 비발디파크 객실+조식+오션+액티비티3종 양도요.,"270,000",SALE,중고나라 회원,False,True,고품격인,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207330,1108207330
여행,여행/여가활동_여행/숙박 티켓,@홍천 비발디파크6월14토21토28토~7월5토12토~오션월드 입장권,"6,666",SALE,◆셀러회원◆,False,True,범이투어since2008,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207316,1108207316
여행,여행/여가활동_여행/숙박 티켓,@쏠비치 남해~속초(고성) 델피노~소노펠리체~6월7월8월 숙박양도,"8,888",SALE,◆셀러회원◆,False,True,범이투어since2008,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207253,1108207253
여행,여행/여가활동_여행/숙박 티켓,"7월4일,5일(토),11일,12일(토) 삼척쏠비치,양양쏠비치,진도쏠비치","2,000",SALE,◆셀러회원◆,False,True,트립마스터,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206896,1108206896
여행,여행/여가활동_여행/숙박 티켓,😁 6월21일 28일 삼척/양양쏠비치 스위트 오션뷰 / 6/28일 홍천비발디파크 스위트 / 8월 극성수기 변산/진도 쏠비치 양도합니다 😁,"12,345",SALE,중고나라 회원,False,True,0서태지와아이들0,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206613,1108206613
여행,여행/여가활동_여행/숙박 티켓,보라카이) 헤난 크리스털 샌즈 리조트 (프리미어)7월10-14일,"1,300,000",SALE,중고나라 회원,False,True,coolio92,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205903,1108205903
