group,카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
예술,예술/수집_골동품/기념주화,SUN RISE 미싱,"100,000",ESCROW,본인인증 회원,True,True,정 남,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205490,1108205490
예술,예술/수집_골동품/기념주화,6ㅡ70년대 국민학교ㆍ중ㆍ고등 졸업등,"65,000",SALE,인증+안전거래 회원,False,True,포항골동품1,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205428,1108205428
예술,예술/수집_골동품/기념주화,1950년대 3.1절 우표 1종 미사용제 싸게판매합니다.,"3,000",SALE,인증+안전거래 회원,False,True,에르제벳,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205102,1108205102
예술,예술/수집_골동품/기념주화,1940년대 지도 천공 미사용제 1종 싸게판매합니다.,"3,000",SALE,인증+안전거래 회원,False,True,에르제벳,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204977,1108204977
예술,예술/수집_골동품/기념주화,1950년대 UPU 가입우표 2종 완세트 일괄 싸게판매합니다.,"38,000",SALE,인증+안전거래 회원,False,True,에르제벳,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204784,1108204784
예술,예술/수집_골동품/기념주화,(희귀품 고가우표) 항공 증정시트우표 싸게판매합니다,"300,000",SALE,인증+안전거래 회원,False,True,에르제벳,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204616,1108204616
예술,예술/수집_골동품/기념주화,(희귀품) 환화2차 증정시트우표 미사용제 싸게판매합니다.,"120,000",SALE,인증+안전거래 회원,False,True,에르제벳,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204489,1108204489
예술,예술/수집_골동품/기념주화,"유한양행 스위터 100g (땀띠분) / 빈티지, 골동품 / 99년 상품 / 상태 양호(사진)","7,000",SALE,본인인증 회원,False,True,위닝중년,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203558,1108203558
예술,예술/수집_골동품/기념주화,일제시대 앤틱 한국전쟁 당시 승리부대 이정석 준장 사단장 캐리어 근현대사,"740,000",ESCROW,인증+안전거래 회원,True,True,라이세강,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201338,1108201338
예술,예술/수집_골동품/기념주화,국산미니카 창명 미카 미카월드 웰리 대한항공 카운티 다이캐스트,"3,000",SALE,중고나라 회원,False,True,미니카판매딜러,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108196336,1108196336
예술,예술/수집_골동품/기념주화,8090년대 옛날 껌종이,"2,222",SALE,중고나라 회원,False,True,켈로그,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108194317,1108194317
예술,예술/수집_골동품/기념주화,냉장고 자석 / 냉장고 마그넷 / 여행 마그넷 / 유럽 마그넷 / 일본 마그넷 / 여러나라 마그넷 판매,"2,222",SALE,중고나라 회원,False,True,프랑스산버터,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108188906,1108188906
예술,예술/수집_골동품/기념주화,석물 문간석  골동품 민속품 인테리어소품 인테리어,"1,300,000",ESCROW,인증+안전거래 회원,True,True,무등산,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108188362,1108188362
예술,예술/수집_골동품/기념주화,늑대의유혹 비디오,"17,500",SALE,중고나라 회원,False,True,정통해야따른다,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108188088,1108188088
예술,예술/수집_골동품/기념주화,2002년 기념주화 6종 금은,"7,000,000",SALE,본인인증 회원,False,True,후루꾸,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108187873,1108187873
예술,예술/수집_골동품/기념주화,태양 70년대 기념품 판매중 박정희 대통령 각하 취임 기념(미개봉),"150,000",ESCROW,중고나라 회원,True,True,금귤농장,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108186725,1108186725
예술,예술/수집_골동품/기념주화,해강 유근형 _ 청자상감운학문매병  48cm,"1,600,000",SALE,중고나라 회원,False,True,들판,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108185689,1108185689
예술,예술/수집_골동품/기념주화,군대코인 부대코인 교환원합니다,"123,456",SALE,본인인증 회원,False,True,lott****,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108185601,1108185601
예술,예술/수집_골동품/기념주화,청와대 대통령 대한민국대통령 남녀시계세트 미사용 선물용 수집품,"304,000",ESCROW,인증+안전거래 회원,True,True,shimme,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108183495,1108183495
예술,예술/수집_골동품/기념주화,독립선언서 도자기,"70,000",SALE,인증+안전거래 회원,False,True,QWER137,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108179195,1108179195
예술,예술/수집_골동품/기념주화,고전 옛날 드래곤볼Z pp카드 프리즘 만화 카드,"120,000",SALE,인증+안전거래 회원,False,True,민트분홍,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108177478,1108177478
예술,예술/수집_골동품/기념주화,제12대 전두환대통령 취임식 기념우표 초일봉투,"3,500",ESCROW,인증+안전거래 회원,True,True,수집행복,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108174933,1108174933
예술,예술/수집_골동품/기념주화,2019년 실버코인 (5$ 달착륙 50주년 기념주화) 판매!!,"220,000",SALE,본인인증 회원,False,True,괴산능돌이,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108174613,1108174613
예술,예술/수집_골동품/기념주화,2018 남북정상회담 기념 나만의 우표,"9,500",ESCROW,인증+안전거래 회원,True,True,수집행복,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108174048,1108174048
예술,예술/수집_골동품/기념주화,문재인대통령 취임식 기념 나만의 우표,"11,000",ESCROW,인증+안전거래 회원,True,True,수집행복,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108173500,1108173500
예술,예술/수집_골동품/기념주화,2017년 포켓몬 크라운신짱 스티커 판매해요,"150,000",ESCROW,본인인증 회원,True,True,슈크림라떼한잔,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108171393,1108171393
예술,예술/수집_골동품/기념주화,1979년산 유니버설 옛날 전기 보온 밥솥 SCR-909D,"150,000",SALE,본인인증 회원,False,True,Restless Heart,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108170995,1108170995
예술,예술/수집_골동품/기념주화,운주당 운슈도 일본 주판 일제 주판 21선,"22,000",SALE,중고나라 회원,False,True,밤벨0,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108170783,1108170783
예술,예술/수집_골동품/기념주화,1970년 10원 4개 + 5원 1개,"600,000",ESCROW,중고나라 회원,True,True,엄실장,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108169270,1108169270
예술,예술/수집_골동품/기념주화,소니 워크맨 SONY WM-EX80 카세트 플레이어,"150,000",SALE,본인인증 회원,False,True,min33332,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108168138,1108168138
예술,예술/수집_골동품/기념주화,흑백티비 브라운관 여러가지,"11,111",SALE,본인인증 회원,False,True,rudrl4873,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108165689,1108165689
예술,예술/수집_골동품/기념주화,레트로 알코올,"100,000",ESCROW,중고나라 회원,True,True,사가라사노스케,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108164984,1108164984
예술,예술/수집_골동품/기념주화,"[분양 /금은세트] 쥐똥, 삼성 1돈 골드바 .반돈 골드바 분양합니다 ,신림역 직거래도 가능합니다","585,000",SALE,본인인증 회원,False,True,메주입니다,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108163429,1108163429
예술,예술/수집_골동품/기념주화,"[분양 /금]  귀한 1994년 아메리칸 이글스 블리온 금화 4종세트, 1세트 분양합니다..금화.골드바..신림역 직거래 가능합니다","9,750,000",SALE,본인인증 회원,False,True,메주입니다,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108163382,1108163382
예술,예술/수집_골동품/기념주화,금성라디오 3대,"300,000",SALE,본인인증 회원,False,True,안성여물통,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108159886,1108159886
예술,예술/수집_골동품/기념주화,유공주유소 티슈 새제품 팝니다.,"10,000",SALE,중고나라 회원,False,True,구름이슬,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108154851,1108154851
예술,예술/수집_골동품/기념주화,1983년 제2차 위원부인쎄미나기념 영등포구 협의회 (대한민국 평화통일정책자문회의) 컵 팝니다.,"20,000",SALE,중고나라 회원,False,True,구름이슬,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108154819,1108154819
예술,예술/수집_골동품/기념주화,민주정의당 창당 4주년 기념 1985.1.15 스카프 팝니다.,"20,000",SALE,중고나라 회원,False,True,구름이슬,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108154789,1108154789
