카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
가공식품_비음료,닥터리본 44단백바 두바이초콜릿 4박스 일괄 택포 5만원 급처합니다,"50,000",SALE,중고나라 회원,False,True,lsm0623q,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108196749,1108196749
가공식품_비음료,비비랩 석류콜라겐 s,"11,000",SALE,본인인증 회원,False,True,싸게팝니다77,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108195592,1108195592
가공식품_비음료,pf2000,"360,000",SALE,중고나라 회원,False,True,뽀송포동,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108195242,1108195242
가공식품_비음료,"네스프레소 캡슐커피 아르페오,리스트레토 등","6,000",ESCROW,인증+안전거래 회원,True,True,열무맘n92,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108191203,1108191203
가공식품_비음료,플라이밍 단백질쉐이크 일괄 판매,"35,000",SOLD_OUT,인증+안전거래 회원,False,False,페페76,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108190570,1108190570
가공식품_비음료,백세 홍삼진 70ml 30포 5박스 열많아서 못먹어서 판매함,"84,000",SALE,중고나라 회원,False,True,사기구분못함연락사절,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108188537,1108188537
가공식품_비음료,홍삼엔 건강세상 30포x6박스 180포 쇼핑백포함 안먹어서 저렴히 판매. 6만원 무료배송,"60,000",SALE,본인인증 회원,False,True,모르면연락하지마세요,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108185531,1108185531
가공식품_비음료,"생유산균 5,000원 택배외 불가 30개 선물 받은거 다 못 먹어서 판매함","5,000",SALE,본인인증 회원,False,True,모르면연락하지마세요,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108185460,1108185460
가공식품_비음료,오리히로 ) 얼려먹는 곤약젤리5봉,"20,000",SALE,중고나라 회원,False,True,happywe,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108163425,1108163425
가공식품_비음료,홍삼 프리미엄 더채움,"20,000",SALE,본인인증 회원,False,True,kakalotz,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108155579,1108155579
가공식품_비음료,아몬드스프레드 (400g)×2종/ 미개봉새제품 / 땅콩버터보다 고급지고 맛있는 아몬드버터입니다,"26,700",SALE,중고나라 회원,False,True,별명없다고몇번을말해,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108136801,1108136801
가공식품_비음료,녹용 홍삼진 30포 X5박스 150포 선물 받은거 판매,"84,000",SALE,중고나라 회원,False,True,택배외불가,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108135651,1108135651
가공식품_비음료,닥터프로텍터 프로폴리스 구강스프레이.새상품,"11,111",SALE,본인인증 회원,False,True,철자연,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108133898,1108133898
가공식품_비음료,김오곤 영묘사향단3.75g x100환 3박스 침향27%선물 받은거 3박스 가격 무료배송 택배외불가,"84,500",SALE,인증+안전거래 회원,False,True,집안살림 정리중임,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108131609,1108131609
가공식품_비음료,에너지스쿱 위드링크러브,"165,000",SALE,본인인증 회원,False,True,리안a,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108117718,1108117718
