카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
가공식품_음료,애터미 해모임 60포 팝니다,"65,000",SALE,본인인증 회원,False,True,woohah,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206324,1108206324
가공식품_음료,뷰트리 슬림에이드,"30,000",SALE,본인인증 회원,False,True,꾸미트,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205138,1108205138
가공식품_음료,셀시어스 온더고 비타민 파우더 30포,"45,000",SALE,인증+안전거래 회원,False,True,리미e,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201491,1108201491
가공식품_음료,시쿠탱 커피(브라운만 남음),"16,000",SALE,본인인증 회원,False,True,faithj,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201335,1108201335
가공식품_음료,집중력이 떨어질땐 천연카페인 이롬 아미노 에너지샷 모로오렌지 저렴히 팝니다 보충제 각성제 몬스터,"11,111",SALE,중고나라 회원,False,True,lamlamlam77,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108200665,1108200665
가공식품_음료,커피 생두 스페셜티 팔아요,"480,000",SALE,중고나라 회원,False,True,포토송,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108196076,1108196076
가공식품_음료,🙆‍♂️흑염소즙의진실..알고 드세요~민물류즙일체🙆‍♂️,"150,000",ESCROW,중고나라 회원,True,True,건강명가,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108195070,1108195070
가공식품_음료,비채수 12포,"23,000",SALE,본인인증 회원,False,True,꾸린꾸린이,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108191817,1108191817
가공식품_음료,스타벅스 프리퀀시 일반 2개 팝니다,"4,000",SOLD_OUT,중고나라 회원,True,False,별이4989,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108186958,1108186958
가공식품_음료,스타벅스 아메리카노 비아 스틱커피 140개,"33,000",SALE,중고나라 회원,False,True,tctcgo,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108184882,1108184882
가공식품_음료,스타벅스 프리퀀시 미션스티커랑 일반 바꾸시거나 미션 3장 구매하실분.~!,"2,500",SALE,본인인증 회원,False,True,ㄱ하이야아,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108180396,1108180396
가공식품_음료,누트라코스 (15ml*30포) 4박스,"360,000",SALE,중고나라 회원,False,True,sakeshower,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108176042,1108176042
가공식품_음료,아르망디 매그넘 판매합니다.,"750,000",SALE,중고나라 회원,False,True,Smile Again,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108169030,1108169030
가공식품_음료,티르티르 효소 2박스 택포43000원,"43,000",ESCROW,인증+안전거래 회원,True,True,M0moo,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108167626,1108167626
가공식품_음료,[마가보감] - 울릉도 마가보감 43포 판매 <새제품> -,"133,000",SALE,본인인증 회원,False,True,각생각사,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108164005,1108164005
가공식품_음료,퀘이커 오트밀쉐이커/단백질 쉐이크_18병,"18,000",SALE,인증+안전거래 회원,False,True,짱0ㅏ마미,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108159072,1108159072
가공식품_음료,(택포)모모스커피 드립백 버라이어티 21매입 새상품 판매합니다,"26,000",SALE,인증+안전거래 회원,False,True,akdzhemf,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108157218,1108157218
가공식품_음료,카페 아메리카노 T 2잔 + 딸기 마스카포네 샌드 케이크,"13,000",SALE,중고나라 회원,False,True,pepperh,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108155113,1108155113
가공식품_음료,레몬즙 10박스(140개입) 택포 34000원 팝니다,"34,000",SALE,중고나라 회원,False,True,공공칠뿡,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108154186,1108154186
가공식품_음료,[새상품] 정관장 영지 차가버섯 달임액 90ml×2포,"5,000",SALE,인증+안전거래 회원,False,True,헤이즈 하이즈,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108153826,1108153826
가공식품_음료,퓨어랩스 다이어트 모로오렌지,"30,000",SALE,본인인증 회원,False,True,예스파파888,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108151854,1108151854
가공식품_음료,키토선생 닥터바리스타 방탄커피 250ml x 18개입,"15,000",SALE,인증+안전거래 회원,False,True,세잎이ㅣ,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108147833,1108147833
가공식품_음료,"스포츠음료, 눈 영양","10,000",SALE,중고나라 회원,False,True,오일육,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108139930,1108139930
가공식품_음료,보헤미안 박이추 원두커피세트,"55,000",SALE,본인인증 회원,False,True,마이클J팩맨,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108138857,1108138857
가공식품_음료,스타벅스 프리퀀시 19개 팝니다,"2,000",SOLD_OUT,중고나라 회원,False,False,별이4989,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108138190,1108138190
가공식품_음료,네스프레소 제니우스 캡슐,"20,000",SALE,본인인증 회원,False,True,쏘레니흰둥이,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108126913,1108126913
가공식품_음료,정관장 화애락 온미,"16,000",SALE,중고나라 회원,False,True,리제,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108126584,1108126584
가공식품_음료,호당원 프리미엄 골드 3박스,"400,000",SALE,중고나라 회원,False,True,료하라,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108124200,1108124200
가공식품_음료,스타벅스 에코텀블러음료쿠폰(개인텁only),"3,890",ESCROW,인증+안전거래 회원,True,True,minidodo23,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108122830,1108122830
가공식품_음료,뉴케어 구수한맛 200ml +고소한 검은깨맛 200ml 60개,"59,000",ESCROW,인증+안전거래 회원,True,True,lyjo****,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108119046,1108119046
