카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
가구/인테리어_기타 가구,아이스크림냉동고 선반 팝니다. 무인아크통 3단 선반,"80,000",RESERVATION_ESCROW,인증+안전거래 회원,True,True,메 이 크 업 무 비,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205463,1108205463
가구/인테리어_기타 가구,프라모델 장식장 3P CASE 리베로 장식장 월넛,"80,000",ESCROW,인증+안전거래 회원,True,True,내본라,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205284,1108205284
가구/인테리어_기타 가구,포스터 스탠드(PP2-A1BK) 판매합니다,"30,000",SALE,중고나라 회원,False,True,유월의비,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204564,1108204564
가구/인테리어_기타 가구,카페 대리석 테이블 & 의자,"60,000",SOLD_OUT,중고나라 회원,False,False,후추노가리,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202274,1108202274
가구/인테리어_기타 가구,휴센 갤럭시 조합형 2820B 시스템행거 팔아요,"250,000",SALE,본인인증 회원,False,True,kkup77,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108199151,1108199151
가구/인테리어_기타 가구,독일 ZEBRA 라탄 라운드 테이블 및 의자4개 세트,"650,000",SALE,본인인증 회원,False,True,fictitious,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108196836,1108196836
가구/인테리어_기타 가구,스피드랙 선반 팝니다,"100,000",ESCROW,본인인증 회원,True,True,나도중고상,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108196758,1108196758
가구/인테리어_기타 가구,루나랩 게이임책상 팝니다.,"150,000",SALE,본인인증 회원,False,True,딸기좋아싫어,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108196649,1108196649
가구/인테리어_기타 가구,보국 에어젯 이동식 에어컨,"180,000",ESCROW,중고나라 회원,True,True,포항배스,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108196348,1108196348
가구/인테리어_기타 가구,"무료나눔)강대상 의자, 영창피아노,헌금꽂이함, 헌금함 가져가세요","2,000",SALE,중고나라 회원,False,True,쿠도덕후,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108195580,1108195580
가구/인테리어_기타 가구,우리꼴 느릅나무탁자,"850,000",SALE,중고나라 회원,False,True,꽃꽃돼돼,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108194935,1108194935
가구/인테리어_기타 가구,야외용 라탄 테이블 세트 의자8개 테이블2개,"500,000",SALE,본인인증 회원,False,True,김재덕 8949,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108194099,1108194099
가구/인테리어_기타 가구,원목 수납장(주문제작) 구매가70만원,"400,000",ESCROW,본인인증 회원,True,True,룸이,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108190663,1108190663
가구/인테리어_기타 가구,전시/협찬가구 할인판매 [2인4인6인 테이블 책상 바테이블 의자 식탁] 파이프가구 인더스트리얼 빈티지 중고,"70,000",ESCROW,본인인증 회원,True,True,elkin,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108189432,1108189432
가구/인테리어_기타 가구,업소용 테이블+의자 세트,"70,000",ESCROW,본인인증 회원,True,True,건방진킹콩,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108184219,1108184219
가구/인테리어_기타 가구,옷가게 정리합니다,"30,000",SALE,중고나라 회원,False,True,bata****,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108184196,1108184196
가구/인테리어_기타 가구,"레어로우 유틸리티 랙이랑 사이드 테이블, 부속들 팝니다","10,000",ESCROW,본인인증 회원,True,True,태와루,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108184082,1108184082
가구/인테리어_기타 가구,미래로 미용실 의자 헤어메이크업,"200,000",SALE,중고나라 회원,False,True,황미륵,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108183375,1108183375
가구/인테리어_기타 가구,영남베드 환자용 전동침대(거래지역:부산),"500,000",SALE,중고나라 회원,False,True,하이,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108181162,1108181162
가구/인테리어_기타 가구,상태좋은 방음문 팝니다. KCC 4개,"200,000",SALE,인증+안전거래 회원,False,True,구름다리84,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108175699,1108175699
가구/인테리어_기타 가구,옷걸이,"2,000",SALE,중고나라 회원,False,True,bata****,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108175121,1108175121
가구/인테리어_기타 가구,버니나 미싱테이블,"150,000",SALE,본인인증 회원,False,True,yourgreen,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108174101,1108174101
가구/인테리어_기타 가구,[새상품] 세사리빙 세사 알러지케어 누빔 패드 SS,"55,000",ESCROW,인증+안전거래 회원,True,True,윤설엘리,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108172364,1108172364
가구/인테리어_기타 가구,"카페 스터디 테이블8~10인석 (콘센트, 조명)","500,000",SALE,중고나라 회원,False,True,무인도님,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108171998,1108171998
가구/인테리어_기타 가구,"원목 8인석 대형 카페, 사무실 테이블","300,000",SALE,중고나라 회원,False,True,무인도님,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108171665,1108171665
가구/인테리어_기타 가구,어린이 벙커침대 이층침대 성인용 벙커침대 방에 맞춘 주문제작 가능 맞춤설치,"115,000",ESCROW,◆셀러회원◆,True,True,미엔우드가구,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108159328,1108159328
가구/인테리어_기타 가구,이케아 스카르푀 야외용 암체어 / 야외테이블,"200,000",ESCROW,중고나라 회원,True,True,ilov****,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108159234,1108159234
가구/인테리어_기타 가구,[새상품컨디션]한샘 스테이 드레스룸(내용필독),"350,000",SALE,본인인증 회원,False,True,령vV,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108155920,1108155920
가구/인테리어_기타 가구,과자진열대(5단) 판매합니다.,"100,000",SALE,중고나라 회원,False,True,mjkim212,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108154956,1108154956
가구/인테리어_기타 가구,조립식 옷걸이 스텐드 행거 팝니다,"20,000",ESCROW,인증+안전거래 회원,True,True,마카다 팔자,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108153710,1108153710
가구/인테리어_기타 가구,코너 베이스트랩 그레이,"49,000",SALE,인증+안전거래 회원,False,True,mootwo,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108148322,1108148322
가구/인테리어_기타 가구,"대형 실내 놀이터, 정글짐 (플레이가드) 판매합니다 (분해완료)","350,000",SALE,본인인증 회원,False,True,minaart,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108147767,1108147767
가구/인테리어_기타 가구,(2개 일괄) 여성 철제 마네킹 옷가게,"25,000",SALE,본인인증 회원,False,True,JySyJnSn,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108146344,1108146344
가구/인테리어_기타 가구,(2개일괄) 고급 원목피노키오 실버캡 여자마네킹/ 원목캡 상반신 여자마네킹 여성옷가게,"50,000",SALE,본인인증 회원,False,True,JySyJnSn,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108145075,1108145075
가구/인테리어_기타 가구,우드슬랩 원목테이블 급처분..,"50,000",SALE,본인인증 회원,False,True,woodking,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108142264,1108142264
가구/인테리어_기타 가구,미용우드웨건트롤리,"50,000",SALE,중고나라 회원,False,True,묭먕이,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108137959,1108137959
가구/인테리어_기타 가구,원목침대 벙커침대 편백침대 침대프레임 싱글 부터 이스턴킹 전사이즈 외 맞춤제작 가능,"99,000",ESCROW,◆셀러회원◆,True,True,미엔우드가구,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108136578,1108136578
가구/인테리어_기타 가구,CD장 입니다.,"50,000",SALE,중고나라 회원,False,True,대박인생0,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108136001,1108136001
가구/인테리어_기타 가구,라꾸라꾸 침대 온열식,"100,000",SALE,중고나라 회원,False,True,qwerr00000,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108132520,1108132520
가구/인테리어_기타 가구,이동식주택,"30,000,000",SALE,본인인증 회원,False,True,행복 이야기,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108129871,1108129871
가구/인테리어_기타 가구,일룸 링키플러스 행거 카카오 퀵배송 가능,"65,000",SALE,인증+안전거래 회원,False,True,귀하신몸11,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108128319,1108128319
