카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
가구/인테리어_침실가구,우리꼴 가구 천연원목 11자 장롱 팝니다 ~ 관악구~ 구입가 490만원제품,"1,500,000",SALE,본인인증 회원,False,True,지렁이스텝,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208500,1108208500
가구/인테리어_침실가구,의료용 전동침대 팝니다,"250,000",SALE,중고나라 회원,False,True,yongida96,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207643,1108207643
가구/인테리어_침실가구,CK 캘리포니아킹 프레임 라움SR100,"100,000",SALE,본인인증 회원,False,True,에디,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205557,1108205557
가구/인테리어_침실가구,KALI MARKS 침대 프레임 라지킹 판매합니다.,"600,000",SALE,본인인증 회원,False,True,mucitaeo,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204534,1108204534
가구/인테리어_침실가구,가누다 블루라벨 피아노에어 미개봉 새제품,"125,000",ESCROW,인증+안전거래 회원,True,True,으으읗ㅎ,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204394,1108204394
가구/인테리어_침실가구,침대,"350,000",SALE,중고나라 회원,False,True,Seovely1208,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108200374,1108200374
가구/인테리어_침실가구,시스코프 시스템 행거 옷장 수납장 팝니다,"350,000",SALE,인증+안전거래 회원,False,True,팔고삽니다아앙,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108199606,1108199606
가구/인테리어_침실가구,골든스트릿 레벨업 높이조절 철제 벙커침대 수퍼싱글 수납계단형 침대 판매합니다,"100,000",SALE,본인인증 회원,False,True,mamadid78,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108199207,1108199207
가구/인테리어_침실가구,옷장 이불장 팝니다,"30,000",SALE,중고나라 회원,False,True,ApriL,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108198363,1108198363
가구/인테리어_침실가구,씰리 매트리스(EK) (3개월마다 케어관리),"400,000",SALE,중고나라 회원,False,True,10always,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108197364,1108197364
가구/인테리어_침실가구,"#행거,선반# 모델하우스 전시 제품! 드레스룸 시스템룸 펜트리룸! 다양합니다!","2,222",SALE,◆셀러회원◆,False,True,ㅇ대형하우징ㅇ,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108196045,1108196045
가구/인테리어_침실가구,#고급 시스템장 득템찬스# 모델하우스 전시 제품 붙박이장 슬라이딩장 파격세일,"2,222",SALE,◆셀러회원◆,False,True,ㅇ대형하우징ㅇ,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108195846,1108195846
가구/인테리어_침실가구,"5단,3단 서랍장 싸게 판매합니다..","60,000",SALE,중고나라 회원,False,True,운연가,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108190436,1108190436
가구/인테리어_침실가구,숲소리 자동차 침대 팝니다,"90,000",SALE,본인인증 회원,False,True,suzigo,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108190418,1108190418
가구/인테리어_침실가구,행거/난간 #드레스룸 시스템룸 펜트리룸# 전시제품 초특가! 10만원대부터~ 빠르게 판매되고 있습니다!!,"2,222",SALE,◆셀러회원◆,False,True,ㅇ대형하우징ㅇ,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108190254,1108190254
가구/인테리어_침실가구,#깔끔한수납정리필수!!# 모델하우스 전시 제품 붙박이장 슬라이딩장 시스템장 깔끔하고 예뻐요!,"2,222",SALE,◆셀러회원◆,False,True,ㅇ대형하우징ㅇ,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108190113,1108190113
가구/인테리어_침실가구,장농 옷장 직접 분해해서 가져가셔야 합니다*서울 연희동,"50,000",SALE,중고나라 회원,False,True,HS,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108189365,1108189365
가구/인테리어_침실가구,엔틱 빈티지 베드벤치 책상 러브테이블 화장대  팝니다=,"12,345",SALE,◆셀러회원◆,False,True,aselfurniture,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108188594,1108188594
가구/인테리어_침실가구,에이스 듀오테크3 더블사이즈 DD,"130,000",SALE,본인인증 회원,False,True,sjhj1214,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108187238,1108187238
가구/인테리어_침실가구,멜루나 침대 프레임 SS 브라운,"2,000",SALE,중고나라 회원,False,True,yuo76,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108187124,1108187124
가구/인테리어_침실가구,자취방 토퍼 슬로우베드 매트리스 토퍼 베이직SS 팝니다(덤 중고 요가매트 2개) 택미포,"100,000",ESCROW,본인인증 회원,True,True,헤니렐,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108186006,1108186006
가구/인테리어_침실가구,씰리 접이식 메모리폼 매트리스 새상품 (운포),"65,000",ESCROW,본인인증 회원,True,True,24mg,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108186000,1108186000
가구/인테리어_침실가구,한국갤러리 세이지 호텔침대 LK 판매합니다,"900,000",SALE,본인인증 회원,False,True,웡,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108185816,1108185816
가구/인테리어_침실가구,"이케아 비트발 (IKEA VITVAL) 2층 침대 프레임, 매트리스 2개","150,000",SALE,본인인증 회원,False,True,플딩가딩가,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108185406,1108185406
가구/인테리어_침실가구,아르떼하임 코코베베 원목 수납장+옷장&수납장(일괄),"1,000,000",ESCROW,본인인증 회원,True,True,mp0752,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108183831,1108183831
가구/인테리어_침실가구,"레어로우 유틸리티 랙이랑 사이드 테이블, 부속들 팝니다","100,000",ESCROW,본인인증 회원,True,True,태와루,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108183789,1108183789
