카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
게임용품_XBOX,채리마스터gsg,"300,000",SALE,중고나라 회원,False,True,파이낸션,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207865,1108207865
게임용품_XBOX,엑스박스원 배틀필드 하드라인 디럭스 에디션 정발 밀봉신품,"30,000",SALE,중고나라 회원,False,True,게임뮤지엄,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203805,1108203805
게임용품_XBOX,5+1 이벤트 진행중 즉시가능 24시 칼답:) 롤 대리x맡김x듀오 해드립니다 개인기사프로필 사진엘리트기사본인인증 회원,"2,000",SALE,본인인증 회원,False,True,엘리트기사,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108200100,1108200100
게임용품_XBOX,Xbox One S 1TB 정품컨트롤러2/배터리팩/게임3/리모컨,"179,000",SALE,인증+안전거래 회원,False,True,ljy2128901,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108198512,1108198512
게임용품_XBOX,"xbxo360 기어스오브워 트리플팩, 헤일로3 odst 둘다 한글판 일괄 택포","18,000",SALE,중고나라 회원,False,True,우리들은doc,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108196112,1108196112
게임용품_XBOX,엑스박스 원S 1TB 풀박스 + 레드데드리뎀션2,"100,000",SALE,중고나라 회원,False,True,nakimsae,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108194237,1108194237
게임용품_XBOX,엑박패드 4세대 풀박스 팝니다.,"35,000",SALE,중고나라 회원,False,True,84GH,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108193773,1108193773
게임용품_XBOX,XBOX ONE + 레이싱휠 세트 + 게임타이틀3종,"190,000",SALE,인증+안전거래 회원,False,True,sidius0095,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108192662,1108192662
게임용품_XBOX,Xbox 스타필드 에디션 컨트롤러,"87,000",SOLD_OUT,중고나라 회원,False,False,Gardener,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108192014,1108192014
게임용품_XBOX,엑스박스원+게임/XBOX ONE,"60,000",SALE,본인인증 회원,False,True,단테,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108191111,1108191111
