카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
골프_골프백,아코 청사과낙원 1.2.3부작 일괄 양도,"200,000",SALE,중고나라 회원,False,True,진진진이111,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206635,1108206635
골프_골프백,마크앤로나 바퀴 캐디백 팝니다. (카모플라주) (택포300.000원),"300,000",SALE,본인인증 회원,False,True,slbd,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108199147,1108199147
골프_골프백,"PXG 골프 경량 스텐드캐디백 팝니다.(택포195,000원)","195,000",SALE,본인인증 회원,False,True,slbd,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108198695,1108198695
골프_골프백,캘러웨이 Callaway 골프백 스탠드백 저렴히 팝니다,"70,000",SALE,중고나라 회원,False,True,genesisivg90,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108198573,1108198573
골프_골프백,"블랙 캣츠 바퀴 캐디백, 하프백, 엠유 모자 저렴히 팝니다.","60,000",ESCROW,중고나라 회원,True,True,심라미,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108198454,1108198454
골프_골프백,두산베어스 vs 키움히어로즈 6월13일14일15일 야구티켓 최저가 테이블석/오렌지석 1루 3루 6연석 양도합니다,"90,000",SALE,중고나라 회원,False,True,크리스피 도낫,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108196754,1108196754
골프_골프백,한화이글스 두산베어스 6월11일12일 야구티켓 최저가 포수후면석/중앙지정석/중앙탁자석/내야지정석/응원단석 1루 3루 6연석 양도합니다,"90,000",SALE,중고나라 회원,False,True,크리스피 도낫,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108196697,1108196697
골프_골프백,삼성라이온즈 vs KT위즈 6월13일14일15일 야구티켓 최저가 테이블석/블루존/원정응원석 1루 3루 6연석 양도합니다,"90,000",SALE,중고나라 회원,False,True,크리스피 도낫,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108196323,1108196323
골프_골프백,SSG랜더스 vs 롯데자이언츠 6월13일14일15일 야구티켓 최저가 테이블석/응원지정석/의자지정석 1루 3루 연석 양도합니다,"90,000",SALE,중고나라 회원,False,True,크리스피 도낫,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108196250,1108196250
골프_골프백,한화이글스 엘지트윈스 6월13일14일15일 야구티켓 최저가 포수후면석/중앙지정석/중앙탁자석/내야지정석/응원단석 1루 3루 6연석 양도합니다,"90,000",SALE,중고나라 회원,False,True,크리스피 도낫,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108196188,1108196188
