카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
골프_골프채 풀세트,휠라 퍼터 외 모두일괄 택포 39.500,"39,500",SALE,인증+안전거래 회원,False,True,khurotc1,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207659,1108207659
골프_골프채 풀세트,[판매]급매 pxg 타이틀리스트 특A 경량스틸 골프채 풀세트,"950,000",ESCROW,◆셀러회원◆,True,True,CARPK,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204472,1108204472
골프_골프채 풀세트,골프체 세트 팝니다,"780,000",ESCROW,중고나라 회원,True,True,torybro,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202385,1108202385
골프_골프채 풀세트,"(판매-가격인하) 핑 G400 8 아이언, 테일러메이드 M4 드라이버 외 조합 등 풀셑","700,000",SALE,중고나라 회원,False,True,쓰리페이퍼,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202128,1108202128
골프_골프채 풀세트,테일러메이드 QI35 맥스 + 미즈노 포지드 JPX 923 아이언 조합형 풀세트,"2,600,000",ESCROW,◆셀러회원◆,True,True,준골프일산,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202060,1108202060
골프_골프채 풀세트,"급매! 남성용 캘러웨이, 테일러메이드 골프채 풀세트!","590,000",ESCROW,◆셀러회원◆,True,True,kht9796,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201850,1108201850
골프_골프채 풀세트,"(판매-가격인하) 타이틀리스트 백, 코브라 바이오셀 드라이버, 핑 PING G400 아이언 셑 등 풀세트","700,000",SALE,중고나라 회원,False,True,nemow,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201847,1108201847
골프_골프채 풀세트,"(판매-가격인하) 골프 풀셑 일본산 그랑프리 단조 아이언셑, 어뉴 레드 카모 스텐드백, 브리지스톤 투어B 드라이버 등 풀세트 판매","600,000",SALE,중고나라 회원,False,True,nemow,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201793,1108201793
골프_골프채 풀세트,"(판매-가격인하) 미즈노 스텐드 하프백, 핑 드라이버, 이데아 아이언, 이데아 4번 유틸, 이데아 퍼터 등 풀세트 판매","250,000",SALE,중고나라 회원,False,True,nemow,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201764,1108201764
골프_골프채 풀세트,여성 다이와 지쓰리 입문용 골프채 캐디백 풀세트,"1,200,000",ESCROW,본인인증 회원,True,True,좋은세상 다시왔으면,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201668,1108201668
골프_골프채 풀세트,"타이틀리스트 tsi2+벤투스 블랙tr 6x, 캘러웨이 apex21 아이언세트 구성 풀세트 팝니다.","900,000",SALE,본인인증 회원,False,True,후후,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108199808,1108199808
골프_골프채 풀세트,남자골프채 풀세트팝니다,"380,000",ESCROW,인증+안전거래 회원,True,True,골모임,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108199467,1108199467
골프_골프채 풀세트,미즈노 에필여성용 골프채 . 부천,"150,000",SALE,중고나라 회원,False,True,지우지영,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108198574,1108198574
골프_골프채 풀세트,[여성용 풀세트] Mu sports allure 풀세트,"480,000",SALE,본인인증 회원,False,True,원볼인어게임,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108197015,1108197015
골프_골프채 풀세트,골프채,"2,222",SALE,중고나라 회원,False,True,ghjjun2007소망,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108196127,1108196127
골프_골프채 풀세트,젝시오13 여성용 세트,"2,000",SALE,중고나라 회원,False,True,아방가드뜨,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108190453,1108190453
골프_골프채 풀세트,[판매]타이틀리스트 pxg 급매 특A 경량스틸 골프채 풀세트,"950,000",ESCROW,◆셀러회원◆,True,True,CARPK,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108186992,1108186992
골프_골프채 풀세트,미즈노에필 골프채 여자입문초보용,"550,000",SALE,중고나라 회원,False,True,개구쟁이ARMANI,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108186342,1108186342
골프_골프채 풀세트,테일러메이드 에어로버너 골프채 남자입문초보용,"550,000",SALE,중고나라 회원,False,True,개구쟁이ARMANI,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108186312,1108186312
