카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
디지털 / 가전_소형음향기기,쿠로미 블루투스이어폰,"15,000",SALE,본인인증 회원,False,True,앨리스x,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208682,1108208682
디지털 / 가전_소형음향기기,버즈 1 블랙 왼쪽/오른쪽 유닛 판매합니다,"19,000",ESCROW,중고나라 회원,True,True,aakaka,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208398,1108208398
디지털 / 가전_소형음향기기,에어팟4 노이즈캔슬링(ANC) 미개봉 새제품,"225,000",ESCROW,중고나라 회원,True,True,중나회원1,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208214,1108208214
디지털 / 가전_소형음향기기,보스 QC 이어버드 2024 화이트 판매합니다.,"120,000",SALE,중고나라 회원,False,True,로이민트,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207819,1108207819
디지털 / 가전_소형음향기기,AIWA 워크맨 HS-J7 RED 색상 작동품 판매합니다.,"290,000",SALE,인증+안전거래 회원,False,True,cks1603,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207748,1108207748
디지털 / 가전_소형음향기기,카이메이 컴파운드보우 풀세트 판매,"349,000",SALE,본인인증 회원,False,True,YHKBE,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207663,1108207663
디지털 / 가전_소형음향기기,거의새것ㅡ갤럭시버즈라이브,"120,000",SALE,중고나라 회원,False,True,안전거래판매중v,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207640,1108207640
디지털 / 가전_소형음향기기,"소니(WM-FX707)-2 워크맨(라디오,카세트 플레이어) 판매합니다.","65,000",SALE,인증+안전거래 회원,False,True,샤이닝뮤직,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207496,1108207496
디지털 / 가전_소형음향기기,소니(WM-EX655)-2 워크맨(카세트 플레이어) 판매합니다.,"70,000",SALE,인증+안전거래 회원,False,True,샤이닝뮤직,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207478,1108207478
디지털 / 가전_소형음향기기,타스캠 녹음기 DR-07XP 판매합니다,"190,000",SALE,인증+안전거래 회원,False,True,nght,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207364,1108207364
디지털 / 가전_소형음향기기,에어팟프로 2세대 c타입 팝니다.,"210,000",SALE,중고나라 회원,False,True,빵이는귀여워,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207318,1108207318
디지털 / 가전_소형음향기기,"소니(WM-FX613)-1 워크맨(라디오,카세트 플레이어) 판매합니다.","60,000",SALE,인증+안전거래 회원,False,True,샤이닝뮤직,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207308,1108207308
디지털 / 가전_소형음향기기,"LG(AHA-R580)-2 워크맨(라디오,카세트 레코더플레이어) 판매합니다.","50,000",SALE,인증+안전거래 회원,False,True,샤이닝뮤직,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207138,1108207138
디지털 / 가전_소형음향기기,"LG(AHA-FX99)-5 워크맨(라디오,카세트플레이어) 판매합니다.​","50,000",SALE,인증+안전거래 회원,False,True,샤이닝뮤직,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207014,1108207014
디지털 / 가전_소형음향기기,(미개봉) 젠하이저 HD600 헤드폰 + 쿠팡케어 5년,"300,000",SALE,중고나라 회원,False,True,ca2joa,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206986,1108206986
디지털 / 가전_소형음향기기,노이즈캔슬링 헤드폰 소니 WH-1000XM5 블랙 (풀박스),"190,000",SALE,본인인증 회원,False,True,dwdct8e,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206486,1108206486
디지털 / 가전_소형음향기기,뱅앤올룹슨 베오플레이 hx 블랙 판매합니다.,"350,000",ESCROW,인증+안전거래 회원,True,True,펜탁시안99,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205945,1108205945
디지털 / 가전_소형음향기기,오디언트 audient 오인페 id14 (1세대),"120,000",ESCROW,본인인증 회원,True,True,Lemuel,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205730,1108205730
디지털 / 가전_소형음향기기,August 휴대용 CD플레이어 판매,"40,000",SALE,본인인증 회원,False,True,꽁치35,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205687,1108205687
디지털 / 가전_소형음향기기,에어팟 2세대 오른쪽 유닛(A2031) - 배터리 이상(택포7천),"7,000",SALE,중고나라 회원,False,True,cjh75,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205515,1108205515
디지털 / 가전_소형음향기기,"애플 정품 케이블, C to C 패브릭 새제품(택포1.5)","15,000",SALE,중고나라 회원,False,True,cjh75,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205457,1108205457
디지털 / 가전_소형음향기기,젠하이저 HD600 팝니다 22만원 박스 미포함,"220,000",RESERVATION_ESCROW,본인인증 회원,True,True,데오린s,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205335,1108205335
디지털 / 가전_소형음향기기,소니 sony nw-zx507 판매합니다.,"260,000",ESCROW,본인인증 회원,True,True,소리담기,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204778,1108204778
디지털 / 가전_소형음향기기,디터람스 오디오310+L46스피커+스탠드 완벽 가격내림,"4,300,000",ESCROW,인증+안전거래 회원,True,True,ylyyou,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204638,1108204638
