카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
명품_유아/아동,자라키즈 크로셰 베베드피노 튤립원피스 새상품,"69,000",SALE,중고나라 회원,False,True,마찌구찌웅,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207024,1108207024
명품_유아/아동,아폴리나 머를 원피스35,"200,000",SALE,본인인증 회원,False,True,응브,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206238,1108206238
명품_유아/아동,정품.뉴라벨.1회착) 8y.버버리키즈 신형 반팔셔츠 택포99000원,"99,000",ESCROW,인증+안전거래 회원,True,True,xinok33,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205778,1108205778
명품_유아/아동,정품.뉴라벨) 2y버버리키즈 원피스 택포10만원,"100,000",ESCROW,인증+안전거래 회원,True,True,xinok33,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205769,1108205769
명품_유아/아동,정품) 8y펜디키즈 원피스 4만원,"40,000",ESCROW,인증+안전거래 회원,True,True,xinok33,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205765,1108205765
명품_유아/아동,정품.뉴라벨) 12y버버리키즈 원피스 15만원,"150,000",ESCROW,인증+안전거래 회원,True,True,xinok33,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205755,1108205755
명품_유아/아동,미니멜리사 샌들 150사이즈 여아샌들 여아샌들150 비치슬라이드골드 미니멜리사150 여아신발150 여아신발 여아샌들 미니멜리사샌들 유아샌들 어린이샌들 샌들150 아동샌들 아동화150 유아샌들150,"10,000",SALE,중고나라 회원,False,True,eclipseUp,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205364,1108205364
명품_유아/아동,점보 비즈 퍼즐 + 파스넷36,"12,345",SALE,중고나라 회원,False,True,stice108,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205261,1108205261
명품_유아/아동,수어플룸 루프 드레스 8,"140,000",SALE,인증+안전거래 회원,False,True,rabbit0509,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204830,1108204830
명품_유아/아동,수어플룸 허니콤 튜닉 6y,"123,456",SALE,본인인증 회원,False,True,sooooorpllllo,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204565,1108204565
