카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
미술/음악_기타,조용한 청년들 방음부스 1.8m x 1.8m 팝니다. (이전 설치비 별도),"750,000",ESCROW,중고나라 회원,True,True,환,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201731,1108201731
미술/음악_기타,배성 오리지날총결산집 사나이의부르스  LP판,"2,000",SALE,본인인증 회원,False,True,아엠잉여,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108187377,1108187377
미술/음악_기타,넬 Nell - The Trace 스페셜 에디션(1CD & 2DVD) Full Box (넘버링 한정판)외 일괄판매,"150,000",SALE,본인인증 회원,False,True,블링마블링,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108181218,1108181218
미술/음악_기타,이상한 나라의 앨리스 피포페인팅 완성작,"5,000",SALE,중고나라 회원,False,True,오으엥,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108180515,1108180515
미술/음악_기타,소리지오 룸튜닝 - 이동식 흡음 패널 판매,"50,000",ESCROW,중고나라 회원,True,True,Sungmin02,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108165496,1108165496
미술/음악_기타,다꾸 재료 일괄 팔아요.,"70,000",ESCROW,인증+안전거래 회원,True,True,voight0520,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108160744,1108160744
미술/음악_기타,기타 7단 스탠드 거치대,"50,000",SALE,본인인증 회원,False,True,히데쨩,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108157821,1108157821
미술/음악_기타,소니케이크 메트리박스 qme-50 이펙터 판매합니다,"80,000",SALE,중고나라 회원,False,True,비의설,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108148181,1108148181
미술/음악_기타,타스캄 US-1641 Tascam 오디오인터페이스,"250,000",SALE,본인인증 회원,False,True,NIEAV,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108136273,1108136273
미술/음악_기타,(가격포기 급매)방음문(동부) 판매,"400,000",SALE,중고나라 회원,False,True,motuhd192,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108121056,1108121056
미술/음악_기타,(가격포기 급매) 상태 A급 슈퍼싱글 방음부스(19*14) 팝니다,"400,000",SALE,중고나라 회원,False,True,motuhd192,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108120890,1108120890
미술/음악_기타,호시미 전자드럼 패드 BX-1 택포6만원,"60,000",SALE,중고나라 회원,False,True,가족마왕,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108112919,1108112919
미술/음악_기타,김재용 작가 도넛 작품 판매합니디,"1,000,000",SALE,중고나라 회원,False,True,gurr,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108103995,1108103995
미술/음악_기타,엘프919 삽니다 마이크도 삽니다.,"2,500,000",SALE,중고나라 회원,False,True,트라이자,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108102522,1108102522
