카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
미술/음악_미술용품도구,신한 swc 32색 미개봉 새제품(택비포함),"70,000",ESCROW,중고나라 회원,True,True,수직,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205856,1108205856
미술/음악_미술용품도구,흥일 NO.123 디스플레이용 휴대용 이젤,"14,000",ESCROW,인증+안전거래 회원,True,True,amsta333,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108194442,1108194442
미술/음악_미술용품도구,리트다이 고착제 2개,"15,000",SALE,본인인증 회원,False,True,메켄로,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108193623,1108193623
미술/음악_미술용품도구,워터맨 까렌 블랙 GT F닙 만년필,"120,000",RESERVATION_ESCROW,인증+안전거래 회원,True,True,노력인인,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108189126,1108189126
미술/음악_미술용품도구,루벤스 650F 유화 아크릴 겸용 붓 판매합니다,"160,000",ESCROW,인증+안전거래 회원,True,True,jablow,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108188120,1108188120
미술/음악_미술용품도구,키티버니포니 X 지구화학 색연필,"13,000",SALE,중고나라 회원,False,True,오월09,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108187657,1108187657
미술/음악_미술용품도구,신한 터치 Touch 마카펜 메인 12색 쿨 그레이 12색 일괄,"30,000",SALE,중고나라 회원,False,True,Crimsonclub,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108184736,1108184736
미술/음악_미술용품도구,다이소 테이블 냅킨 9종 일괄,"4,500",SALE,중고나라 회원,False,True,판매왕으뜸이,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108180993,1108180993
미술/음악_미술용품도구,새움 아크릴마카펜 48색 새제품 팝니다 (20개)(낱개구매가능),"10,000",ESCROW,중고나라 회원,True,True,입소,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108157816,1108157816
미술/음악_미술용품도구,[미개봉] 파버카스텔 틴케이스 일반색연필(60/100색),"25,000",SALE,본인인증 회원,False,True,ph007,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108136024,1108136024
미술/음악_미술용품도구,가죽공예 약품 두가지 가격 내림,"20,000",SALE,본인인증 회원,False,True,olddog,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108122829,1108122829
미술/음악_미술용품도구,가죽 공예 베리 킹 해머  가격 내림,"70,000",SALE,본인인증 회원,False,True,olddog,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108122641,1108122641
미술/음악_미술용품도구,시넬리에 오일바 r&f 오일바 리퀴텍스 헤비바디아크릴 일괄,"20,000",SALE,중고나라 회원,False,True,칼린이어,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108121133,1108121133
미술/음악_미술용품도구,씨직스빅샷플러스 박풀 팝니다,"210,000",ESCROW,중고나라 회원,True,True,엘리스는도도해,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108118559,1108118559
미술/음악_미술용품도구,틱톡 라이트 신규이신분 삽니다 [8만원 입금] 내역⭕️ -예약구매-,"80,000",ESCROW,인증+안전거래 회원,True,True,친절한젤리캣,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108114741,1108114741
미술/음악_미술용품도구,swc 신한 수채화 물감 32색,"45,000",ESCROW,인증+안전거래 회원,True,True,soul001,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108108550,1108108550
미술/음악_미술용품도구,문교 오일 파스텔 세트🎨쉴드아크릴물감 오일 붓 풀세트,"15,000",ESCROW,본인인증 회원,True,True,율뮤무뮤,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108103708,1108103708
미술/음악_미술용품도구,"신한아크릴물감(36색), 캔손 패드, 조선자 리타더","38,000",SALE,본인인증 회원,False,True,sangdiz77,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108100356,1108100356
