카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
미술/음악_악기,렉스톤 오르간 800,"3,000,000",ESCROW,중고나라 회원,True,True,풀리처,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208285,1108208285
미술/음악_악기,야마하 사일런트 피아노 U5AS (533만번대),"3,900,000",SALE,본인인증 회원,False,True,engidr,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207635,1108207635
미술/음악_악기,프랑스 바이올린 1820 labeled(전공준비생 사용하던 악기),"4,000,000",SALE,본인인증 회원,False,True,단순28,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206685,1108206685
미술/음악_악기,아투리아 미니랩 1세대 30000원 택포,"30,000",SALE,본인인증 회원,False,True,중고나라채팅알림380,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206236,1108206236
미술/음악_악기,폐업 매장정리) 야마하피아노 최대한 저렴한 가격에 판매합니다.,"1,600,000",SALE,◆셀러회원◆,False,True,피아노mom,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204715,1108204715
미술/음악_악기,지루쟌 하이햇 심벌즈 K 14 인치 세트 (K0824 & K0825) | 탑 & 바탐 | 질지안 | Zildjian | 35.6cm,"150,000",RESERVATION,본인인증 회원,False,True,띠띠빠빵,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204599,1108204599
미술/음악_악기,"에어로밴드 기타 풀세트(68만원구입, 52만원 판매)","520,000",SALE,중고나라 회원,False,True,James7770,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204243,1108204243
미술/음악_악기,성인용 바이올린 4/4 팔아요,"600,000",SALE,본인인증 회원,False,True,naenoonj,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203756,1108203756
미술/음악_악기,"롤랜드 Roland SP-404 MK2(덱세이버 커버, Analog 하드케이스 가방포함)","800,000",SALE,중고나라 회원,False,True,awaaa35,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203288,1108203288
미술/음악_악기,ARTURIA KeyLab Essential 49 아투리아 마스터건반,"200,000",ESCROW,본인인증 회원,True,True,The흑인,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203197,1108203197
미술/음악_악기,"킬리 카타나 미니 부스터 (풀박스, A급) keeley katana mini","140,000",SALE,중고나라 회원,False,True,이집저집그집,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203108,1108203108
미술/음악_악기,kiwaya ks-4p 우쿨렐레 팝니다,"50,000",SALE,본인인증 회원,False,True,wkwkwkwls,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203096,1108203096
미술/음악_악기,바이올린,"1,500,000",SALE,본인인증 회원,False,True,산하ㅇ,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202119,1108202119
미술/음악_악기,ZAMAR 자마 Bass 베이스 기타 전자기타,"150,000",ESCROW,인증+안전거래 회원,True,True,라이세강,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201167,1108201167
미술/음악_악기,Celona 기타 통기타 어쿠스틱,"59,000",ESCROW,인증+안전거래 회원,True,True,라이세강,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108200660,1108200660
미술/음악_악기,[게펠] Gefell M950 콘덴서 마이크,"1,100,000",ESCROW,인증+안전거래 회원,True,True,Superorganism,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108200150,1108200150
미술/음악_악기,[게펠] Gefell MT71S 콘덴서 마이크,"1,300,000",ESCROW,인증+안전거래 회원,True,True,Superorganism,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108200127,1108200127
미술/음악_악기,[삼익 콜랜캠블] 피아노 판매합니다,"300,000",SALE,중고나라 회원,False,True,김보선 Erin Kim,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108199740,1108199740
미술/음악_악기,악기정리,"111,111",SALE,중고나라 회원,False,True,jaaney,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108198628,1108198628
미술/음악_악기,카시오 PX-S1000,"500,000",ESCROW,인증+안전거래 회원,True,True,saiiiii,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108197375,1108197375
미술/음악_악기,폐업 매장정리) 야마하피아노 최대한 저렴한 가격에 판매합니다.,"1,600,000",SALE,◆셀러회원◆,False,True,피아노mom,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108195867,1108195867
미술/음악_악기,알토색소폰 판매합니다,"310,000",SALE,본인인증 회원,False,True,소니좋아,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108195809,1108195809
미술/음악_악기,세고비아 기타,"40,000",SALE,중고나라 회원,False,True,영발삼,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108194825,1108194825
미술/음악_악기,삼익디지털 피아노,"50,000",SALE,중고나라 회원,False,True,영발삼,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108194609,1108194609
미술/음악_악기,"던롭 울텍스,톨텍스,델린,게이터그립,웻지,나일론 피크 72개 팩","99,999",SALE,중고나라 회원,False,True,포스틱9,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108194100,1108194100
미술/음악_악기,"던롭피크 Dunlop Pick 53종 일괄 판매 [기타,베이스 피크]","25,000",SALE,중고나라 회원,False,True,포스틱9,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108194026,1108194026
미술/음악_악기,노블오카리나새것,"15,000",SALE,인증+안전거래 회원,False,True,선리기연11,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108193207,1108193207
미술/음악_악기,펜더 멕펜 머스탱 일렉기타 판매합니다,"700,000",SALE,본인인증 회원,False,True,yjs9524,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108192825,1108192825
미술/음악_악기,악기케이블,"20,000",ESCROW,본인인증 회원,True,True,조피니티,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108192583,1108192583
미술/음악_악기,야마하 디지털피아노 CLP 725,"740,000",SALE,본인인증 회원,False,True,leafytree07,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108191722,1108191722
미술/음악_악기,ASTER 아스터 일렉 베이스기타 무광 올블랙 입문자용 풀셋 팝니다,"100,000",SALE,중고나라 회원,False,True,진격의탄지로,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108191285,1108191285
미술/음악_악기,탑솔리드 통기타 헥스 STING GA350CE GA바디 유광 어쿠스틱기타,"250,000",SALE,본인인증 회원,False,True,플로라,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108190686,1108190686
미술/음악_악기,장식용 바이올린 3개 저렴하게 정리합니다.,"60,000",SALE,본인인증 회원,False,True,savetm999,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108189750,1108189750
미술/음악_악기,폐업 매장정리) 야마하피아노 최대한 저렴한 가격에 판매합니다.,"1,600,000",SALE,◆셀러회원◆,False,True,피아노mom,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108188990,1108188990
미술/음악_악기,스튜디오로직 SL73 마스터 키보드,"250,000",SALE,중고나라 회원,False,True,최고,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108188552,1108188552
미술/음악_악기,베스타 베이스기타,"150,000",ESCROW,인증+안전거래 회원,True,True,rockkiss,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108188521,1108188521
