카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
미용_헤어/스킨 케어,부평역 도보5분 뷰티 샵인샵 구해요,"400,000",SALE,중고나라 회원,False,True,망고지롱,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208234,1108208234
미용_헤어/스킨 케어,시오 클리닉 트리트먼트 새상품,"50,000",SALE,중고나라 회원,False,True,서리벼리,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207960,1108207960
미용_헤어/스킨 케어,[ 국문택 새상품 ] 딥디크 헤어미스트 플레르드뽀,"75,000",SALE,인증+안전거래 회원,False,True,poopooding,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207240,1108207240
미용_헤어/스킨 케어,모제림 탈모 샴푸 세트(4종),"65,000",ESCROW,본인인증 회원,True,True,doblack,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206938,1108206938
미용_헤어/스킨 케어,논픽션 가이악플라워 바디워시 300ml/쇼핑백 선물가능,"28,000",ESCROW,본인인증 회원,True,True,찌궁,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206285,1108206285
미용_헤어/스킨 케어,무코타 원데이새치커버스틱(새상품)25000원 반값택배무배,"25,000",SALE,본인인증 회원,False,True,단비사랑,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206138,1108206138
미용_헤어/스킨 케어,레이어랩 콜세지크림 60ml 3개,"82,000",SALE,중고나라 회원,False,True,5002****,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206098,1108206098
미용_헤어/스킨 케어,[부산]아쿠아디파르마 샴푸(300ml)+컨디셔너(300ml) 세트 미개봉 새상품 팝니다,"50,000",SALE,본인인증 회원,False,True,beautifullife1,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205704,1108205704
미용_헤어/스킨 케어,"시세이도 서브리믹 아쿠아 인텐시브 샴푸 500ml + 오리베,케라스타즈 증정","32,000",SALE,중고나라 회원,False,True,까망누렁이,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205601,1108205601
미용_헤어/스킨 케어,"설화수 자음생 안티에이징키트 에센셜 데일리 루틴 키트, 윤조마스크","7,000",SALE,중고나라 회원,False,True,까망누렁이,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205546,1108205546
미용_헤어/스킨 케어,베로니카구입) 엠베카 아이스 포 아이 마스크,"70,000",ESCROW,인증+안전거래 회원,True,True,dbs2068,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205141,1108205141
미용_헤어/스킨 케어,"반값택배천원) 닥터그루트 샴푸,컨디셔너+브넬 노워시 트리트먼트 2개(여행용사이즈)","14,000",SALE,본인인증 회원,False,True,쌍코밍,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205100,1108205100
미용_헤어/스킨 케어,헤드앤숄더 프로페셔널,"15,000",ESCROW,중고나라 회원,True,True,아이스티에 샷,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204623,1108204623
미용_헤어/스킨 케어,디올 헤어미스트,"55,000",ESCROW,중고나라 회원,True,True,today0031,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204272,1108204272
미용_헤어/스킨 케어,듀이트리 클렌징밀크 200ml +200ml 1+1 기획,"13,000",SALE,인증+안전거래 회원,False,True,행복하게,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203962,1108203962
미용_헤어/스킨 케어,"바이레도 BYREDO 발다프리크 - 샴푸, 컨디셔너, 바디워시, 바디로션, 핸드워시","60,000",SALE,중고나라 회원,False,True,mj3511,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203403,1108203403
미용_헤어/스킨 케어,[초저가]화장품샘플 윤조에센스 설화수탄력크림 설화수샘플 헤라샘플 자음생캡슐세럼 진설크림리치 진설아이크림 진설세럼 자음생크림리치 자음생아이크림 더후샘플 화율 화현 진율 기앤진 숨 오휘샘플 아이오페샘플,"2,000",ESCROW,◆셀러회원◆,True,True,찹찹탄력,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203060,1108203060
미용_헤어/스킨 케어,라부케 La Bouquet 텐테놀 팩,"15,000",SOLD_OUT,중고나라 회원,False,False,angel505,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202544,1108202544
미용_헤어/스킨 케어,아윤채 샴푸 본딩 마스크 새상품,"58,000",ESCROW,인증+안전거래 회원,True,True,dhrtns0525,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202313,1108202313
미용_헤어/스킨 케어,어반트라이브 리브인폼,"80,000",SALE,인증+안전거래 회원,False,True,joo0000o,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201635,1108201635
미용_헤어/스킨 케어,입생로랑 헤어미스트,"45,000",ESCROW,중고나라 회원,True,True,yon2027,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201304,1108201304
미용_헤어/스킨 케어,마지막 한분! 선입금7만 총수익 7.8만 틱톡라이트 신규가입 하실분,"78,000",ESCROW,중고나라 회원,True,True,믿음과신뢰의아이콘,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108200957,1108200957
미용_헤어/스킨 케어,메디힐 염색약 10개 (택포),"33,000",SALE,중고나라 회원,False,True,younbin32,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108200572,1108200572
미용_헤어/스킨 케어,릴리이브 그로우턴 앰플팝니다(상자X),"15,000",SALE,중고나라 회원,False,True,송도비버,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108200120,1108200120
미용_헤어/스킨 케어,릴리이브 그로우턴 앰플 6개 팝니다,"100,000",SALE,중고나라 회원,False,True,송도비버,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108200107,1108200107
미용_헤어/스킨 케어,산타마리아노벨라 바디로션,"45,000",SALE,중고나라 회원,False,True,muuoo,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108199871,1108199871
