카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
반려동물_미용/케어 용품,애견미용도구 풀세트 팝니다 (무선클리퍼),"400,000",ESCROW,본인인증 회원,True,True,내일은좋은날,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204992,1108204992
반려동물_미용/케어 용품,레베코코 도그린 펫 샴푸 500ml 새상품 싸게 팝니다. ( 채팅 X ),"20,000",SALE,본인인증 회원,False,True,fdfws,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108199273,1108199273
반려동물_미용/케어 용품,파우 센텔라 모이스춰 카밍겔 500ml,"49,000",SALE,본인인증 회원,False,True,들들들들맘,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108195463,1108195463
반려동물_미용/케어 용품,새장품)마르떼 4정 가위케이스 핑크,"15,000",ESCROW,본인인증 회원,True,True,쭈니,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108186351,1108186351
반려동물_미용/케어 용품,펫 그루밍 키트 / 진공 이발기 팝니다.,"60,000",ESCROW,본인인증 회원,True,True,호아우오오옹,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108186080,1108186080
반려동물_미용/케어 용품,가발 m자라인 붙이는가발,"50,000",SALE,본인인증 회원,False,True,쁘띠맘,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108183822,1108183822
반려동물_미용/케어 용품,샤오미 키즈 펫 스탠드 헤어드라이기,"45,000",ESCROW,중고나라 회원,True,True,antiqueu,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108181022,1108181022
반려동물_미용/케어 용품,아키즈 마스터크리퍼 삽니다!!,"140,000",SALE,본인인증 회원,False,True,paek5994,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108178374,1108178374
반려동물_미용/케어 용품,혼바디 데미지컷 판매합니다.,"23,000",ESCROW,본인인증 회원,True,True,또하봄,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108175898,1108175898
반려동물_미용/케어 용품,하이니거 블루 사파이어,"380,000",SALE,본인인증 회원,False,True,Humble1,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108171969,1108171969
반려동물_미용/케어 용품,반려견 탈수 드라이 케이지,"120,000",ESCROW,본인인증 회원,True,True,가시연,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108171295,1108171295
