카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
반려동물_사료/간식,후코케이,"34,000",SOLD_OUT,본인인증 회원,False,False,멍냥마미맘,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207564,1108207564
반려동물_사료/간식,"반값이하)마이펫닥터 믹스 앤 밸런스 토핑 닭, 연어맛 미개봉 새제품 판매","3,000",ESCROW,인증+안전거래 회원,True,True,오이이이잉잉,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206929,1108206929
반려동물_사료/간식,ANF HOLISTIC,"39,000",ESCROW,본인인증 회원,True,True,okno1440,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206206,1108206206
반려동물_사료/간식,이나바 챠오츄르 235p,"86,000",SALE,중고나라 회원,False,True,anyangan,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205247,1108205247
반려동물_사료/간식,디어니스트키친 탈수건조 그레인프리 터키 907g,"45,000",SALE,중고나라 회원,False,True,yellowgreen22,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204507,1108204507
반려동물_사료/간식,온라인보다 저렴하게 / 오픈팜 에이션트 그레인 강아지 고급 사료,"34,000",SALE,중고나라 회원,False,True,주연이의목포의삶,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204500,1108204500
반려동물_사료/간식,개당 200원 강아지 간식 싹쓸어 가세요 떨이 개간식 사료,"2,000",SALE,중고나라 회원,False,True,주연이의목포의삶,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204485,1108204485
반려동물_사료/간식,레날어드밴스드 독 (새제품/무배),"53,000",SALE,본인인증 회원,False,True,냠냠냐냥,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204377,1108204377
반려동물_사료/간식,릴리스키친 브랙퍼스트 크런치 800g,"25,000",SALE,본인인증 회원,False,True,냠냠냐냥,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203812,1108203812
반려동물_사료/간식,로얄캐닌 독 레날 스몰독 1.5kg 택포,"26,000",ESCROW,인증+안전거래 회원,True,True,흑임자라떼,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203760,1108203760
반려동물_사료/간식,닥테레이 마그네타미니 새상품1상자.개봉45알,"40,000",SALE,본인인증 회원,False,True,아자19,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108199749,1108199749
반려동물_사료/간식,[무료배송] 고양이츄르 350개,"100,000",SALE,중고나라 회원,False,True,hanstatt,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108198236,1108198236
반려동물_사료/간식,이나바 차오츄르 일괄,"55,000",SALE,중고나라 회원,False,True,hanstatt,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108198091,1108198091
반려동물_사료/간식,"닥터힐메딕스 인테스티널 로우펫 4.8키로, 오리젠 2키로 판매합니다","100,000",ESCROW,중고나라 회원,True,True,극적인 순간,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108194892,1108194892
반려동물_사료/간식,유한양행 윌로펫 뉴트리탑 시니어 1.2kg,"33,000",SALE,본인인증 회원,False,True,피로야저리가,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108192448,1108192448
반려동물_사료/간식,로얄캐닌 유리너리 so 처방식 로얄캐닌 유리너리캣,"27,000",SALE,중고나라 회원,False,True,잼잼까꿍,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108192158,1108192158
반려동물_사료/간식,알파짱 이수 누리 명량사회+ 워크북,"48,000",SALE,본인인증 회원,False,True,아이브맘,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108191456,1108191456
반려동물_사료/간식,지위픽 고양이 캔 185g,"5,000",ESCROW,중고나라 회원,True,True,숫눈,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108187982,1108187982
반려동물_사료/간식,벨칸도 마스터크래프트 칠면조 2.2kg+ 슬라이드락 함께 드림 5월 7일에 구입 사료,"40,000",SALE,인증+안전거래 회원,False,True,2430311,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108187300,1108187300
반려동물_사료/간식,[새제품 - TABBY] 태비 강아지 개껌 오리 스틱 새제품[13봉] 팝니다.[무료배송-대전],"2,025",SALE,중고나라 회원,False,True,OldBoy75,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108186208,1108186208
반려동물_사료/간식,수라상 강아지 2키로 사료,"10,000",SALE,본인인증 회원,False,True,vkd13,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108185580,1108185580
반려동물_사료/간식,강아지 기관지 영양제,"20,000",SALE,본인인증 회원,False,True,vkd13,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108185552,1108185552
반려동물_사료/간식,"고양이 습식사료 로우즈,k9,웨루바,위스카스,스텔라앤츄이스 주식캔","2,000",SALE,본인인증 회원,False,True,glejflzjke,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108181893,1108181893
반려동물_사료/간식,지위픽 하우라키 플레인즈 독 습식 캔,"15,000",SALE,중고나라 회원,False,True,이랑지혜,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108181776,1108181776
반려동물_사료/간식,택배비포함 가격) 닥터힐메딕스 케이천 u/k 1.5kg 3포,"57,000",ESCROW,인증+안전거래 회원,True,True,코뿡깜,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108180530,1108180530
반려동물_사료/간식,닥터힐메딕스 H/A 강아지사료 1.2키로 (개봉),"10,000",SALE,본인인증 회원,False,True,vkd13,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108174998,1108174998
반려동물_사료/간식,네츄럴코어 EB02 치킨&연어 5kg (개별 구매 가능/서울 직거래),"20,000",SALE,본인인증 회원,False,True,초비콜링,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108173810,1108173810
반려동물_사료/간식,지위픽 독 트라이프 앤 램 1kg,"50,000",SOLD_OUT,중고나라 회원,False,False,래래리,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108170406,1108170406
