카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
산업용품_산업용품/자재,두산 2.5톤 디젤중고지게차 740만원,"7,400,000",ESCROW,중고나라 회원,True,True,중고안산지게차,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208352,1108208352
산업용품_산업용품/자재,이동식 계단 사다리 고중량 바퀴 장착모델 복층 계단 중2층 조립식 사다리,"399,000",ESCROW,◆셀러회원◆,True,True,슈퍼랙,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208278,1108208278
산업용품_산업용품/자재,[주문제작] 3mx7m 샤워장 컨테이너 판매! 남녀분리+온수기+다용도실 완비!,"9,999,990",ESCROW,중고나라 회원,True,True,컨테이너스토어,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207942,1108207942
산업용품_산업용품/자재,"중고이동식화장실✅ 중고 포세식 이동식화장실 3조, 바로 출고 가능! (경기 여주)","33,000,000",ESCROW,중고나라 회원,True,True,컨테이너스토어,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207760,1108207760
산업용품_산업용품/자재,치과 기공 / 신명 석고 트리머,"400,000",SALE,중고나라 회원,False,True,비바리움매뉘야,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207300,1108207300
산업용품_산업용품/자재,초대형 20인치 거품기/반죽기/도우/휘핑기/믹서용 휘퍼,"50,000",ESCROW,인증+안전거래 회원,True,True,nelagama,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206187,1108206187
산업용품_산업용품/자재,미군 약품싱크대/음식물 워머/스테인레스싱크대,"30,000",ESCROW,인증+안전거래 회원,True,True,nelagama,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206013,1108206013
산업용품_산업용품/자재,✅ 춘천 신북읍 / 샤워장용 특수 컨테이너 판매합니다,"9,999,990",ESCROW,중고나라 회원,True,True,컨테이너스토어,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205883,1108205883
산업용품_산업용품/자재,✅ 춘천 신북읍 위치 / 샤워장용 특수 제작 컨테이너 판매,"8,888,880",ESCROW,중고나라 회원,True,True,컨테이너스토어,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205549,1108205549
산업용품_산업용품/자재,"✅1년 사용 A급 매점 컨테이너(3mx8m), 화장실·주방배관·에어컨","8,888,880",ESCROW,중고나라 회원,True,True,컨테이너스토어,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205189,1108205189
