카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
산업용품_측정/계측/레벨,오실로스코프 TEKTRONIX TDS3054B 정품 PROBE 500MHZ   5GS/s,"1,800,000",SALE,중고나라 회원,False,True,박순열,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205338,1108205338
산업용품_측정/계측/레벨,SpectLight III 표준광원 Booth 중고 장비 판매,"1,234,567",SALE,본인인증 회원,False,True,Meta7,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204892,1108204892
산업용품_측정/계측/레벨,"Tektronix TAP1500 3ea, TPA-BNC 1ea, All Set 중고 판매​","1,234,567",SALE,본인인증 회원,False,True,Meta7,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204870,1108204870
산업용품_측정/계측/레벨,"NARDA EFA-300, B Field Sensor for Field Antenna 중고 판매","123,456",SALE,본인인증 회원,False,True,Meta7,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204833,1108204833
산업용품_측정/계측/레벨,KIKUSUI TOS6100 AC Low Ohm Tester 중고 판매 (교정적용 - 2024년8월),"500,000",SALE,본인인증 회원,False,True,Meta7,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204796,1108204796
산업용품_측정/계측/레벨,Imada DS2-500N (50kgf) & MX-500N Test Stand 중고 A급 판매,"1,800,000",SALE,본인인증 회원,False,True,Meta7,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204747,1108204747
산업용품_측정/계측/레벨,Xilinx platform usb II,"200,000",SALE,본인인증 회원,False,True,프로필을하라니어쩔수,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203679,1108203679
산업용품_측정/계측/레벨,"디지털하이트게이지 (미츠토요, 300MM)","200,000",SALE,본인인증 회원,False,True,kyoungj86,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108199915,1108199915
산업용품_측정/계측/레벨,"AMETEK AMREL BPL400-400-30 / 400W 전자로드, 부하시험기","12,345",SALE,중고나라 회원,False,True,사려니7,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108197443,1108197443
산업용품_측정/계측/레벨,KEYSIGHT 키사이트 34465A / 6.5DIGIT MULTIMETER,"1,100,000",SALE,중고나라 회원,False,True,사려니7,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108196966,1108196966
산업용품_측정/계측/레벨,조립용 전기 전동드라이버 2대,"12,345",SALE,중고나라 회원,False,True,사려니7,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108196467,1108196467
산업용품_측정/계측/레벨,"테스토 정밀 풍량 측정기,온도 측정기 testo417 팝니다","450,000",SALE,본인인증 회원,False,True,복복복불,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108196057,1108196057
산업용품_측정/계측/레벨,YOKOGAWA(요꼬가와) 701931 Current Probe,"3,800,000",SALE,중고나라 회원,False,True,닥터알,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108194940,1108194940
산업용품_측정/계측/레벨,전기 분전함 배전함 배전판 세트 3상 4선식 상태좋음 경기광주,"100,000",SALE,중고나라 회원,False,True,whrudwnd222,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108191628,1108191628
산업용품_측정/계측/레벨,힐티 DD350 습식코아 판매 합니다.,"4,000,000",SALE,중고나라 회원,False,True,앵그리융,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108191371,1108191371
산업용품_측정/계측/레벨,"Anritsu Site Master S331L Cable & Antenna Analyzer, 2MHz~4GHz, 안리쯔 사이트 마스터, 24.11월 교정필","2,000,000",SALE,본인인증 회원,False,True,오쿨실장,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108184208,1108184208
산업용품_측정/계측/레벨,최저가 슈퍼랙 조립식 창고 선반 앵글선반 철제선반 틈새선반 부품선반 중량랙 경량랙,"45,000",ESCROW,◆셀러회원◆,True,True,슈퍼랙,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108183104,1108183104
산업용품_측정/계측/레벨,보쉬 GLL 3-80P,"150,000",SALE,본인인증 회원,False,True,우드니들,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108180898,1108180898
