카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
상품권/티켓/쿠폰_모바일상품권/쿠폰,"<월드타워,코엑스> 하이파이브 무대인사 3주차 14일 15일 통로","17,000",ESCROW,인증+안전거래 회원,True,True,vono1,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208793,1108208793
상품권/티켓/쿠폰_모바일상품권/쿠폰,이마트 상품권 10만권 한장 팔아요,"83,000",SALE,중고나라 회원,False,True,manggo91,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208791,1108208791
상품권/티켓/쿠폰_모바일상품권/쿠폰,BHC - 뿌링클+코카콜라 1.25L / 콰삭킹+코카콜라 제로 1.25L / 후라이드반 양념반+코카콜라 1.25L,"19,500",SALE,본인인증 회원,False,True,anaamam,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208781,1108208781
상품권/티켓/쿠폰_모바일상품권/쿠폰,에어클래스 15% 할인 쿠폰,"3,500",SALE,인증+안전거래 회원,False,True,wlzlwk,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208777,1108208777
상품권/티켓/쿠폰_모바일상품권/쿠폰,"CJ푸드빌 5만원권,3만원권 - 빕스, 뚜레쥬르, N서울타워, 제일제면소 등등 - 잔액관리형 - 여러장도 가능, 앱등록 후 사용 - 빕스 사용시 제휴 할인과(15,000원 할인 바우처, 통신사 할인) 동시 사용OK, 당일사용OK","42,500",SALE,본인인증 회원,False,True,리브유유,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208774,1108208774
상품권/티켓/쿠폰_모바일상품권/쿠폰,<월드타워> 태양의노래 무대인사 11일 수요일 19:00 1인,"5,000",ESCROW,인증+안전거래 회원,True,True,vono1,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208766,1108208766
상품권/티켓/쿠폰_모바일상품권/쿠폰,"파리바게뜨 21% 할인, 최저가 - 블루베리 쉬폰, 클래식 고구마, 우유생크림, 블레싱 레드베리, 토트넘 - 32,000원/32,900원/33,000원/35,000원/35,900원/36,000원 - 파리바게트, 해피오더가능, 타상품가능","2,345",SALE,중고나라 회원,False,True,에이스,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208761,1108208761
상품권/티켓/쿠폰_모바일상품권/쿠폰,애슐리 상품권 5만원,"40,000",SALE,중고나라 회원,False,True,manggo91,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208760,1108208760
상품권/티켓/쿠폰_모바일상품권/쿠폰,스타벅스 프리퀀시,"2,300",SALE,중고나라 회원,False,True,곶감말랭이,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208745,1108208745
상품권/티켓/쿠폰_모바일상품권/쿠폰,366일 무대인사 아카소에이지 내한 코엑스 13일 금,"18,000",ESCROW,인증+안전거래 회원,True,True,vono1,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208727,1108208727
상품권/티켓/쿠폰_모바일상품권/쿠폰,인생네컷 촬영권 ( QR쿠폰 ) 여러개 판매해요.,"2,000",SALE,중고나라 회원,False,True,지니천사,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208710,1108208710
상품권/티켓/쿠폰_모바일상품권/쿠폰,"투썸플레이스 홀케이크 3종 저렴하게 팔아요 - 딸기 생크림, (피치생) 피치 생크림 케이크, (망고생) 망고 생크림 케이크  - 36,000원, 38,000원 금액권으로 사용가능, 타제품 교환 가능, 투썸오더 가능","29,900",SALE,중고나라 회원,False,True,omandom,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208696,1108208696
상품권/티켓/쿠폰_모바일상품권/쿠폰,"KT 데이터 판매합니다(2기가 3000원) (쿠폰, 영화표 판매 多)","3,000",SALE,중고나라 회원,False,True,당근이적생,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208662,1108208662
상품권/티켓/쿠폰_모바일상품권/쿠폰,SKT VIP PICK 롯데면세점 $15 쿠폰 판매합니다.,"4,000",SALE,중고나라 회원,False,True,지니천사,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208631,1108208631
상품권/티켓/쿠폰_모바일상품권/쿠폰,"매입 (중나셀러회원) / [정책,미납] 신세계 현금화*소액-정보,컨텐츠 이용료*결제 상품권 매입*문화상품권*컬쳐랜드*T머니*구글이용료*롯데*이마트 24시/핸드폰/휴대폰/알뜰폰/리니지M","3,333,333",SALE,◆셀러회원◆,False,True,믿고맡기는려리티켓,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208572,1108208572
상품권/티켓/쿠폰_모바일상품권/쿠폰,[매입][최고]정보/소액/정책/구글/이용료 /롯데/스타벅스/컬쳐/문화상품권/각종상품권/틴캐시/  매입,"123,456",SALE,◆셀러회원◆,False,True,최고고aaa,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208488,1108208488
상품권/티켓/쿠폰_모바일상품권/쿠폰,구글 기프트카드 10만권,"80,000",SOLD_OUT,중고나라 회원,False,False,엔믹스설윤아,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208362,1108208362
상품권/티켓/쿠폰_모바일상품권/쿠폰,유튜브 프리미엄 패밀리 그룹원 모집 중,"2,000",ESCROW,중고나라 회원,True,True,디즈인,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208273,1108208273
상품권/티켓/쿠폰_모바일상품권/쿠폰,"[매입][연중/무휴]/롯데/신세계/백화점상품권/현금교환/현금화알뜰폰/모바일/원스토어/컬처/스벅/구글/신용카드/상품권할부/SK,KT,LG/핸드폰/휴대폰/소액/결제/상품권/아이폰/콘텐츠/이용료/미납/정책/한도","4,777,850",ESCROW,◆셀러회원◆,True,True,평가순위1위톰티켓,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208235,1108208235
