카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
상품권/티켓/쿠폰_식음료상품권/쿠폰,"초급처분 BHC// 뿌링클, 맛초킹, 골드킹, 후라이드 양념, 핫 후라이드 치킨 // 도미노피자 //교촌치킨 허니콤보 레드콤보 반반콤보 레드순살 / 황금올리브 레드마요 네네치킨","18,000",SALE,중고나라 회원,False,True,장약남,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208787,1108208787
상품권/티켓/쿠폰_식음료상품권/쿠폰,"44700원) 아웃백,빕스,맥도날드,TGIF 롯데리아,이디야,서가앤쿡,설빙, 매드포갈릭,메가커피 페이즈 / 애슐리 / 배달의민족 5만/올리브영 /CGV","44,700",SALE,중고나라 회원,False,True,장약남,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208762,1108208762
상품권/티켓/쿠폰_식음료상품권/쿠폰,"(허니콤보, 레드콤보, 반반콤보, 레허순살, 마늘간장) 교촌치킨 /BHC 뿌링클 맛초킹 후라이드치킨 골드킹/ 도미노피자/ 네네치킨 반반/ 고추바사삭 황금올리브 갈비천왕","18,000",SALE,중고나라 회원,False,True,장약남,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208721,1108208721
상품권/티켓/쿠폰_식음료상품권/쿠폰,스타벅스 프리퀀시 미션2->일반3 교환 구해요,"12,345",SALE,본인인증 회원,False,True,칙촉촉칙촉,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208671,1108208671
상품권/티켓/쿠폰_식음료상품권/쿠폰,"종류多多/ 황금올리브 9종류, ((교촌치킨)) 허니콤보, 레드콤보, 레허순살, 반반콤보 / ((BHC))맛초킹, 골드킹, 뿌링클, 후양반반 / 네네치킨 스노윙 고추바사삭 순살","18,500",SALE,중고나라 회원,False,True,장약남,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208659,1108208659
상품권/티켓/쿠폰_식음료상품권/쿠폰,"메가커피 아이스아메리카노, 스타벅스 별쿠폰, 투썸 카페라떼2잔","2,345",SALE,중고나라 회원,False,True,ghldnjssla,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208603,1108208603
상품권/티켓/쿠폰_식음료상품권/쿠폰,"손흥민피자, 포테이토 피자, 슈퍼슈프림, 블랙타이거, 도미노피자 / 뿌링클 맛초킹 후라이드 골드킹 / 교촌치킨 허니콤보 레드콤보 반반콤보, 레허반반/ 황금올리브 고추바사삭 네네치킨","14,800",SALE,중고나라 회원,False,True,장약남,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208430,1108208430
상품권/티켓/쿠폰_식음료상품권/쿠폰,"GS25, CU, 세븐일레븐, 이마트24, 메가박스, 투썸, 메가커피, 파리바게뜨, 뚜레쥬르, BBQ, BHC, 멕시카나, 본죽비빔밥, 본도시락, 갤럭시기프트","2,222",SALE,본인인증 회원,False,True,tltmxpaqnstjr,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207705,1108207705
상품권/티켓/쿠폰_식음료상품권/쿠폰,"종류多多 BHC// 뿌링클, 맛초킹, 골드킹, 후라이드 양념,콰삭킹 핫 후라이드 // 도미노피자 //교촌치킨 허니콤보 레드콤보 반반콤보/ 황금올리브 닭다리, 순살","18,000",SALE,중고나라 회원,False,True,점연아,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207476,1108207476
상품권/티켓/쿠폰_식음료상품권/쿠폰,"(허니콤보, 레드콤보, 반반콤보, 마늘간장) 교촌치킨 / BHC 뿌링클 맛초킹 후라이드 골드킹/ 도미노피자/ 네네치킨 / 굽네 고추바사삭 순살/ 도미노피자 /황금올리브 갈비천왕","18,000",SALE,중고나라 회원,False,True,점연아,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207391,1108207391
