카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
스타굿즈_기타,드래곤 길들이기 2주차 특전 / 롯데시네마 스페셜관 포스터,"13,000",SALE,인증+안전거래 회원,False,True,csdnp,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207268,1108207268
스타굿즈_기타,"원신 나비아 바인더, 푸리나 투명 포토카드 등등","10,000",SALE,인증+안전거래 회원,False,True,nyaa928,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206924,1108206924
스타굿즈_기타,붕괴 스타레일 아글라이아 코롯토(맘스터치 콜라보),"7,000",SALE,인증+안전거래 회원,False,True,nyaa928,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206861,1108206861
스타굿즈_기타,"원신 나히다 4주년 색지, 호요랜드 티켓,포토카드(나비아,시그윈,샤를로트) 등등","10,000",SALE,인증+안전거래 회원,False,True,nyaa928,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206637,1108206637
스타굿즈_기타,"봇치더록, 날씨의아이, 트라페지움, 너의색 포스터,ttt","8,000",SALE,인증+안전거래 회원,False,True,nyaa928,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206259,1108206259
스타굿즈_기타,붕괴스타레일 나찰 피규어,"20,000",SALE,인증+안전거래 회원,False,True,nyaa928,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206174,1108206174
스타굿즈_기타,아스트로 앨범 문빈 산하 팬콘 usb 버전 팝니다,"35,000",SALE,인증+안전거래 회원,False,True,쿠키쿠키킼,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206006,1108206006
스타굿즈_기타,"앙스타 앙상블스타즈 토리 유사코롯타, 캔뱃지, 아크릴판매","20,000",SALE,본인인증 회원,False,True,세레니테,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205612,1108205612
스타굿즈_기타,싱글즈 2021년 9월호 장기용,"20,000",SALE,본인인증 회원,False,True,호호형제맘맘,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204153,1108204153
스타굿즈_기타,드래곤 길들이기 ttt 구합니다(교환).  저)아트카드-님)ttt,"2,000",ESCROW,인증+안전거래 회원,True,True,딜리버리 나이트,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203923,1108203923
스타굿즈_기타,[미개봉] BTS/방탄소년단 데뷔 10주년 기념 우표 패킷,"22,000",ESCROW,중고나라 회원,True,True,털복숭이댕댕이,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202368,1108202368
스타굿즈_기타,열혈사제 블루레이 미개봉 선입금 특전,"550,000",SALE,중고나라 회원,False,True,qwer1234,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201268,1108201268
스타굿즈_기타,무한도전 2017년 탁상용 달력/벽걸이 달력/다이어리 (미개봉),"30,000",SALE,중고나라 회원,False,True,Orange Road,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108200538,1108200538
스타굿즈_기타,변우석 교촌 포카 키링 포토카드,"20,000",SALE,본인인증 회원,False,True,낑깡잇잇,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108199974,1108199974
스타굿즈_기타,픽셀리 잠뜰굿즈 GS25 콜라보 한정판 팝니다,"2,000",SALE,본인인증 회원,False,True,강민TCA,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108198620,1108198620
스타굿즈_기타,보이스오브햄릿 특전 엽서 민우혁,"5,000",SALE,본인인증 회원,False,True,시월 하늘,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108195744,1108195744
스타굿즈_기타,이준기 전문매거진 화보집   태국.홍콩.발리,"210,000",SALE,본인인증 회원,False,True,시월 하늘,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108195624,1108195624
