카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
스타굿즈_여자 아이돌,브레이브 걸스 브브걸 여러 카드 등 팝니다.,"2,222",SALE,중고나라 회원,False,True,또다른악마,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207687,1108207687
스타굿즈_여자 아이돌,서든어택 아이들 민니 싸인 폴라 판매합니다,"123,456",SALE,본인인증 회원,False,True,카트잘하고픈 사람,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206330,1108206330
스타굿즈_여자 아이돌,(판매/교환)서든어택 아이들 슈화 친필싸인 장패드 판매합니다,"123,456",SALE,본인인증 회원,False,True,카트잘하고픈 사람,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206313,1108206313
스타굿즈_여자 아이돌,"소녀시대 앨범, 굿즈 등 일괄 택포 판매합니다","100,000",SALE,본인인증 회원,False,True,플러스릴,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204103,1108204103
스타굿즈_여자 아이돌,"아이브 미니브 팝업 엽서(원영,레이,가을), 레이증사, 유진뱃지","4,000",SALE,본인인증 회원,False,True,arborday82,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202861,1108202861
스타굿즈_여자 아이돌,아이브 미니브 팝업 7만원 특전 리즈 포카 택포,"20,000",SALE,본인인증 회원,False,True,arborday82,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201875,1108201875
스타굿즈_여자 아이돌,뉴진스 꼴레 스트링백 블랙,"50,000",SOLD_OUT,본인인증 회원,True,False,레루레기,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201259,1108201259
스타굿즈_여자 아이돌,프로미스나인 첫콘 러브프롬 굿즈,"150,000",ESCROW,인증+안전거래 회원,True,True,saiiiii,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108197200,1108197200
스타굿즈_여자 아이돌,"러블리즈, 모모랜드, 우주소녀 등등 싸인 앨범, 싸인 폴라로이드, 싸인 굿즈 팝니다!!","2,222",SALE,중고나라 회원,False,True,9grade9,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108196201,1108196201
스타굿즈_여자 아이돌,새상품 미개봉 뉴진스 후지와라 히로시 꼴레 반다나 블루 판매합니다,"30,000",ESCROW,인증+안전거래 회원,True,True,나무,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108191165,1108191165
스타굿즈_여자 아이돌,새상품 미개봉 뉴진스 무라카미 메탈 키링 플라워 판매합니다,"34,000",ESCROW,인증+안전거래 회원,True,True,나무,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108191134,1108191134
스타굿즈_여자 아이돌,에스파 아마겟돈 cdp 미개봉 새상품,"195,000",SALE,중고나라 회원,False,True,Asitano,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108188404,1108188404
스타굿즈_여자 아이돌,블랙핑크 응원봉 ver. 2 오피셜 + 리사 포카,"37,000",SALE,본인인증 회원,False,True,Stella,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108187354,1108187354
스타굿즈_여자 아이돌,블랙핑크 응원봉 ver.2 오피셜 + 제니 포카,"37,000",SALE,본인인증 회원,False,True,Stella,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108187147,1108187147
스타굿즈_여자 아이돌,아이유 콘서트 특전 판매합니다,"2,222",SALE,중고나라 회원,False,True,치즈와콜라,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108185918,1108185918
