카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
스포츠/레저_낚시용품,조디아스1610m 팝니다,"90,000",SALE,중고나라 회원,False,True,주안사람이다,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208641,1108208641
스포츠/레저_낚시용품,은어장비 아유잉장비 가마가츠 다이와 등등,"123,456",SALE,본인인증 회원,False,True,신조사님,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208237,1108208237
스포츠/레저_낚시용품,ns 참돔 낚시대,"2,222",ESCROW,중고나라 회원,True,True,두루치킨호,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208031,1108208031
스포츠/레저_낚시용품,미사용 일본산 다이와 시보그 150J-L 전동릴 외 모두일괄 택포 795.000,"795,000",SALE,인증+안전거래 회원,False,True,khurotc1,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207962,1108207962
스포츠/레저_낚시용품,시마노 서베이어,"600,000",ESCROW,본인인증 회원,True,True,멋진포,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207886,1108207886
스포츠/레저_낚시용품,단순개봉) 미사용 테일워크 에깅대팝니다.,"190,000",ESCROW,중고나라 회원,True,True,Re던,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207856,1108207856
스포츠/레저_낚시용품,다이와 뉴에라 버킷햇 DC-5013NK 블랙L/XL 사이즈 팝니다,"65,000",SALE,중고나라 회원,False,True,팍가이,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207794,1108207794
스포츠/레저_낚시용품,포이즌 글로리어스 1610ml 교환합니다.,"250,000",SALE,본인인증 회원,False,True,애풀,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207051,1108207051
스포츠/레저_낚시용품,1회착 XL 컬럼비아 워터프루프 옴니테크 레인자켓 고어텍스자켓,"110,000",SALE,인증+안전거래 회원,False,True,polo4337,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206497,1108206497
스포츠/레저_낚시용품,리틀오션 플로팅 게임 베스트 PF-07블랙 서프루어 구명조끼 팔아요,"170,000",SALE,중고나라 회원,False,True,만 물 상 회,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206387,1108206387
스포츠/레저_낚시용품,극예 157mh 판매 합니다,"350,000",ESCROW,중고나라 회원,True,True,jinkookgiii,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206148,1108206148
스포츠/레저_낚시용품,"낚시 롱노즈 플라이어/ 살림망 45cm 29L
 새상품 (미사용)","30,000",SALE,본인인증 회원,False,True,돌돔좋아요,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206019,1108206019
스포츠/레저_낚시용품,코바 엘리트 좌핸팝니다.,"300,000",ESCROW,중고나라 회원,True,True,청주 이안파파,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205786,1108205786
스포츠/레저_낚시용품,시마노 23년 염월 프리미엄 151PG,"345,000",ESCROW,인증+안전거래 회원,True,True,차바이오텍,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205669,1108205669
