카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
스포츠/레저_축구용품/의류,나이키/NFL 테네시  풋볼 럭비져지 /M,"44,000",SALE,본인인증 회원,False,True,Nadaen,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208744,1108208744
스포츠/레저_축구용품/의류,나이키 팬텀 gx2 프로 tf 270 팝니다,"70,000",SALE,본인인증 회원,False,True,kingjeong,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208716,1108208716
스포츠/레저_축구용품/의류,아디다스 하우스 오브 티로 네이션스 팩 티셔츠 팀 빅토리 레드 화이트 - KR 사이즈,"45,000",SALE,중고나라 회원,False,True,뚱정,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208684,1108208684
스포츠/레저_축구용품/의류,"92아르헨티나 마라도나, 94브라질 호마리우","1,150,000",SALE,중고나라 회원,False,True,jypack10,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208524,1108208524
스포츠/레저_축구용품/의류,"팬텀gt2 엘리트 ag, 265판매","65,000",ESCROW,인증+안전거래 회원,True,True,rlarudgus85,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208472,1108208472
스포츠/레저_축구용품/의류,"(풀박새제품)뉴발란스 퓨론 v7+ 프로 fg, 280판매","105,000",ESCROW,인증+안전거래 회원,True,True,rlarudgus85,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208459,1108208459
스포츠/레저_축구용품/의류,"머큐리얼 슈퍼플라이6 엘리트 fg, 245판매","45,000",ESCROW,인증+안전거래 회원,True,True,rlarudgus85,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208452,1108208452
스포츠/레저_축구용품/의류,"(이태리산, 스페바인솔)팬텀베놈 엘리트 fg, 265판매","95,000",ESCROW,인증+안전거래 회원,True,True,rlarudgus85,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208441,1108208441
스포츠/레저_축구용품/의류,07 경남FC 유니폼 S 90,"130,000",SALE,인증+안전거래 회원,False,True,해땅물,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208317,1108208317
스포츠/레저_축구용품/의류,아디다스 풋살화 판매합니다(사이즈참조),"2,000",SALE,본인인증 회원,False,True,풀문이어요,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208006,1108208006
스포츠/레저_축구용품/의류,아디다스 레알 마드리드 24/25 홈 저지 긴팔 2XL IT3442 판매합니다,"50,000",SALE,중고나라 회원,False,True,hideenodee,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207673,1108207673
스포츠/레저_축구용품/의류,[10켤레] 미즈노 스포츠 양말 이중바닥 골프 축구 야구 탁구 배드민턴,"30,000",SALE,인증+안전거래 회원,False,True,실력은 장비탓,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207650,1108207650
스포츠/레저_축구용품/의류,아디다스 코파 11 퓨어 265 새상품 팝니다.,"200,000",ESCROW,본인인증 회원,True,True,kimtg88,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206866,1108206866
스포츠/레저_축구용품/의류,산리오 X 대구FC 마이멜로디 유니폼 짐색 판매합니다,"80,000",SALE,본인인증 회원,False,True,플모레고,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206390,1108206390
스포츠/레저_축구용품/의류,오버더피치X울산현대호랑이 1996 어웨이 레트로유니폼 L,"65,000",SALE,중고나라 회원,False,True,우드스탁,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206307,1108206307
스포츠/레저_축구용품/의류,데상트 고려대학교 축구부선수실착 유니폼/져지 #3,"55,000",SALE,중고나라 회원,False,True,우드스탁,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206049,1108206049
스포츠/레저_축구용품/의류,2425 토트넘 손흥민 해외xl,"150,000",SALE,중고나라 회원,False,True,seul2222,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205910,1108205910
스포츠/레저_축구용품/의류,K리그 PANINI 파니니 축구카드 135장,"28,000",SALE,본인인증 회원,False,True,고객1,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205096,1108205096
스포츠/레저_축구용품/의류,나이키 07-09 맨체스터유나이티드 홈유니폼/져지 M(100),"90,000",SALE,중고나라 회원,False,True,dokyuhands,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204428,1108204428
스포츠/레저_축구용품/의류,270 크레이지패스트 HMS.1 LL FG 스터드 컷팅 손흥민 크패,"120,000",ESCROW,본인인증 회원,True,True,kB2k,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204100,1108204100
스포츠/레저_축구용품/의류,나이키 축구화 310mm,"90,000",SALE,본인인증 회원,False,True,알바트로스7,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203848,1108203848
스포츠/레저_축구용품/의류,키카 프리미어 k 캥거루 풋살화 265사이즈 판매합니다,"45,000",SALE,인증+안전거래 회원,False,True,범힐센,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203344,1108203344
스포츠/레저_축구용품/의류,24-25 축구 유니폼 어센틱 손흥민 이강인 김민재 라민야말 음바페 벨링엄 메시 홀란드 호날두 살라 파머 라이스 비르츠 로드리 케인 외데고르 맨시티 맨유 리버풀 아스날 토트넘 첼시 PSG 뮌헨 레알 바르샤 인터밀란,"39,000",SALE,,False,True,임페리얼S3,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202647,1108202647
스포츠/레저_축구용품/의류,나이키 머큐리얼 축구화,"80,000",SALE,인증+안전거래 회원,False,True,빛나라파숑숑,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202534,1108202534
스포츠/레저_축구용품/의류,24-25맨시티 어웨이 L 판매합니다,"39,000",SALE,중고나라 회원,False,True,airforceAF,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202507,1108202507
스포츠/레저_축구용품/의류,아디다스 프레데터25 엘리트 AG,"160,000",SALE,중고나라 회원,False,True,host1110,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202484,1108202484
스포츠/레저_축구용품/의류,나이키 티엠포 레전드 10 프로TF 265사이즈 / 풋살화,"55,000",SALE,중고나라 회원,False,True,bk6402,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202076,1108202076
스포츠/레저_축구용품/의류,아식스 c3 tf 풋살화 265사이즈 일본판 신품급 판매,"170,000",SALE,본인인증 회원,False,True,쿠키,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201735,1108201735
스포츠/레저_축구용품/의류,나이키 2020년 국대 축구 유니폼 사이즈 남성 90 여성 95 판매합니다.,"55,000",SALE,중고나라 회원,False,True,hym801004,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201640,1108201640
스포츠/레저_축구용품/의류,나이키 12-13 맨유 트레이닝 유니폼/져지M(100) L(105),"40,000",SALE,중고나라 회원,False,True,dokyuhands,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201409,1108201409
스포츠/레저_축구용품/의류,나이키 2006년 독일월드컵 국대 유니폼 사이즈 105 판매합니다.​,"45,000",SALE,중고나라 회원,False,True,hym801004,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108200786,1108200786
스포츠/레저_축구용품/의류,2002년 한일월드컵 기념 유니폼 사이즈 105 판매합니다.,"40,000",SALE,중고나라 회원,False,True,hym801004,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108200476,1108200476
스포츠/레저_축구용품/의류,"푸마 킹 얼티메이트 FG 캄피나스 JTF5 245, 250 사이즈 판매 및 교환 합니다","100,000",ESCROW,본인인증 회원,True,True,kosbck,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108200413,1108200413
스포츠/레저_축구용품/의류,캄피나스jtf5 푸마 킹 얼티메이트fg 245 250 사이즈 판매,"100,000",ESCROW,본인인증 회원,True,True,kosbck,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108200152,1108200152
스포츠/레저_축구용품/의류,[275][택채새상품] 푸마 킹 얼티메이트 mg 축구화,"124,000",SALE,인증+안전거래 회원,False,True,270mm,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108200065,1108200065
스포츠/레저_축구용품/의류,[270][새상품] 나이키 프리미어 3 tf 풋살화 - 가격인하,"69,000",SALE,인증+안전거래 회원,False,True,270mm,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108199999,1108199999
스포츠/레저_축구용품/의류,나이키 2010년 남아공 월드컵 국대 축구 유니폼 사이즈 100 판매합니다.​,"45,000",SALE,중고나라 회원,False,True,hym801004,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108199723,1108199723
스포츠/레저_축구용품/의류,[270] 나이키 프리미어 3 fg 축구화,"44,000",SALE,인증+안전거래 회원,False,True,270mm,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108199715,1108199715
스포츠/레저_축구용품/의류,[265] 나이키 CTR360 마에스트리 3 hg 축구화,"54,000",SALE,인증+안전거래 회원,False,True,270mm,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108199639,1108199639
스포츠/레저_축구용품/의류,[265] 나이키 티엠포 레전드 5 hg 축구화,"64,000",SALE,인증+안전거래 회원,False,True,270mm,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108198954,1108198954
스포츠/레저_축구용품/의류,미즈노 모렐리아 살라 프로 TF 축구화 280,"60,000",ESCROW,중고나라 회원,True,True,samsung lions v9,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108198760,1108198760
