카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
악세서리_여성 악세서리,로이드 14K 목걸이,"133,000",ESCROW,본인인증 회원,True,True,띠스,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208758,1108208758
악세서리_여성 악세서리,반클리프 14k 세트 판매합니다,"600,000",SALE,본인인증 회원,False,True,성비니니,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208062,1108208062
악세서리_여성 악세서리,반클리프 10모티브 목걸이 18k,"1,050,000",SALE,본인인증 회원,False,True,성비니니,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207955,1108207955
악세서리_여성 악세서리,14k 에메랄드 반지(에메랄드 헤일로 반지),"2,000,000",SALE,본인인증 회원,False,True,sanmuck,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207870,1108207870
악세서리_여성 악세서리,[급처] 수익창출 유튜브 채널 급하게 넘겨요,"2,000",SALE,중고나라 회원,False,True,가즈아 111,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206959,1108206959
악세서리_여성 악세서리,14k 쌀알 진주 목걸이,"320,000",SALE,본인인증 회원,False,True,sanmuck,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206657,1108206657
악세서리_여성 악세서리,스와로브스키 테니스 팔찌,"78,000",SALE,중고나라 회원,False,True,하늘보리928,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205242,1108205242
악세서리_여성 악세서리,Stuff clair earrings,"60,000",SALE,본인인증 회원,False,True,새싹2023,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204786,1108204786
악세서리_여성 악세서리,가격내림! 판도라참 개당 1만원~3만원,"10,000",ESCROW,인증+안전거래 회원,True,True,퐁퐁,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203444,1108203444
악세서리_여성 악세서리,제이에스티나 14k 자개 발찌,"165,000",SALE,중고나라 회원,False,True,yemmin,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203293,1108203293
악세서리_여성 악세서리,바비키링 만들기 가방꾸미기 백참(옷 가방 신발 트위드 빽꾸) 빽꾸 백꾸,"10,000",SALE,본인인증 회원,False,True,finefinefinefine,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203177,1108203177
악세서리_여성 악세서리,"[새상품,선물박스포장]925실버 순은 각인 십자가 레이어드 로즈골드 팔찌 (목걸이 귀걸이 반지 담수 진주 샤넬 14k 18k 반클리프 스와로브스키 구찌 까르띠에 에르메스 루이비통","20,000",ESCROW,중고나라 회원,True,True,꾸미옷장 앱채팅안씀,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202836,1108202836
악세서리_여성 악세서리,"새상품,선물박스포장]데일리 플라워 꽃 실버 써지컬 목걸이(귀걸이 반지 팔찌 담수 진주 샤넬 14k 18k 925실버 반클리프 스와로브스키 구찌 까르띠에 에르메스 티파니앤코 입생로랑","25,000",ESCROW,중고나라 회원,True,True,꾸미옷장 앱채팅안씀,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202807,1108202807
악세서리_여성 악세서리,"일괄,새상품,선물박스포장]눈꽃 골드 볼체인 목걸이+은침 귀걸이 세트(반지 팔찌 담수 진주 샤넬 14k 18k 925실버 반클리프 스와로브스키 구찌 까르띠에 에르메스 티파니앤코 입생","35,000",ESCROW,중고나라 회원,True,True,꾸미옷장 앱채팅안씀,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202775,1108202775
