카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
예술/수집_현대예술작품,무라카미 다카시,"930,000",SALE,중고나라 회원,False,True,ART P,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206727,1108206727
예술/수집_현대예술작품,"김지희작가 트렁크 원화 작품입니다.
24k금박이고 지금은 소장하기 힘든 하나밖에 없는 
작품이예요.","2,800,000",SALE,중고나라 회원,False,True,닥터 폰,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205563,1108205563
예술/수집_현대예술작품,김선우 작가님 모노판화(ed. 30),"2,000,000",SALE,본인인증 회원,False,True,필살냥이,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108196535,1108196535
예술/수집_현대예술작품,이목일화가 2004 호랑이판화,"150,000",SALE,중고나라 회원,False,True,뜻깊은 하루,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108192839,1108192839
예술/수집_현대예술작품,오세영 판화,"100,000",SALE,중고나라 회원,False,True,뜻깊은 하루,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108192608,1108192608
예술/수집_현대예술작품,엘리자베스 랭그리터 전시,"10,000",SALE,중고나라 회원,False,True,토마트,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108166210,1108166210
예술/수집_현대예술작품,"James Nachtwey Inferno와 Steve McCurry, South Southeast 하드커버","160,000",SALE,중고나라 회원,False,True,eplex,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108151504,1108151504
예술/수집_현대예술작품,조영남 극동에서 온 꽃 판화,"650,000",SALE,중고나라 회원,False,True,루이누나48,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108149928,1108149928
예술/수집_현대예술작품,로이 리히텐슈타인 Roy Lichtenstein 판화 12점 일괄,"95,000",SALE,중고나라 회원,False,True,hpt1021,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108148495,1108148495
예술/수집_현대예술작품,박구환작가 아트판화 [액자용] 12점 일괄,"60,000",SALE,중고나라 회원,False,True,hpt1021,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108148360,1108148360
예술/수집_현대예술작품,신장식 작가 아트판화 [액자용] 12점 일괄,"70,000",SALE,중고나라 회원,False,True,hpt1021,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108148195,1108148195
예술/수집_현대예술작품,봄의향기,"50,000",SALE,중고나라 회원,False,True,doswpf1212,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108133355,1108133355
예술/수집_현대예술작품,김일태 화백 순금장미,"5,000,000",SALE,중고나라 회원,False,True,doswpf1212,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108133262,1108133262
예술/수집_현대예술작품,고 이순석 조각가(서울대 미대 교수) 1969년 작품,"1,000,000",SALE,중고나라 회원,False,True,beatles1997,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108131762,1108131762
예술/수집_현대예술작품,"2007 2010  2013 2014 삼성 vip달력 - 앤디워홀, 김홍도, 분청사기 ,타임리스","40,000",SALE,중고나라 회원,False,True,imsi2585,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108118026,1108118026
예술/수집_현대예술작품,삼성생명 vip 달력 김환기 김창열,"130,000",SALE,중고나라 회원,False,True,imsi2585,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108117883,1108117883
