카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
오토바이_기타 오토바이 용품,레블1100dct givi 탑박스 판매합니다,"750,000",SALE,중고나라 회원,False,True,페데기,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207208,1108207208
오토바이_기타 오토바이 용품,[새제품]YAMAHA YZF-R3/R25 메직컬레이싱 레이싱 서킷용 FRP블랙 탱크엔드 Made in Japan,"190,000",SALE,인증+안전거래 회원,False,True,마다로스박,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108199020,1108199020
오토바이_기타 오토바이 용품,Nmax 엔맥스 면목동짐대 면목동 짐대 퀵 짐대 팝니다,"100,000",ESCROW,중고나라 회원,True,True,Nnhan,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108194841,1108194841
오토바이_기타 오토바이 용품,라이더 용품정리 -대품가능-,"380,000",ESCROW,중고나라 회원,True,True,라이더대통령,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108194313,1108194313
오토바이_기타 오토바이 용품,85l 탑박스+브라켓+버거가방 판매합니다,"150,000",SALE,중고나라 회원,False,True,chaosqween,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108194287,1108194287
오토바이_기타 오토바이 용품,베스파 gts300탑박스,"280,000",ESCROW,중고나라 회원,True,True,스톤키드,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108192901,1108192901
오토바이_기타 오토바이 용품,나이키 아디다스 남녀 양말,"2,000",SALE,중고나라 회원,False,True,redbluelov5,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108190840,1108190840
오토바이_기타 오토바이 용품,인스타 에이스프로2 스냅샷번들,"580,000",SALE,본인인증 회원,False,True,쪼곰돌,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108183211,1108183211
오토바이_기타 오토바이 용품,"배달대행 카드기 나이스(구형5핀), 키스(c타입) 팝니다.","110,000",SALE,중고나라 회원,False,True,볼링용품구매,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108179549,1108179549
오토바이_기타 오토바이 용품,701슈퍼모토 순정머플러,"100,000",SALE,중고나라 회원,False,True,호롱불나비,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108177795,1108177795
오토바이_기타 오토바이 용품,xmax300 순정 프론트캘리퍼 팝니다,"50,000",SALE,중고나라 회원,False,True,헐니가감,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108174140,1108174140
오토바이_기타 오토바이 용품,REV'IT 레빗 SEESOFT AIR 레빗자켓전용 등보호대 팝니다,"50,000",SALE,중고나라 회원,False,True,dante223,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108168817,1108168817
오토바이_기타 오토바이 용품,오토바이 바이크진 바지 입니다 [ 피부보호 특수소재 ],"120,000",SALE,중고나라 회원,False,True,히토키리,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108168105,1108168105
오토바이_기타 오토바이 용품,"사륜오토바이, 사발이, 사륜바이크, 씨포스 CFORCE450 씨에프모토 CFMOTO 중고 판매합니다^^","7,500,000",SALE,중고나라 회원,False,True,꼬별님 ㅋㅋ,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108166288,1108166288
오토바이_기타 오토바이 용품,"[정품] 다이네즈 AVRO4 레더 가죽 바이크 자켓(90~95), 가죽바지(80~82) 세트","1,400,000",ESCROW,중고나라 회원,True,True,abcgage,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108161560,1108161560
오토바이_기타 오토바이 용품,손떨방 ID221 c5 pro 액션캠 블랙박스,"170,000",ESCROW,중고나라 회원,True,True,rhkd0gns1,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108161353,1108161353
오토바이_기타 오토바이 용품,아라이 VZ램 하라다투어 L,"400,000",SALE,본인인증 회원,False,True,하루,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108147317,1108147317
오토바이_기타 오토바이 용품,블레이드라이더 xl 세나60s 오픈페이스킷포함 블레이드라이더 고글 포함드림 실착2회 거의새거 세나도 동일사용,"650,000",SALE,중고나라 회원,False,True,쪼쿄,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108143982,1108143982
오토바이_기타 오토바이 용품,SMK 레트로 제트 오픈페이스 헬멧 6만원에 판매합니다. (유광 블랙/옐로우 - XL),"60,000",SALE,인증+안전거래 회원,False,True,bali0805,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108141359,1108141359
오토바이_기타 오토바이 용품,토투48리터 가방 팝니다,"40,000",ESCROW,본인인증 회원,True,True,연아7,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108131721,1108131721
오토바이_기타 오토바이 용품,조이맥스 쿠루심 보이저 우일슬라이드짐대 +순흥 경량 배달박스,"120,000",ESCROW,본인인증 회원,True,True,연아7,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108131095,1108131095
오토바이_기타 오토바이 용품,샤크 아키나 로우 RAW 헬멧 미디엄 고글 새거 1개 추가포함,"100,000",ESCROW,인증+안전거래 회원,True,True,코사주,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108129844,1108129844
오토바이_기타 오토바이 용품,블레이드라이더 헬멧,"150,000",SALE,본인인증 회원,False,True,onekiki,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108119933,1108119933
오토바이_기타 오토바이 용품,본프리 btr쇼티 (m/l) 블랙 새상품(내피추가),"130,000",ESCROW,본인인증 회원,True,True,당산주선생,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108118029,1108118029
오토바이_기타 오토바이 용품,"홍진 알파91 시스템 L , 세나 포함","500,000",SALE,본인인증 회원,False,True,어서눈탱이봐벌라허냐,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108117274,1108117274
오토바이_기타 오토바이 용품,사발이트레일러,"2,300,000",SALE,본인인증 회원,False,True,대관령이좋아,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108114579,1108114579
오토바이_기타 오토바이 용품,평판트레일러와 atv두대(카요불110.와우2(100)팝니다.,"3,500,000",SALE,중고나라 회원,False,True,순정화튜닝,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108111513,1108111513
오토바이_기타 오토바이 용품,"장애인 전동차, 어르신 전동차, 전동스쿠터","350,000",ESCROW,중고나라 회원,True,True,ss123999,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108108697,1108108697
