카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
자동차 용품_휠/타이어/캐리어,(판매)인피니티 Q50 19인치 순정휠 무기스 60만 대전,"600,000",SALE,◆셀러회원◆,False,True,휠제이6,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208610,1108208610
자동차 용품_휠/타이어/캐리어,225-45-18 팔켄타이어 4개 트레드 90%이상,"320,000",ESCROW,중고나라 회원,True,True,hamani,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208471,1108208471
자동차 용품_휠/타이어/캐리어,b58 아크라300 다운파이프,"2,000,000",SALE,중고나라 회원,False,True,yJun96,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207725,1108207725
자동차 용품_휠/타이어/캐리어,(판매)기아 스토닉 17인치 순정휠 무기스 35만 대전,"350,000",SALE,◆셀러회원◆,False,True,휠제이5,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207479,1108207479
자동차 용품_휠/타이어/캐리어,쉐보레 임팔라 휠(20인치 순정휠)(타이어 포함)(휠타이어),"320,000",ESCROW,중고나라 회원,True,True,뚱뚜뚜,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207361,1108207361
자동차 용품_휠/타이어/캐리어,인천휠 k8중고휠 17인치 k8 하이브리드 17인치 건메탈폴리쉬 순정 중고휠 7.0J 판매합니다,"8,989",ESCROW,◆셀러회원◆,True,True,명품휠타이어,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207341,1108207341
자동차 용품_휠/타이어/캐리어,[인천휠/20인치중고휠] 20인치 팰리세이드 LX3 건메탈폴리쉬 순정 중고휠 8.0J 판매합니다,"8,989",ESCROW,◆셀러회원◆,True,True,명품휠타이어,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207332,1108207332
자동차 용품_휠/타이어/캐리어,[인천휠/18인치중고휠]18인치 그랜져GN7 건메탈폴리쉬 순정 중고휠 7.5J 판매,"8,989",ESCROW,◆셀러회원◆,True,True,명품휠타이어,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207307,1108207307
자동차 용품_휠/타이어/캐리어,[인천휠/BMW18인치휠] 18인치 BMW F10 하이퍼실버 순정 중고휠 8.0J 동일제원,"8,989",ESCROW,◆셀러회원◆,True,True,명품휠타이어,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207291,1108207291
자동차 용품_휠/타이어/캐리어,링컨 에비에이터 22인치 자동차휠 새상품,"900,000",ESCROW,본인인증 회원,True,True,p1p2s3h,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207189,1108207189
자동차 용품_휠/타이어/캐리어,스노우체인 태영 자동우레탄 탱크체인 11호,"45,000",ESCROW,중고나라 회원,True,True,jjh1214,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206391,1108206391
자동차 용품_휠/타이어/캐리어,BMW 647m 19인치 휠 타이어 판매합니다.,"700,000",ESCROW,본인인증 회원,True,True,없다,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206121,1108206121
자동차 용품_휠/타이어/캐리어,235 35 20 피렐리 타이어 PZ4 장착무료 A급,"250,000",ESCROW,◆셀러회원◆,True,True,신품급중고전문타이어,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205460,1108205460
자동차 용품_휠/타이어/캐리어,[판매]19인치 BMW M8 ST 휠타이어 세트,"1,400,000",SALE,◆셀러회원◆,False,True,sl휠타이어 남양주,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204983,1108204983
자동차 용품_휠/타이어/캐리어,[판매]19인치 벤츠 e63 st 휠타이어세트,"1,400,000",SALE,◆셀러회원◆,False,True,sl휠타이어 남양주,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204943,1108204943
자동차 용품_휠/타이어/캐리어,"[판매]15인치 bk-p40화이트(모닝,레이,스파크)휠타이어세트","600,000",SALE,◆셀러회원◆,False,True,sl휠타이어 남양주,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204931,1108204931
자동차 용품_휠/타이어/캐리어,245 45 18 넥센 4계절 타이어 AH8 장착무료 A급,"80,000",ESCROW,◆셀러회원◆,True,True,신품급중고전문타이어,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204917,1108204917
자동차 용품_휠/타이어/캐리어,"[판매]15인치 cr-카이(모닝,레이,스파크)휠타이어세트","550,000",SALE,◆셀러회원◆,False,True,sl휠타이어 남양주,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204890,1108204890
자동차 용품_휠/타이어/캐리어,285 45 22 한국 4계절 타이어 다이나프로HT 장착무료 B급,"100,000",ESCROW,◆셀러회원◆,True,True,신품급중고전문타이어,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204611,1108204611
자동차 용품_휠/타이어/캐리어,모하비 허브스페이스 25mm 한대분(4ea),"150,000",SALE,본인인증 회원,False,True,ggozang,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204490,1108204490
자동차 용품_휠/타이어/캐리어,(판매)링컨 컨티넨탈 10세대 프레지덴셜 20인치 무기스 120만 대전,"1,200,000",SALE,◆셀러회원◆,False,True,휠제이2,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204011,1108204011
자동차 용품_휠/타이어/캐리어,235 55 19 브릿지스톤 타이어 듀얼러 장착무료 A급,"110,000",ESCROW,◆셀러회원◆,True,True,신품급중고전문타이어,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203957,1108203957
자동차 용품_휠/타이어/캐리어,"MRF TYPE1 18인치
9.5J +20 / 10.5J +20 / PCD120 [E92 M3 옵셋]","1,500,000",SALE,중고나라 회원,False,True,평택유나이티드,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203876,1108203876
자동차 용품_휠/타이어/캐리어,더뉴스파크 15인치 순정휠타 TPMS포함 팝니다,"370,000",SALE,중고나라 회원,False,True,크로,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203866,1108203866
자동차 용품_휠/타이어/캐리어,투싼 19인치 N라인 임판휠 4짝,"500,000",SALE,중고나라 회원,False,True,너더아,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203820,1108203820
자동차 용품_휠/타이어/캐리어,넥스트스파크 14인치 순정휠타이어 TPMS포함 판매,"380,000",SALE,중고나라 회원,False,True,크로,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203584,1108203584
자동차 용품_휠/타이어/캐리어,(판매)인피니티 G37 쿠페 19인치 엔케이정품 고스트크롬 85만 대전,"850,000",SALE,◆셀러회원◆,False,True,휠제이6,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203446,1108203446
자동차 용품_휠/타이어/캐리어,215 55 18 금호 4계절 타이어 TA31 장착무료 A급,"75,000",ESCROW,◆셀러회원◆,True,True,신품급중고전문타이어,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203270,1108203270
자동차 용품_휠/타이어/캐리어,레이그레비티휠,"390,000",ESCROW,중고나라 회원,True,True,북패왕,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203122,1108203122
