카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
자전거_MTB/사이클,부산 콜나고 프리마 로드사이클,"220,000",SALE,본인인증 회원,False,True,까미21,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207670,1108207670
자전거_MTB/사이클,마돈 7세대 SLR9 판매,"8,700,000",SALE,본인인증 회원,False,True,timedudwns,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207569,1108207569
자전거_MTB/사이클,산악자전거 mtb 자전거,"150,000",ESCROW,인증+안전거래 회원,True,True,게구리게굴,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207512,1108207512
자전거_MTB/사이클,스페셜라이즈드 타막스포츠 2016,"950,000",SALE,중고나라 회원,False,True,2sh1230,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207399,1108207399
자전거_MTB/사이클,데어바이크 MR1s DB 54,"3,500,000",SALE,본인인증 회원,False,True,Cosylee,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206834,1108206834
자전거_MTB/사이클,트렉 마돈 slr7 7세대 52,"8,300,000",ESCROW,인증+안전거래 회원,True,True,욈인,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206061,1108206061
자전거_MTB/사이클,코메트 페인킬러 105di2 24단 전동구동계 카본 디스크 로드 팝니다.,"1,700,000",SALE,본인인증 회원,False,True,kimlomp,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204624,1108204624
자전거_MTB/사이클,"피나렐로 도그마 F (Dogma F) 500 사이즈 – 네뷸라 그린

﻿","6,500,000",ESCROW,인증+안전거래 회원,True,True,베스트규,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204317,1108204317
자전거_MTB/사이클,트렉 원 1.2 신형소라 서이즈52,"350,000",SALE,본인인증 회원,False,True,무엇이든파라보살,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204082,1108204082
자전거_MTB/사이클,메리다 리액토9000 24년식 cf5 기함급,"2,500,000",SALE,인증+안전거래 회원,False,True,모던테리어,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203225,1108203225
자전거_MTB/사이클,"MTB 크랭크 38T Set, 175mm","50,000",SALE,본인인증 회원,False,True,hipo074,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202307,1108202307
자전거_MTB/사이클,22 자이언트 TCR pro 0,"2,500,000",SALE,본인인증 회원,False,True,사나2사나2,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202154,1108202154
자전거_MTB/사이클,*최저가*23년 트렉 슬래시 9.8 *GX AXS * L 29인치,"3,850,000",SALE,◆셀러회원◆,False,True,영MTB위탁판매점,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201801,1108201801
자전거_MTB/사이클,*가격인하*22년 메리다 빅나인 XT S*카본 완성차* -29인치-,"1,750,000",SALE,◆셀러회원◆,False,True,영MTB위탁판매점,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201738,1108201738
자전거_MTB/사이클,"피나렐로 Fx 51.5 보레알레스 블랙 프린스, DT SWISS ARC 1400 62mm","6,600,000",SALE,중고나라 회원,False,True,매운남자이성준,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201637,1108201637
자전거_MTB/사이클,"휠러 이글 5,0 카본 XT 33단 27.5 엠티비","2,500,000",ESCROW,인증+안전거래 회원,True,True,왕왕대표,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201595,1108201595
자전거_MTB/사이클,24년 트렉 마돈 SLR 9 7세대 듀라에이스 Di2 디스크 52,"10,300,000",SALE,◆셀러회원◆,False,True,영MTB위탁판매점,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201482,1108201482
자전거_MTB/사이클,캐논데일 스카펠HT 카본2 29인치 XT12단& 카본휠셋,"3,900,000",ESCROW,인증+안전거래 회원,True,True,왕왕대표,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201402,1108201402
