카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
자전거_기타 자전거 용품,Rapha 라파 익스플로어 그래블 카본 MTB 클릿슈즈/에스웍스 카본 로드클릿슈즈,"318,000",SALE,중고나라 회원,False,True,marine214,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208281,1108208281
자전거_기타 자전거 용품,듀라에이스 크랭크 170MM 50/34,"200,000",ESCROW,본인인증 회원,True,True,겅시기,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207755,1108207755
자전거_기타 자전거 용품,폭스레이싱 긴팔 여름 져지 xl 택포3만,"30,000",SALE,중고나라 회원,False,True,도원아범,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207292,1108207292
자전거_기타 자전거 용품,ASSOS 아소스 MILLE GT 저지 C2 드롭 헤드 자전거 져지 블루 남성용 xl,"80,000",SALE,중고나라 회원,False,True,도원아범,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207275,1108207275
자전거_기타 자전거 용품,시디 드라코2 srs 카본 mtb 택포 15만 동계용 커버 포함,"150,000",SALE,중고나라 회원,False,True,도원아범,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207266,1108207266
자전거_기타 자전거 용품,시마노 로드 클릿 페달 PD-R7000   (105),"50,000",RESERVATION,중고나라 회원,False,True,DY,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206562,1108206562
자전거_기타 자전거 용품,SHIMANO 시마노 RC-903 신형 에스파이어 최상급 카본 로드클릿슈즈 (골드 에디션),"348,000",SALE,중고나라 회원,False,True,marine214,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206376,1108206376
자전거_기타 자전거 용품,ALI 매그 페달 로드2 티타늄 액슬 상태 별로,"32,000",SALE,본인인증 회원,False,True,미래,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205881,1108205881
자전거_기타 자전거 용품,자전거 져지 -속도개- 후래쉬- 자외선차단 선글라스2-3번사용-보온보냉 물통,"50,000",ESCROW,본인인증 회원,True,True,자두와웅이,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205544,1108205544
자전거_기타 자전거 용품,PD-R550 클릿페달 팝니다,"30,000",SALE,중고나라 회원,False,True,기아v,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204863,1108204863
자전거_기타 자전거 용품,포아이 파워미터 3세대 105 fc-r7000 172.5mm  팝니다,"240,000",SALE,중고나라 회원,False,True,기아v,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204823,1108204823
자전거_기타 자전거 용품,울테그라 12단 R8100 165mm 50-34t 크랭크,"220,000",SALE,중고나라 회원,False,True,232563,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204686,1108204686
자전거_기타 자전거 용품,산틱 보아시스템 아테나 여성 MTB 평패달 자전거 신발 245,"35,000",SALE,인증+안전거래 회원,False,True,몽이네가게1,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203809,1108203809
자전거_기타 자전거 용품,LTWOO R5 9단 그룹셋,"40,000",ESCROW,인증+안전거래 회원,True,True,재즈곰곰,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203325,1108203325
자전거_기타 자전거 용품,지로 보아시스템 실린더2 MTB 클릿슈즈 260,"40,000",SALE,인증+안전거래 회원,False,True,몽이네가게1,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203237,1108203237
자전거_기타 자전거 용품,유락 레드테일 GT 자전거 안장 새들백 판매.,"45,000",SALE,본인인증 회원,False,True,이반크,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202521,1108202521
자전거_기타 자전거 용품,휴안 pps3 안장,"50,000",ESCROW,본인인증 회원,True,True,따슨마음,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202406,1108202406
자전거_기타 자전거 용품,S-WORKS 에스웍스 카본 MTB 클릿슈즈+시마노 XT 클릿페달,"318,000",SALE,중고나라 회원,False,True,marine214,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202315,1108202315
자전거_기타 자전거 용품,보바이크 원 미니 블랙 유아 안장,"100,000",SALE,본인인증 회원,False,True,sduiep,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202287,1108202287
자전거_기타 자전거 용품,RC903 에스파이어 285(45) 새것,"350,000",SALE,중고나라 회원,False,True,나먼져,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202163,1108202163
