카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
자전거_전기/특수자전거,니모폴드 전기 자전거,"100,000",ESCROW,본인인증 회원,True,True,blueofrose,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205674,1108205674
자전거_전기/특수자전거,알톤 니모 FD 에디션 전기자전거[23년형],"550,000",SALE,중고나라 회원,False,True,모두다와,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204994,1108204994
자전거_전기/특수자전거,36V 배터리  방전   팝니다.  전동킥보드,"120,000",SALE,중고나라 회원,False,True,rockjyo,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204702,1108204702
자전거_전기/특수자전거,비아지오 v5 배터리 20ah 판매,"290,000",SALE,중고나라 회원,False,True,째빛,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203275,1108203275
자전거_전기/특수자전거,킹송16s,"500,000",SALE,중고나라 회원,False,True,판콜에프,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202895,1108202895
자전거_전기/특수자전거,비아지오v5 배터리,"290,000",SALE,본인인증 회원,False,True,blackdragon5,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202442,1108202442
자전거_전기/특수자전거,나인봇 전동 퀵보드,"150,000",SALE,본인인증 회원,False,True,낭중지추추,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202418,1108202418
자전거_전기/특수자전거,엑스트론 슬림 전기자전거(자토바이),"1,300,000",ESCROW,본인인증 회원,True,True,wang_goon,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202398,1108202398
자전거_전기/특수자전거,Super73 슈퍼73 rx 순정 부품,"111,111",RESERVATION,본인인증 회원,False,True,ekkk33,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201645,1108201645
자전거_전기/특수자전거,24년 리본 전기자전거 M -29인치-,"3,800,000",SALE,◆셀러회원◆,False,True,영MTB위탁판매점,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201625,1108201625
자전거_전기/특수자전거,*882km주행*A-급*22년 트렉 파워플라이4 L -29인치-,"2,600,000",SALE,◆셀러회원◆,False,True,영MTB위탁판매점,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201118,1108201118
자전거_전기/특수자전거,모토벨로 XT7 PRO3 전기자전거 부천,"1,500,000",ESCROW,본인인증 회원,True,True,아가페8183,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108199078,1108199078
자전거_전기/특수자전거,타이타ㄴ 750 전기자전거 거의새거 수준판매 /가격 인하,"720,000",SALE,중고나라 회원,False,True,알로아 1,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108198550,1108198550
자전거_전기/특수자전거,비아지오 V5 전기자전거 새제품급 판매,"1,300,000",SALE,중고나라 회원,False,True,bj나빈스,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108197553,1108197553
자전거_전기/특수자전거,모토벨로 TN8 프로3 팝니다,"1,150,000",SALE,본인인증 회원,False,True,와플와거,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108197390,1108197390
자전거_전기/특수자전거,퀄리 q3s 전기자전거,"300,000",SALE,인증+안전거래 회원,False,True,고구미,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108197344,1108197344
자전거_전기/특수자전거,알톤 니모(alton nimo) 27.5 (21년형),"550,000",SALE,중고나라 회원,False,True,kimhj1228,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108196426,1108196426
자전거_전기/특수자전거,엑스라이더 터보프로 자토바이 팝니다!,"3,400,000",ESCROW,본인인증 회원,True,True,COUNTY2,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108195920,1108195920
자전거_전기/특수자전거,커넥티드 듄시티 전기자전거 판매,"800,000",SALE,본인인증 회원,False,True,달려곰돌,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108194605,1108194605
자전거_전기/특수자전거,전기자전거 풀그립 스로틀,"5,000",ESCROW,인증+안전거래 회원,True,True,WINST,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108194584,1108194584
자전거_전기/특수자전거,첼로 불렛 xc30 전기자전거 emtb,"1,400,000",SALE,중고나라 회원,False,True,충남주진모,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108193246,1108193246
자전거_전기/특수자전거,스카닉 m20 전기자전거 신품급 내용필독후--------,"300,000",SALE,중고나라 회원,False,True,wotjs0624,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108191942,1108191942
