카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
중고폰/모바일_기타,갤럭시 s22 ultra 512g kt 정상해지폰 2대,"800,000",ESCROW,본인인증 회원,True,True,아그립바,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206191,1108206191
중고폰/모바일_기타,애플워치7 45mm GPS 모델 판매 합니다.           배터리 성능 100%,"240,000",SALE,중고나라 회원,False,True,아기염소똥,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205534,1108205534
중고폰/모바일_기타,아이폰16프로 케이스티파이 리플케이스,"30,000",SALE,본인인증 회원,False,True,이노랑랑,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204294,1108204294
중고폰/모바일_기타,lg 뷰티폰 배터리,"25,000",SALE,본인인증 회원,False,True,쒸익쒸익,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203857,1108203857
중고폰/모바일_기타,16프로맥스 정품 클리어 케이스 판매합니다.,"30,000",ESCROW,인증+안전거래 회원,True,True,레드카페아이즈,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202580,1108202580
중고폰/모바일_기타,더쿠 아이디 양도합니다,"130,000",SALE,중고나라 회원,False,True,더쿠매니저,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108196752,1108196752
중고폰/모바일_기타,가민 비보핏4,"10,000",SALE,본인인증 회원,False,True,곰사육사TM,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108196109,1108196109
중고폰/모바일_기타,쿠팡이츠 자담치킨,"4,000",SOLD_OUT,본인인증 회원,False,False,loookie,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108195046,1108195046
중고폰/모바일_기타,애플 이이펜슬1세대+실리콘케이스,"40,000",SALE,중고나라 회원,False,True,뽀글뽀글망,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108194480,1108194480
중고폰/모바일_기타,"LG U+ 유플러스 데이터 1기가 1,800원 / 2기가 2,900원 팔아요","2,900",SALE,중고나라 회원,False,True,레인,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108192284,1108192284
중고폰/모바일_기타,갤럭시 S21 울트라 충전단자,"7,000",ESCROW,중고나라 회원,True,True,곰구구리리탱탱,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108191379,1108191379
중고폰/모바일_기타,갤럭시 s20 울트라 메인 보드 고장 (충전 안됨),"25,000",ESCROW,본인인증 회원,True,True,덕소리오형제,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108191266,1108191266
중고폰/모바일_기타,갤럭시 s20 울트라 그레이 후면 커버 교체용. 정품,"12,000",ESCROW,본인인증 회원,True,True,덕소리오형제,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108191250,1108191250
중고폰/모바일_기타,skt 데이터 2기가 3000원,"3,000",SALE,중고나라 회원,False,True,당당수리,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108190143,1108190143
중고폰/모바일_기타,kt 슬림에그3,"25,000",SALE,본인인증 회원,False,True,N플러스수학,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108188183,1108188183
중고폰/모바일_기타,트위터 계정 구매합니다,"5,000",SALE,본인인증 회원,False,True,찬슬의집탐방,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108188170,1108188170
중고폰/모바일_기타,부푸 아르거스MT,"20,000",SALE,중고나라 회원,False,True,돌연변이개미,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108188055,1108188055
중고폰/모바일_기타,비트+솔라나 듀얼전략 자동매매 1:1 세팅,"1,890,000",SALE,중고나라 회원,False,True,알고리즘트레이딩,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108184876,1108184876
