카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
중고폰/모바일_모바일 주변기기,"이케아 보조배터리 10,400mAh, 라이트닝 케이블","20,000",SALE,본인인증 회원,False,True,우기중고,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208717,1108208717
중고폰/모바일_모바일 주변기기,새제품 - 아이패드 프로 M4 정품 20W USB-C 타입 충전기 + C to C 우븐 케이블 블랙,"35,000",SALE,중고나라 회원,False,True,Clear your mind,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208509,1108208509
중고폰/모바일_모바일 주변기기,애플워치 울트라1 팝니다,"600,000",SALE,중고나라 회원,False,True,축구가너무좋아요,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208365,1108208365
중고폰/모바일_모바일 주변기기,카플 AAWireless2 무선 안드로이드오토 동글,"70,000",SALE,중고나라 회원,False,True,juno_love,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208221,1108208221
중고폰/모바일_모바일 주변기기,굿밸류 아이패드 프로 12.9 마그네틱 거치대,"20,000",SALE,중고나라 회원,False,True,Clear your mind,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207973,1108207973
중고폰/모바일_모바일 주변기기,삼성갤럭시 워치 SM-R800NZSAKOO 실버색상 블루투스 스마트워치 팝니다.,"70,000",SALE,중고나라 회원,False,True,I LOVE HOKKAIDO,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207666,1108207666
중고폰/모바일_모바일 주변기기,거의새것:삼성 갤럭시 워치6+워치충전기,"290,000",SALE,중고나라 회원,False,True,안전거래판매중v,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207651,1108207651
중고폰/모바일_모바일 주변기기,갤럭시 S25 엣지 투명젤리케이스 미개봉,"2,000",SALE,인증+안전거래 회원,False,True,carin12,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207444,1108207444
중고폰/모바일_모바일 주변기기,가민 비보무브 트렌드 판매합니다,"130,000",RESERVATION,본인인증 회원,False,True,점ㅁ ㅕ ㄹ,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207386,1108207386
중고폰/모바일_모바일 주변기기,충전 어댑터,"8,850",ESCROW,인증+안전거래 회원,True,True,미리내5,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207069,1108207069
중고폰/모바일_모바일 주변기기,애플워치8 45mm 미드나이트 팝니다,"260,000",ESCROW,중고나라 회원,True,True,사월,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206722,1108206722
중고폰/모바일_모바일 주변기기,애플워치7나이키 41mm 실버,"178,000",ESCROW,중고나라 회원,True,True,해롱 해롱,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206373,1108206373
중고폰/모바일_모바일 주변기기,갤럭시 버즈3 1번 사용,"70,000",SALE,중고나라 회원,False,True,bangptpt,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206088,1108206088
중고폰/모바일_모바일 주변기기,"애플원 1년 40,000원","40,000",SALE,중고나라 회원,False,True,호가든 로제,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206020,1108206020
