카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
중고폰/모바일_미사용/미개봉,"미개봉 아이패드 프로13 7세대 m4 1tb, 2tb 셀룰러 자급제","2,850,000",ESCROW,중고나라 회원,True,True,최고의상점,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207272,1108207272
중고폰/모바일_미사용/미개봉,"[택포8만,오늘단순개봉] 갤럭시 버즈3 화이트 자가유통용 (제조25년3월)","75,000",SALE,본인인증 회원,False,True,제발사주세요11111111,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207191,1108207191
중고폰/모바일_미사용/미개봉,[최저가 판매] 갤럭시 Z플립6 256GB 자급제 미개봉 새제품 팝니다.,"1,040,000",SALE,◆셀러회원◆,False,True,wannnnnnny,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207155,1108207155
중고폰/모바일_미사용/미개봉,한샘 빨래건조대 판매,"58,000",SALE,중고나라 회원,False,True,리블리2,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204731,1108204731
중고폰/모바일_미사용/미개봉,에어팟 4세대 미개봉 노이즈O,"180,000",SALE,중고나라 회원,False,True,cecilee,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203112,1108203112
중고폰/모바일_미사용/미개봉,박효신 팬텀 6/25(수) 19:30 D구역 1열 2연석,"400,000",SALE,중고나라 회원,False,True,엽떡야채죽,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108203079,1108203079
중고폰/모바일_미사용/미개봉,에어팟 4세대 미개봉 상품 팝니다.,"170,000",ESCROW,본인인증 회원,True,True,Raiinbow,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202820,1108202820
중고폰/모바일_미사용/미개봉,보만 미니큐브건조기 판매해요,"700,000",SALE,중고나라 회원,False,True,리블리2,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202199,1108202199
중고폰/모바일_미사용/미개봉,[최저가 판매] 아이폰16 프로맥스 512GB 자급제 미개봉 새제품 팝니다.,"1,850,000",SALE,◆셀러회원◆,False,True,wannnnnnny,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108201858,1108201858
중고폰/모바일_미사용/미개봉,아이패드 프로 13 7세대 M4 512GB 5G 실버 미개봉,"1,970,000",SALE,인증+안전거래 회원,False,True,Rick0wens,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108199892,1108199892
중고폰/모바일_미사용/미개봉,[최저가 판매] 갤럭시 S24 울트라(ULTRA) 256g 자급제 미개봉 새제품 팝니다.,"1,120,000",SALE,◆셀러회원◆,False,True,wannnnnnny,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108198825,1108198825
중고폰/모바일_미사용/미개봉,"미개봉 아이패드 프로13 m4 1tb, 2tb 셀룰러 자급제","2,850,000",ESCROW,중고나라 회원,True,True,최고의상점,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108197179,1108197179
중고폰/모바일_미사용/미개봉,[최저가 판매] 아이폰16 프로맥스 512GB 자급제 미개봉 새제품 팝니다.,"1,820,000",SALE,◆셀러회원◆,False,True,wannnnnnny,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108195822,1108195822
중고폰/모바일_미사용/미개봉,아이폰 16 프로 맥스 256 화이트 새상품,"1,580,000",SALE,중고나라 회원,False,True,안단티,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108193204,1108193204
중고폰/모바일_미사용/미개봉,프리퀀시 하양이 개당 2000,"2,000",SALE,중고나라 회원,False,True,hyein3131,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108192593,1108192593
중고폰/모바일_미사용/미개봉,"미개봉 아이패드 프로13 7세대 m4 1tb, 2tb 셀룰러 자급제","2,850,000",ESCROW,중고나라 회원,True,True,최고의상점,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108191121,1108191121
중고폰/모바일_미사용/미개봉,스타벅스 아메리카노 판매완료,"111,111",SOLD_OUT,중고나라 회원,False,False,엔젤61,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108190626,1108190626
