카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
컴퓨터_노트북,2019년형 맥북프로16인치 고급형 터치바(i9/16g/1tb/vga 라데온프로5500m),"750,000",SALE,중고나라 회원,False,True,kkkkhhgb,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208687,1108208687
컴퓨터_노트북,"LG 그램 프로 17, 144hz 가방포함 (AS~25.10월까지)","1,000,000",SALE,인증+안전거래 회원,False,True,Besquare,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208328,1108208328
컴퓨터_노트북,[삽니다] 맥북 에어 13 m4 기본형 미개봉 삽니다,"1,300,000",SALE,본인인증 회원,False,True,Nimitz,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208238,1108208238
컴퓨터_노트북,[매입] 노트북 매입 가격 무조건↑UP (삼성/LG/애플/레노버/msi/아수스/기가바이트/Dell),"3,070,000",ESCROW,◆셀러회원◆,True,True,매입 전문 WORLDCOM,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207743,1108207743
컴퓨터_노트북,"맥북프로14 M1 Pro 리퍼 미사용(코어,SSD업글) 판매","1,500,000",ESCROW,인증+안전거래 회원,True,True,인메탈,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207686,1108207686
컴퓨터_노트북,삼성 오디세이 NT850XBC(i7-9세대/RTX2060) 게이밍 노트북,"450,000",ESCROW,중고나라 회원,True,True,우당탕탕쾅,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207543,1108207543
컴퓨터_노트북,트웰브사우스 북아크 스페이스그레이 // 맥북 거치대,"35,000",SALE,본인인증 회원,False,True,팔서,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207382,1108207382
컴퓨터_노트북,Lg gram 엘지 그램16인치 노트북 급처 16zd90q,"850,000",SALE,중고나라 회원,False,True,htpmhse,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207356,1108207356
컴퓨터_노트북,서피스 프로9 i5 16gb 256gb 풀박스 팝니다,"680,000",SALE,중고나라 회원,False,True,휴리스틱,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207072,1108207072
컴퓨터_노트북,서피스북 활용도 최강 싸게 팝니다.,"200,000",SALE,◆셀러회원◆,False,True,몬스터컴퓨터,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206950,1108206950
컴퓨터_노트북,NT550XDA-XC59S 판매합니다,"430,000",ESCROW,중고나라 회원,True,True,오로라큐브,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206944,1108206944
컴퓨터_노트북,asus 2024 프로아트 px13 rtx4060 1테라 램 32기가 판매합니다.,"2,000,000",ESCROW,인증+안전거래 회원,True,True,토칸,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206913,1108206913
컴퓨터_노트북,HP 빅터스 16 s1065AX rtx4060 팝니다,"1,100,000",SALE,중고나라 회원,False,True,무지개,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206622,1108206622
컴퓨터_노트북,삼성노트북 NT305E5A / 티피링크 유무선 와이파이 공유기,"90,000",SALE,중고나라 회원,False,True,천사의행복,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206507,1108206507
컴퓨터_노트북,애플 맥북에어 M1 + 애플 정품 가죽 슬리브 파우치 + 풀커버 보호필름 택포 안전결제,"630,000",ESCROW,중고나라 회원,True,True,클레셔,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206447,1108206447
컴퓨터_노트북,"[판매]레노버 리전5 세라믹 화이트 게이밍 노트북/램32G,RTX3060","850,000",ESCROW,◆셀러회원◆,True,True,섭이네IT,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206250,1108206250
컴퓨터_노트북,[매입]맥북 삼성 그램 게이밍노트북 PC 미개봉 중고 테블릿 기업용 24시간 전국출장매입,"2,000,000",ESCROW,◆셀러회원◆,True,True,노트북매입 IT DATER,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206221,1108206221
컴퓨터_노트북,"[LG전자] 그램 15Z990-VA5BK / i5-8265U, 8GB RAM, 256GB SSD, 15.6"" FHD, 충전기 포함","350,000",ESCROW,◆셀러회원◆,True,True,야옹이바빠요,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206111,1108206111
컴퓨터_노트북,"스티커 인텔 EVO i7, i5, 라이젠, 윈도우 11 , RTX, 지싱크 라데온","2,000",ESCROW,중고나라 회원,True,True,filleisl,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205964,1108205964
컴퓨터_노트북,맥북에어 M1 2020 13인치,"500,000",ESCROW,본인인증 회원,True,True,드럼치는낙타,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205929,1108205929
컴퓨터_노트북,LG그램 16Z90R-GA5DK,"850,000",ESCROW,본인인증 회원,True,True,홍도사7,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205791,1108205791
컴퓨터_노트북,[단순개봉]LG전자 2025 그램 프로17 노트북 판매합니다,"1,480,000",SALE,◆셀러회원◆,False,True,노트존,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205761,1108205761
컴퓨터_노트북,레노버 씽크패드 노트북 Lenovo thinkpad E560 판매합니다.,"180,000",ESCROW,인증+안전거래 회원,True,True,펜탁시안99,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205668,1108205668
컴퓨터_노트북,[매입]24시간 m4max m3max m4 m3pro 매입,"1,000,000",SALE,◆셀러회원◆,False,True,다사요24 01058355451,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205483,1108205483
컴퓨터_노트북,LG전자 2025 그램 프로16 16ZD90TP-GX79K 32GB 노트북 판매합니다,"1,530,000",SALE,◆셀러회원◆,False,True,노트씨앤시,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205310,1108205310
컴퓨터_노트북,레노버 태블릿/노트북 아이디어패드 듀엣3 판매합니다.,"450,000",SALE,중고나라 회원,False,True,sh1125,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205086,1108205086
컴퓨터_노트북,노트북 스탠드 2단 거치대 팝니다.,"10,000",ESCROW,인증+안전거래 회원,True,True,라텐헨가,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205077,1108205077
컴퓨터_노트북,맥북에어 13 2019 골드(배터리 사이클50),"330,000",SALE,본인인증 회원,False,True,햄버어어억,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205009,1108205009
컴퓨터_노트북,애플 맥북에어 M2 스페이스그레이 풀박 S급 / 애플케어플러스 (엘라고 하드케이스 포함) 택포 안전결제,"920,000",ESCROW,중고나라 회원,True,True,WMB,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205003,1108205003
컴퓨터_노트북,[미개봉] 아수스 젠북 14x oled (um5401) 배터리,"50,000",SALE,본인인증 회원,False,True,조개,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204927,1108204927
컴퓨터_노트북,2025 레노버 요가7 2in1 루나레이크 + 와콤AES펜 풀세트,"1,550,000",ESCROW,인증+안전거래 회원,True,True,tinkysnail,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204718,1108204718
컴퓨터_노트북,2025 레노버 요가7 2in1 크라켄 포인트 + 정품 슬림펜 풀세트,"1,450,000",ESCROW,인증+안전거래 회원,True,True,tinkysnail,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204688,1108204688
컴퓨터_노트북,2025 Thinkpad X9 15 루나레이크 풀스펙 + 3년 프리미어 서포트,"2,200,000",ESCROW,인증+안전거래 회원,True,True,tinkysnail,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108204653,1108204653
