카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
키덜트_드론/RC/무선조종,"DJI 아바타2/AVATA2 풀셋(2년 보험), 조종기3 처분합니다 ~","1,200,000",SALE,중고나라 회원,False,True,하늘 풍선,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208704,1108208704
키덜트_드론/RC/무선조종,"DJI 매빅에어2/에어2s 배터리,충전기,조종기,ND필터,케이스,날개,보조배터리 어댑터,짐벌커버 처분합니다 ~","9,999",SALE,중고나라 회원,False,True,하늘 풍선,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208119,1108208119
키덜트_드론/RC/무선조종,"DJI 매빅미니3/프로/미니4프로 대용량배터리,충전허브,ND필터,광각렌즈,조종기,케이스,짐벌커버,날개홀더,날개 처분해요~ (mini)","9,999",SALE,중고나라 회원,False,True,하늘 풍선,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207584,1108207584
키덜트_드론/RC/무선조종,타미야 1/16  센츄리온 풀옵션킷,"1,000,000",SALE,본인인증 회원,False,True,VF1,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108207315,1108207315
키덜트_드론/RC/무선조종,"DJI 매빅3/프로/클래식 ND필터,광각렌즈,조종기,충전기들,케이스,자전거거치대,날개,짐벌커버,가드 처분해요~!","9,999",SALE,중고나라 회원,False,True,하늘 풍선,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206987,1108206987
키덜트_드론/RC/무선조종,매빅4프로 스타트알씨 nd필터,"40,000",SALE,본인인증 회원,False,True,장군이1234,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206845,1108206845
키덜트_드론/RC/무선조종,"DJI 아바타2/아바타1 충전허브,모션,고글구성품,충전기들,케이스(가방),날개,짐벌커버 처분합니다 ! AVATA","9,999",SALE,중고나라 회원,False,True,하늘 풍선,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108206272,1108206272
키덜트_드론/RC/무선조종,DJI Air 3S 플라이 모어 콤보 매빅 에어3s (DJI RC 2) 팝니다 2년케어  -  금천구 직거래,"1,600,000",SALE,본인인증 회원,False,True,갱자,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108205699,1108205699
키덜트_드론/RC/무선조종,어린이 전동차 헤네스 브룬 부품 판매 합니다,"12,345",SALE,본인인증 회원,False,True,SINNANDAYO,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202623,1108202623
키덜트_드론/RC/무선조종,"스펙트럼 IX14,NX10 rc조종기 각각","550,000",ESCROW,인증+안전거래 회원,True,True,유지경성 필,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202000,1108202000
키덜트_드론/RC/무선조종,dji RC-N3 조종기 판매,"100,000",SALE,중고나라 회원,False,True,너불이,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108200909,1108200909
키덜트_드론/RC/무선조종,DJI 매빅2 엔터프라이즈 (Enterprise ) + 스마트컨트롤러,"1,900,000",ESCROW,중고나라 회원,True,True,정과 정,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108198552,1108198552
키덜트_드론/RC/무선조종,EBIMU24GV6+CASE 센서와 수신기 판매합니다.,"330,000",SALE,중고나라 회원,False,True,k4thyun,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108198546,1108198546
키덜트_드론/RC/무선조종,[삽니다] meteor75 pro,"2,000",SALE,본인인증 회원,False,True,아이스라떼말차,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108197474,1108197474
키덜트_드론/RC/무선조종,1/10 드리프트RC 바디 타미야 350z 와이드바디,"100,000",ESCROW,인증+안전거래 회원,True,True,지갑챙겨,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108196717,1108196717
키덜트_드론/RC/무선조종,dji매빅3 클래식 악세사리 팝니다,"450,000",ESCROW,중고나라 회원,True,True,아이디해킹당함사기,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108195913,1108195913
키덜트_드론/RC/무선조종,고글3 + 모컨2,"580,000",SALE,본인인증 회원,False,True,간장계란볶음밥,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108195122,1108195122
키덜트_드론/RC/무선조종,"DJI 매빅에어3 콤보, 케어 보험 정리합니다","1,220,000",SALE,중고나라 회원,False,True,ColoC,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108194817,1108194817
키덜트_드론/RC/무선조종,DJI 매빅3클래식 콤보 세트 넘깁니다,"1,360,000",SALE,중고나라 회원,False,True,ColoC,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108194747,1108194747
키덜트_드론/RC/무선조종,DJI 미니3프로 콤보 플러스(대용량) 넘깁니다 [매빅],"750,000",SALE,중고나라 회원,False,True,ColoC,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108194696,1108194696
키덜트_드론/RC/무선조종,max6 g2 변속기 esc,"200,000",SALE,본인인증 회원,False,True,이니,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108193913,1108193913
키덜트_드론/RC/무선조종,"[일괄] DJI 고글 V2, 아바타1, 모션컨트롤러","470,000",SALE,인증+안전거래 회원,False,True,딴따라씨네,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108192291,1108192291
키덜트_드론/RC/무선조종,DJI 아바타,"190,000",ESCROW,인증+안전거래 회원,True,True,Leggy1221,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108192076,1108192076
키덜트_드론/RC/무선조종,startrc dji 아바타 가방 케이스,"10,000",ESCROW,인증+안전거래 회원,True,True,Leggy1221,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108192051,1108192051
키덜트_드론/RC/무선조종,DJI 아바타 배터리 + 아바타 배터리 충전 허브,"75,000",ESCROW,인증+안전거래 회원,True,True,Leggy1221,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108192041,1108192041
키덜트_드론/RC/무선조종,DJI 아바타 드론 기체 (바인딩 되어 있음),"90,000",ESCROW,인증+안전거래 회원,True,True,Leggy1221,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108192030,1108192030
키덜트_드론/RC/무선조종,DJI 아바타 모션 컨트롤러 2,"40,000",ESCROW,인증+안전거래 회원,True,True,Leggy1221,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108192017,1108192017
키덜트_드론/RC/무선조종,"Wltoy 124017 RC CAR  버기카+추가배터리+전방조향부품+여분 볼트 외,알씨카, 무선조종 자동차","80,000",SALE,본인인증 회원,False,True,한양 보부상,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108191837,1108191837
키덜트_드론/RC/무선조종,라스타 페라리 SF90 1:14스케일 RC카,"35,000",RESERVATION,중고나라 회원,False,True,외부결제유도디진다,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108187807,1108187807
키덜트_드론/RC/무선조종,팬텀3 어드밴스 드론,"350,000",SALE,본인인증 회원,False,True,지오,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108187723,1108187723
키덜트_드론/RC/무선조종,DJI MAVIC AIR 2 매빅 에어 2 배터리 3개 일괄 판매,"140,000",SALE,인증+안전거래 회원,False,True,형조조준,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108186793,1108186793
키덜트_드론/RC/무선조종,dji 아바타2 기체단품 미개봉 팔아요.,"450,000",SALE,중고나라 회원,False,True,niunai214,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108186206,1108186206
키덜트_드론/RC/무선조종,"<구입중> DJI 아바타, AVATA2, FPV 삽니다.","111,111",SALE,중고나라 회원,False,True,Saromo,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108186049,1108186049
키덜트_드론/RC/무선조종,"SW AI를 위한 마이크로비트 v2 with makecode 키트와 새 교재 4.2만원, 원교재사 ai키트 halocode","42,000",SALE,인증+안전거래 회원,False,True,프랙탈우주,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108185686,1108185686
키덜트_드론/RC/무선조종,RC 2 조정기 팝니다,"200,000",SOLD_OUT,중고나라 회원,False,False,하느님의 아들,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108183005,1108183005
키덜트_드론/RC/무선조종,DJI 매빅3 (MAVIC3) 클래식 (DJI-RC 포함)판매합니다,"1,300,000",SALE,중고나라 회원,False,True,화백입니다,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108182767,1108182767
