카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
홈/생활용품_DIY/리폼용품,"이쁜 면,거즈, 네스홈 인견 아마란스 린넨 커트지,코스모일본원단,누빔,방수,쮸리 원단 정리합니다","6,000",ESCROW,인증+안전거래 회원,True,True,리넨마마,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108208185,1108208185
홈/생활용품_DIY/리폼용품,레이스류사진모두정리합니다,"23,000",SALE,중고나라 회원,False,True,냉정한언니의반전,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202995,1108202995
홈/생활용품_DIY/리폼용품,미다비다 생일파티 포토프레임 택포,"13,000",SALE,중고나라 회원,False,True,파워퍼프걸57,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108202581,1108202581
홈/생활용품_DIY/리폼용품,2017년 하얀색 쿠첸 디지탈 물 온도 표시되는 전기 포트 water dispenser 2개 --- 1만 원,"10,000",SALE,인증+안전거래 회원,False,True,okapple,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108199106,1108199106
홈/생활용품_DIY/리폼용품,카오디오를 일반오디오로 개조(블루투스 O),"65,000",SALE,본인인증 회원,False,True,레드프리,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108195725,1108195725
홈/생활용품_DIY/리폼용품,"카오디오를 일반 오디오로 개조 (라디오, usb플레이어)","45,000",SALE,본인인증 회원,False,True,레드프리,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108195639,1108195639
홈/생활용품_DIY/리폼용품,호이데코 코지 비정형 쿼드 클래식블루 러그,"44,000",SALE,중고나라 회원,False,True,잠시 후 돌아옴,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108192457,1108192457
홈/생활용품_DIY/리폼용품,랜선 전화선 압착기,"19,000",ESCROW,중고나라 회원,True,True,짱장군,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108191847,1108191847
홈/생활용품_DIY/리폼용품,"디월트 임팩드릴 비트 세트, 정밀 드라이버 비트, 육각 렌치 등","7,000",ESCROW,중고나라 회원,True,True,곰구구리리탱탱,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108191422,1108191422
홈/생활용품_DIY/리폼용품,야마토  오바록크,"450,000",SALE,중고나라 회원,False,True,신림사,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108190777,1108190777
홈/생활용품_DIY/리폼용품,크로바 퀼팅 가정용 노루발,"12,345",SALE,본인인증 회원,False,True,초록지붕앤,2025-06-10,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1108188019,1108188019
