group,카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
가구,가구/인테리어_침실가구,인아트앤디 통마루 고무나무원목침대. 시몬스 뷰티레스트p허브 라지킹 매트리스,"250,000",SALE,본인인증 회원,False,True,psychesun72,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694784,1107694784
가구,가구/인테리어_침실가구,한샘 유로 503  패널460 +협탁,"200,000",ESCROW,본인인증 회원,True,True,쭈야7777,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107693666,1107693666
가구,가구/인테리어_침실가구,"시몬스 침대 퀸사이즈 프레임, 협탁 10만 팝니다","100,000",SALE,본인인증 회원,False,True,효심특수여객,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107693422,1107693422
가구,가구/인테리어_침실가구,까사미아 마망 침대 화이트 여아침대,"150,000",SALE,본인인증 회원,False,True,지금은정,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107692298,1107692298
가구,가구/인테리어_침실가구,베스트슬립 Z10BLACK 헤븐그레이 소프트 매트리스 + 침대프레임,"1,500,000",SALE,중고나라 회원,False,True,레드향볼,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107691260,1107691260
가구,가구/인테리어_침실가구,에이스 하이브리드테크 퀸 침대,"700,000",ESCROW,중고나라 회원,True,True,짱이야아니야,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107689201,1107689201
가구,가구/인테리어_침실가구,최고급 자개 장농 장롱 옷장 자개장 12자,"1,000,000",SALE,인증+안전거래 회원,False,True,junstar,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107688272,1107688272
가구,가구/인테리어_침실가구,아로마 오일 워머 도자기 2개 5000원,"5,000",SALE,본인인증 회원,False,True,juan1216,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107686449,1107686449
가구,가구/인테리어_침실가구,니스툴그로우 미드벙커 키드,"50,000",SALE,본인인증 회원,False,True,얼씨구리,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107686371,1107686371
가구,가구/인테리어_침실가구,엔틱 빈티지 베드벤치 책상 러브테이블 화장대  팝니다=,"12,345",SOLD_OUT,◆셀러회원◆,False,False,aselfurniture,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107686369,1107686369
가구,가구/인테리어_침실가구,호무로 필굿 알러지케어 침구세트 싱글2인세트,"150,000",ESCROW,중고나라 회원,True,True,푸른빛물,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107684766,1107684766
가구,가구/인테리어_침실가구,#파격 슬라이딩장!!# 모델하우스 전시 제품 시스템장 붙박이장 진짜 이쁜 제품 많아요!!,"2,222",SALE,◆셀러회원◆,False,True,ㅇ대형하우징ㅇ,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107683799,1107683799
가구,가구/인테리어_침실가구,씨가드 닥터필로 DNA 의사가 만든 3중 구조 베개 프리미엄 메모리폼 베개 (미개봉 새상품) 팝니다. 경추베개,"68,000",SALE,중고나라 회원,False,True,돈워리빅해피,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107682742,1107682742
