group,카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
여성패션,여성패션_기타,카렌워커 선글라스 수퍼두퍼 블랙,"15,000",SOLD_OUT,인증+안전거래 회원,True,False,평창빌딩,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696478,1107696478
여성패션,여성패션_기타,SUPER 수퍼선글라스 레트로슈퍼퓨쳐 선글라스 화이트,"20,000",SOLD_OUT,인증+안전거래 회원,True,False,평창빌딩,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695772,1107695772
여성패션,여성패션_기타,베라왕 가방,"29,000",SALE,본인인증 회원,False,True,피오나곤쥬,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695263,1107695263
여성패션,여성패션_기타,센타코어 프로틴세럼,"27,000",ESCROW,본인인증 회원,True,True,연두콕,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694934,1107694934
여성패션,여성패션_기타,여성 프리사이즈 패션 악세사리 반지 3종 세트,"4,500",SALE,인증+안전거래 회원,False,True,leecoris,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694390,1107694390
여성패션,여성패션_기타,손예진 인견쿨 스트랩 감탄브라 3종+팬티,"70,000",SALE,본인인증 회원,False,True,탄콩맘,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694203,1107694203
여성패션,여성패션_기타,소프트콘택트렌즈(난시용),"50,000",SALE,중고나라 회원,False,True,러블리축복,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107691885,1107691885
여성패션,여성패션_기타,구찌 피아트500에디션 네임택,"50,000",SALE,본인인증 회원,False,True,optimuspower,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107691372,1107691372
여성패션,여성패션_기타,"판도라 탄생석 5월 54,10월 50 신신탄 구해요 !","12,345",SALE,본인인증 회원,False,True,illlillliilliliilli,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107691337,1107691337
여성패션,여성패션_기타,피그먼트 볼캡 캡모자 야구모자 새상품 가격내림,"5,000",SALE,본인인증 회원,False,True,illililililili,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107689763,1107689763
여성패션,여성패션_기타,스투시 퍼지 다이스 키링 핑크 판매합니다,"75,000",SALE,본인인증 회원,False,True,mm257,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107689446,1107689446
여성패션,여성패션_기타,셀린느 스카프,"100,000",SALE,중고나라 회원,False,True,djdelight,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107688932,1107688932
여성패션,여성패션_기타,브레라 Brera 선글라스 썬글라스,"65,000",SALE,인증+안전거래 회원,False,True,sun904,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107688484,1107688484
