group,카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
여행,여행/여가활동_여행/숙박 티켓,켄싱턴 설악비치 7월 13일 켄싱턴 로얄 스위트 오션뷰 양도해요,"280,000",SALE,중고나라 회원,False,True,redredgood,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697311,1107697311
여행,여행/여가활동_여행/숙박 티켓,스플라스 리솜 6월 6일~8일 2박 숙박 판매합니다.,"340,000",SOLD_OUT,본인인증 회원,False,False,패미는내친구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697055,1107697055
여행,여행/여가활동_여행/숙박 티켓,"<매진임박>6월 6, 7 파나크영덕 오션뷰 풀빌라~마지막 확보객실 판매중","4,789",SALE,◆셀러회원◆,False,True,범이투어since2021,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696709,1107696709
여행,여행/여가활동_여행/숙박 티켓,용평리조트 17만부터 6월 6 7 연휴 마지막 특가~ 콘도/호텔~ 발왕산케이블카,"7,788",SALE,◆셀러회원◆,False,True,범이투어since2021,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696635,1107696635
여행,여행/여가활동_여행/숙박 티켓,@홍천 비발디파크~현충일특가~6월7토~14토21토28토~오션월드,"6,789",SALE,◆셀러회원◆,False,True,범이투어since2021,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696571,1107696571
여행,여행/여가활동_여행/숙박 티켓,(당일구입가능)홍천오션월드~델피노/삼척/변산/단양 오션플레이~소노벨 천안/거제오션어드벤처,"5,679",SALE,◆셀러회원◆,False,True,범이투어since2021,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696522,1107696522
여행,여행/여가활동_여행/숙박 티켓,(내일) 6/6일 휘닉스평창/소노벨단양/영덕호텔 오션뷰 양도~,"2,222",SALE,◆셀러회원◆,False,True,여행지기11,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696360,1107696360
여행,여행/여가활동_여행/숙박 티켓,설악워터피아 주간권,"29,000",SALE,중고나라 회원,False,True,우리의언어,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696166,1107696166
여행,여행/여가활동_여행/숙박 티켓,7월 4일 콜로세움 옥상(다락) 포함 입장권 2장 양도합니다.,"50,000",ESCROW,본인인증 회원,True,True,망고애벌레,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696090,1107696090
여행,여행/여가활동_여행/숙박 티켓,삽니다 야놀자 혹은 여기어때 5만원이상 70프로에 구해요,"50,000",SALE,본인인증 회원,False,True,qeusa27,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695792,1107695792
여행,여행/여가활동_여행/숙박 티켓,소노벨 단양 west 양도(6월 6일),"200,000",SOLD_OUT,본인인증 회원,True,False,htheword,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695571,1107695571
여행,여행/여가활동_여행/숙박 티켓,전주_베스트웨스턴플러스 호텔(1박/85000원),"85,000",SALE,중고나라 회원,False,True,dusvlf12,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695464,1107695464
여행,여행/여가활동_여행/숙박 티켓,"여름성수기 삼척, 양양, 진도, 거제, 델피노, 영덕, 단양","2,000",SALE,◆셀러회원◆,False,True,트립마스터,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695313,1107695313
여행,여행/여가활동_여행/숙박 티켓,송가인 크루즈 HD투어존 반값에 양도 합니다,"600,000",SALE,중고나라 회원,False,True,드좌이너신군,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695267,1107695267
여행,여행/여가활동_여행/숙박 티켓,<06월14토21토28토>홍천 비발디파크~소노펠리체(빌리지) 외 전지점,"5,000",SALE,◆셀러회원◆,False,True,두번째 여행2,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695163,1107695163
여행,여행/여가활동_여행/숙박 티켓,@6월7월 주중주말~소노벨천안~파나크영덕 풀빌라~변산/거제 쏠비치 삼척 진도 양양~단양 올인클루시브3인~소노캄 여수(대명리조트 호텔~리조트),"8,766",SALE,◆셀러회원◆,False,True,범이투어since2008,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694835,1107694835
여행,여행/여가활동_여행/숙박 티켓,마지막특가>용평리조트 콘도 6월 6 7 1박or2박 출발하실분~~ 발왕산케이블카 워터파크~루지,"9,977",SALE,◆셀러회원◆,False,True,범이투어since2008,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694773,1107694773
여행,여행/여가활동_여행/숙박 티켓,홍천 비발디파크6월 7토 14토21토28토~초특가숙박+오션월드(워터파크)~소노펠리체/소노빌리지,"9,876",SALE,◆셀러회원◆,False,True,범이투어since2008,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694713,1107694713
여행,여행/여가활동_여행/숙박 티켓,홍천 오션월드+구명조끼~하이원 워터월드~삼척/단양/변산/델피노 오션플레이 워터파크 비발디,"7,777",SALE,◆셀러회원◆,False,True,범이투어since2008,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694636,1107694636
여행,여행/여가활동_여행/숙박 티켓,파크로쉬 숙암 스위트룸 조식 포함 팝니다,"319,000",SALE,중고나라 회원,False,True,읜의예,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694427,1107694427
