group,카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
캠핑,캠핑_기타 캠핑카,"14년식 뉴카운티 캠핑카 4인승(1종보통, 7만km)","37,000,000",SALE,본인인증 회원,False,True,파안타,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590164,1107590164
캠핑,캠핑_기타 캠핑카,더뉴그랜드스타렉스 미스터캠퍼 데라렉스 캠핑카,"67,000,000",SALE,본인인증 회원,False,True,putao0915,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588671,1107588671
캠핑,캠핑_기타 캠핑카,21년식 베스트메이크bm5,"5,500,000",ESCROW,본인인증 회원,True,True,ddochi015,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107570088,1107570088
캠핑,캠핑_기타 캠핑카,오리지날 티어드롭 프로캠프 캠핑 트레일러 (미니 카라반),"5,500,000",SALE,본인인증 회원,False,True,초코초키팝,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107557942,1107557942
캠핑,캠핑_기타 캠핑카,300급 카라반 카펜토360 팝니다. (파노라마 전면창으로 시원한뷰),"2,300",ESCROW,본인인증 회원,True,True,DjPyun,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107556665,1107556665
캠핑,캠핑_기타 캠핑카,코반700S 트레일러 팔아요(쿨거래 가격 어느정도 조정가능),"5,000,000",SALE,본인인증 회원,False,True,suk1won,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107551751,1107551751
캠핑,캠핑_기타 캠핑카,봉고3 캠핑카..샤워실..에어컨..노래방..온수기...급매.,"2,000",SALE,본인인증 회원,False,True,쿵쿵22222223,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107545145,1107545145
캠핑,캠핑_기타 캠핑카,400급 카라반 공장직영특판,"24,900,000",SALE,본인인증 회원,False,True,expert777,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107544868,1107544868
캠핑,캠핑_기타 캠핑카,350급 카라반 공장직영 특판 1550만원,"15,500,000",SALE,본인인증 회원,False,True,expert777,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107544849,1107544849
캠핑,캠핑_기타 캠핑카,정박형 카라반 농촌체류형 쉼터 8미터급,"36,000,000",SOLD_OUT,본인인증 회원,True,False,필구햄쓰,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107543094,1107543094
캠핑,캠핑_기타 캠핑카,[ 새제품 ] 야전 침대,"2,000",SALE,본인인증 회원,False,True,별이13579,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107538021,1107538021
캠핑,캠핑_기타 캠핑카,포드 F150 + 랜스825 캠핑카 판매합니다~,"48,000,000",SALE,본인인증 회원,False,True,신흑짱,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107535729,1107535729
캠핑,캠핑_기타 캠핑카,카라반 260급,"8,800,000",SALE,본인인증 회원,False,True,wlstn8432,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107531940,1107531940
캠핑,캠핑_기타 캠핑카,한솔 270W 중고 태양광 모듈 팝니다,"40,000",SALE,본인인증 회원,False,True,안성제일솔라,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107530436,1107530436
캠핑,캠핑_기타 캠핑카,"17년형 포터2 기반 캠핑카(이동업무차) (인산철600, 측면개방형) 전액할부가능!","38,800,000",SALE,◆셀러회원◆,False,True,모든캠핑카 유튜브,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107528883,1107528883
캠핑,캠핑_기타 캠핑카,올로드 T-400 폴딩트레일러 판매 350만원,"3,500,000",SALE,본인인증 회원,False,True,세자매아빠용,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107520428,1107520428
캠핑,캠핑_기타 캠핑카,"카라반 크나우스 500FU 판매합니다 [아쿠아롤, 오수통, 가스통2, 쥬니스 사이드월, 퀵스테이션 제공]","12,000,000",SALE,본인인증 회원,False,True,모지팔,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107516989,1107516989
캠핑,캠핑_기타 캠핑카,"툴레 하프로 팩라인 코토 일체형 루프박스 루프탑텐트 가로바 자전거캐리어 어닝 중고 판매,당일매입(상시 업데이트)","12,345",SALE,◆셀러회원◆,False,True,안양짐캐리어,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107508687,1107508687
캠핑,캠핑_기타 캠핑카,LTT 랜트리 (2015년식) 팝니다. 750만원 삼각폴딩카라반 트레일러,"7,500,000",SALE,본인인증 회원,False,True,먹고자고먹고자고,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107503637,1107503637
캠핑,캠핑_기타 캠핑카,JAYCO 카라반 2017년식 판매합니다.,"10,000,000",SALE,본인인증 회원,False,True,슈렉동,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107502979,1107502979
캠핑,캠핑_기타 캠핑카,"15년 스타렉스하이루프3인승캠핑카(신규제작,샤워실+온수기+온수매트+인산철+전체도색)-전액할부됨","32,800,000",ESCROW,◆셀러회원◆,True,True,모든캠핑카 유튜브,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107502742,1107502742
캠핑,캠핑_기타 캠핑카,"11년식 e카운티 롱바디 5인승 캠핑카(매연3등급, 신규제작) 전액할부가능!","45,800,000",SALE,◆셀러회원◆,False,True,모든캠핑카 유튜브,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107502462,1107502462
캠핑,캠핑_기타 캠핑카,"23년식 현대 스타리아 3인승 캠핑카 (풀옵션, 인산철600, 온수매트,루프랙) 전액할부가능!","48,800,000",SALE,◆셀러회원◆,False,True,모든캠핑카 유튜브,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107502439,1107502439
캠핑,캠핑_기타 캠핑카,"19년 포터 시티밴3인승캠핑카(신규제작,인산철600A+샤워실+온수매트+풀옵션)-전액할부됨","38,800,000",ESCROW,◆셀러회원◆,True,True,모든캠핑카 유튜브,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107502418,1107502418
캠핑,캠핑_기타 캠핑카,"19년 마스터3인승캠핑카(신규제작,인산철600A+샤워실+DC에어컨+하이그라시)-전액할부됨","47,800,000",ESCROW,◆셀러회원◆,True,True,모든캠핑카 유튜브,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107502402,1107502402
캠핑,캠핑_기타 캠핑카,"14년 뉴카운티5인승 프리미엄캠핑카(신규제작,구들장황토침상+풀옵션+9만km)-전액할부됨","58,800,000",ESCROW,◆셀러회원◆,True,True,모든캠핑카 유튜브,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107502391,1107502391
캠핑,캠핑_기타 캠핑카,"11년 카운티4인승캠핑카(신규제작,온돌침상+샤워실+넓은구조+인산철600A+12만km)-전액할부됨","46,800,000",ESCROW,◆셀러회원◆,True,True,모든캠핑카 유튜브,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107502369,1107502369
캠핑,캠핑_기타 캠핑카,"14년형 뉴카운티 롱바디 5인승 프리미엄 패밀리캠핑카 (신규제작, 온돌침상) 전액할부가능!","56,800,000",SALE,◆셀러회원◆,False,True,모든캠핑카 유튜브,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107502351,1107502351
캠핑,캠핑_기타 캠핑카,코치맨프리덤익스프레스248RBS(미국식카라반),"45,000,000",SALE,본인인증 회원,False,True,aema183,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107493761,1107493761
캠핑,캠핑_기타 캠핑카,포레스트카라반 정박형 전시용,"24,000,000",ESCROW,본인인증 회원,True,True,필구햄쓰,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696465,1107696465
캠핑,캠핑_기타 캠핑카,베일리 베가소수 카라반 판매팝니다!,"23,000,000",SALE,본인인증 회원,False,True,이현재크롱,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695380,1107695380
캠핑,캠핑_기타 캠핑카,아드리아 Adiva 512UP 도로 주행 로드형 카라반 팝니다. (500급 급처),"12,000,000",SALE,본인인증 회원,False,True,몽몽몽8754,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107687196,1107687196
캠핑,캠핑_기타 캠핑카,크리스탈 무레아 정박 카라반,"11,000,000",SALE,본인인증 회원,False,True,짜라자라잔,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107685915,1107685915
캠핑,캠핑_기타 캠핑카,지바코코넛2 봉고3 캠핑카 풀옵션 팜니다,"42,000,000",ESCROW,본인인증 회원,True,True,하이보올,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107677331,1107677331
캠핑,캠핑_기타 캠핑카,6m급 중형 정박용 미국산 카라반! 컨디션 굿!,"14,000,000",SALE,본인인증 회원,False,True,에그빌,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107653687,1107653687
캠핑,캠핑_기타 캠핑카,정박형 카라반 농촌체류형 쉼터 8미터급,"36,000,000",ESCROW,본인인증 회원,True,True,필구햄쓰,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107648776,1107648776
캠핑,캠핑_기타 캠핑카,"16년형 그랜드스타렉스 밴 세미캠핑카 (신규제작, 인산철300a) 전액할부가능!","28,800,000",SALE,◆셀러회원◆,False,True,모든캠핑카 유튜브,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107645935,1107645935
캠핑,캠핑_기타 캠핑카,렌트카정식등록된  캠핑카2대 매매,"8,400",SALE,본인인증 회원,False,True,혀비야,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107634881,1107634881
캠핑,캠핑_기타 캠핑카,오버랜드칸 캠핑카 팝니다. 가격다운!,"4,650",SOLD_OUT,본인인증 회원,False,False,포도밭사내,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107633506,1107633506
캠핑,캠핑_기타 캠핑카,주니스 어닝 모기장,"120,000",SOLD_OUT,본인인증 회원,False,False,귀공자백곰,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107628670,1107628670
캠핑,캠핑_기타 캠핑카,르노 마스터20년식 2만8천KM 월든 프레스티지 SD3 옵션좋은 차량 급처 판매중!,"49,900,000",SOLD_OUT,본인인증 회원,True,False,ajdsifjjfff,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107625879,1107625879
캠핑,캠핑_기타 캠핑카,"20년식 13880km 스타모빌 st-5 풀옵션 (급매, 급처) 판매중","47,000,000",SOLD_OUT,본인인증 회원,True,False,ajdsifjjfff,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107625565,1107625565
캠핑,캠핑_기타 캠핑카,급매 팔로미니 미국식 카라반 179 판매합니다,"15,500,000",SALE,본인인증 회원,False,True,라라빠빠,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107625121,1107625121
캠핑,캠핑_기타 캠핑카,CURT #17500 무게분산히치 팝니다,"850,000",ESCROW,본인인증 회원,True,True,HKMC,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107621060,1107621060
캠핑,캠핑_기타 캠핑카,깨끗한 아드리아 알테아 카라반 600급 팝니다.,"30,000,000",SOLD_OUT,본인인증 회원,False,False,덜아이몽,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107615335,1107615335
캠핑,캠핑_기타 캠핑카,"툴레 하프로 팩라인 코토 일체형 루프박스 루프탑텐트 가로바 자전거캐리어 어닝 중고 판매,당일매입(상시 업데이트)","12,345",SALE,◆셀러회원◆,False,True,안양짐캐리어,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107615290,1107615290
캠핑,캠핑_기타 캠핑카,정박형 카라반/농막 하부 프레임(바퀴달린프레임) 팝니다!!!,"3,000,000",ESCROW,본인인증 회원,True,True,Akram01,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107611979,1107611979
캠핑,캠핑_기타 캠핑카,파세코 PKH - 4400 석유난로,"2,000",SALE,본인인증 회원,False,True,별이13579,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107609557,1107609557
캠핑,캠핑_기타 캠핑카,"19년형 더뉴스타렉스3인승하이루프캠핑카(신규제작,인산철+온수매트+전체도색+정비끝)-전액할부됨","38,800,000",ESCROW,◆셀러회원◆,True,True,모든캠핑카 유튜브,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107608017,1107608017
캠핑,캠핑_기타 캠핑카,"21년형식 더 뉴 그랜드 스타렉스 2인승 하이루프 캠핑카(신규제작, 온수매트)전액할부가능!","38,800,000",SALE,◆셀러회원◆,False,True,모든캠핑카 유튜브,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107607793,1107607793
캠핑,캠핑_기타 캠핑카,"15년 스타렉스하이루프3인승캠핑카(최고높은모델,인산철+온수매트,11만km)-전액할부됨","28,800,000",ESCROW,◆셀러회원◆,True,True,모든캠핑카 유튜브,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107607776,1107607776
캠핑,캠핑_기타 캠핑카,"15년형 스타렉스하이루프3인승캠핑카(신규제작,4륜,인산철300A+온수매트+전체도색+정비완료)-전액할부됨","31,800,000",ESCROW,◆셀러회원◆,True,True,모든캠핑카 유튜브,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107607760,1107607760
캠핑,캠핑_기타 캠핑카,"12년 카운티4인승프리미엄캠핑카(신규제작,인산철600+보일러시스템+샤워실+정비완료)-전액할부됨","49,800,000",ESCROW,◆셀러회원◆,True,True,모든캠핑카 유튜브,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107607747,1107607747
