카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
가공식품_기타,새상품) 비밀의 사과 판도라 애사비 300g 판매,"6,300",ESCROW,인증+안전거래 회원,True,True,오이이이잉잉,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697627,1107697627
가공식품_기타,천마보위 70 ml 30포 쇼핑백 포함 5박스 무료배송,"94,000",SALE,중고나라 회원,False,True,택배외불가,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696945,1107696945
가공식품_기타,팝니다,"2,000",SALE,중고나라 회원,False,True,Yoggole,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696619,1107696619
가공식품_기타,유산균 5천원 개당 친구가 먹으라구 보내줌 50개 있음,"5,000",SALE,인증+안전거래 회원,False,True,택배외문의사절합니다,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696583,1107696583
가공식품_기타,"[모두 미개봉] 산삼 쾌활고 100년 산삼청 + 도라지청, 제누 스테비아 단백질 커피믹스, 맥심 모카골드 아메리카노, 무궁화 천녹정 VVIP 세트, 톨앤핏 활력 아미노알파, 임꺽정 철갑상어, 진도농협 구기자진액 골드","2,000",ESCROW,중고나라 회원,True,True,아이사늘,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695830,1107695830
가공식품_기타,콘드로이친 상어연골 1200  6박스 무료배송 90정x6박스 박스당3개월분,"53,500",SALE,인증+안전거래 회원,False,True,집안살림 정리중임,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695487,1107695487
가공식품_기타,뉴케어 아미노,"40,000",SALE,본인인증 회원,False,True,초코우유,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107693105,1107693105
가공식품_기타,"[효명] 푸짐한 온가족 갈비탕 2.5kg-15,900원, 어마어마한 얼큰우거지감자탕 3kg-13,900원, 프리미엄 안창살/토시살 600g-15,900원, 뼈없는 저온숙성 돼지목살왕구이 600g 2팩-11,900원 (무배)","15,900",SALE,중고나라 회원,False,True,채서MAM,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107692386,1107692386
가공식품_기타,나노웰 지포스 미개봉 새상품,"80,000",SALE,본인인증 회원,False,True,deephug,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107691833,1107691833
가공식품_기타,채연가 애사비 팝니다,"25,000",ESCROW,본인인증 회원,True,True,qhdk114,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107690879,1107690879
가공식품_기타,"스타벅스 발렌시아 시럽, 자몽시럽 자몽청 대만","13,000",ESCROW,인증+안전거래 회원,True,True,키티쥬아,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107690540,1107690540
가공식품_기타,(새싱품) 베트남 1등급 침향 아가그린플러스 3개월분 팝니다,"700,000",SOLD_OUT,인증+안전거래 회원,True,False,ntns,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107690031,1107690031
가공식품_기타,크런틴 프로틴 1박스,"20,000",SALE,본인인증 회원,False,True,판매합니다,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107689871,1107689871
가공식품_기타,"생면 메밀소바(개별포장) 10인분+비빔소바 5인분-16,900원, 스지듬뿍 된장전골 800g 2개-15,000원, 순살 제주 은갈치 100g 10마리-47,900원,열무김치 2kg-8,700원 (무배) - 6/5일 하루만!! -","16,900",SALE,중고나라 회원,False,True,채서MAM,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107689646,1107689646
가공식품_기타,엘레나 질 유산균,"15,000",SALE,중고나라 회원,False,True,먹고싶다잉,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107689244,1107689244
가공식품_기타,"[하루특가] [온브릭스] 최적의 산지만, 프리미엄 꿀수박(특품) 6-7kg-25,900원, 7~8kg-29,900원, [엠픽파머스] 장관상 받은 토종품종 무농약 대추방울토마토 500g 4팩-12,900원 (무배) - 6/5일 하루만!! -","25,900",SOLD_OUT,중고나라 회원,False,False,brainy9092,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107684413,1107684413
가공식품_기타,육개장 36개 삽니다,"18,000",ESCROW,인증+안전거래 회원,True,True,보석팡,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107684408,1107684408
가공식품_기타,"발효진생고 30포 아주 싸게 팝니다 (택포 5만 2천원). 면역력 증진, 100% 국내산 인삼, 생지황, 벌굴, 복령 수험생","49,000",SALE,본인인증 회원,False,True,느릿게걷자,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107684327,1107684327
가공식품_기타,주비푸드 갈아만든 생와사비 + 간장소스 세트 고추냉이 14종. (미개봉 새제품) 그릴드비프 생와사비 그릴드포크 생와사비 사시미간장소스,"24,000",SALE,본인인증 회원,False,True,느릿게걷자,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107684276,1107684276
가공식품_기타,노라 쉐이크 검정콩 든든서리태 총 10개,"15,000",ESCROW,본인인증 회원,True,True,1리니1,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107684112,1107684112
가공식품_기타,"정원식품 발아곡물세트 잡곡세트 10봉 100% 국내산 미개봉. 발아 황금찰보리, 찰보리쌀, 압맥, 보리쌀, 겉보리쌀, 15곡 혼식","29,000",SALE,중고나라 회원,False,True,늘해량,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107683879,1107683879
가공식품_기타,이야이야앤프렌즈 올리브오일 스틱 + 샷잔 세트,"69,000",SALE,본인인증 회원,False,True,cosmography,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107683821,1107683821
가공식품_기타,원데이 알파시클로덱스트린,"10,000",SALE,중고나라 회원,False,True,또선생포에버,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107682994,1107682994
가공식품_기타,슬림쏙 씬덱스3500,"25,000",SALE,중고나라 회원,False,True,또선생포에버,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107682973,1107682973
가공식품_기타,"[하루특가] [동아오츠카] 강탄산 탄산수 라인바싸 40입-10,900원, [동원샘물] 2L 18개-8,940원(개당 496.66원), [풀무원] 톡스콤부차 스파클링 레몬맛 350ml 24캔-22,900원 (무배) - 6/5일 하루만!! -","10,900",SOLD_OUT,중고나라 회원,False,False,brainy9092,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107682503,1107682503
가공식품_기타,스팸 12k호  팝니다,"20,000",SALE,본인인증 회원,False,True,지훈먐,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107682274,1107682274
가공식품_기타,런천미트 8호 팔아요,"18,000",SALE,본인인증 회원,False,True,지훈먐,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107681914,1107681914
가공식품_기타,스팸8호팝니다,"20,000",SALE,본인인증 회원,False,True,지훈먐,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107681719,1107681719
가공식품_기타,녹용 홍삼진 30포 X5박스 150포 선물 받은거 판매,"84,000",SALE,중고나라 회원,False,True,택배외불가,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107680513,1107680513
가공식품_기타,곰보배추시럽 10개일괄 택포75000,"75,000",SALE,본인인증 회원,False,True,크롱2222,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107679684,1107679684
가공식품_기타,베트남 침향 최신상품 아가골드 프리미엄,"2,000",SALE,본인인증 회원,False,True,형순이모님,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107678078,1107678078
가공식품_기타,에이밍마켓,"22,222",SALE,중고나라 회원,False,True,빵빵이아,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107676342,1107676342
가공식품_기타,백설 쇠고기다시다1.2+한식예찬200g 동봉,"13,000",SALE,본인인증 회원,False,True,강원도신뢰인,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107676004,1107676004
가공식품_기타,한끼대용잔소리 2.6만 (오필리 구 먹을사람),"26,000",ESCROW,중고나라 회원,True,True,happy0314,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107675619,1107675619
가공식품_기타,무심헌 24 빙도 지계 200g 보이차,"250,000",SOLD_OUT,본인인증 회원,False,False,dhffhfhfhf,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107675269,1107675269
가공식품_기타,석가명차 오운산 2017 방동 333g 보이차,"170,000",SALE,본인인증 회원,False,True,dhffhfhfhf,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107674584,1107674584
가공식품_기타,일본 우콩의힘 30정 판매합니다,"20,000",SALE,중고나라 회원,False,True,쿨쿨거래맨,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107673366,1107673366
가공식품_기타,일본 신루루a 정s 100정 판매합니다,"25,000",SALE,중고나라 회원,False,True,쿨쿨거래맨,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107673274,1107673274
가공식품_기타,어라운즈 골드 멜로우 커피 500g 커피원두,"9,000",ESCROW,중고나라 회원,True,True,얄루,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107672469,1107672469
가공식품_기타,상록원 명품 녹용,"370,000",ESCROW,본인인증 회원,True,True,대박노사장,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107671418,1107671418
가공식품_기타,"영라뉴 프로틴쉐이크 스위트콘, 코코아","20,000",SOLD_OUT,본인인증 회원,False,False,guuen,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107671066,1107671066
