카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
가공식품_비음료,백세 홍삼진 70ml 30포 5박스 열많아서 못먹어서 판매함,"84,000",SALE,중고나라 회원,False,True,사기구분못함연락사절,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107693585,1107693585
가공식품_비음료,홍삼엔 건강세상 30포x6박스 180포 쇼핑백포함 안먹어서 저렴히 판매. 6만원 무료배송,"60,000",SALE,본인인증 회원,False,True,모르면연락하지마세요,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107690834,1107690834
가공식품_비음료,"생유산균 5,000원 택배외 불가 30개 선물 받은거 다 못 먹어서 판매함","5,000",SALE,본인인증 회원,False,True,모르면연락하지마세요,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107690683,1107690683
가공식품_비음료,랩노쉬 프로틴 쉐이크 단백쿠키 등 16종 일괄,"23,000",SALE,인증+안전거래 회원,False,True,랏쏘ㅇ,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107690528,1107690528
가공식품_비음료,육개장 사발면 24개,"15,000",SALE,중고나라 회원,False,True,표이,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107674017,1107674017
가공식품_비음료,두바이 픽스 초콜릿 정품 전국 최저가 택배가능,"48,000",SOLD_OUT,인증+안전거래 회원,True,False,qusdnfka,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107663410,1107663410
가공식품_비음료,페이퍼백 리포좀 글루타치온 플러스 1000 반값택포,"120,000",SALE,인증+안전거래 회원,False,True,초원,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107656630,1107656630
가공식품_비음료,마이프로틴 인스턴트오트 2묶음,"40,000",ESCROW,인증+안전거래 회원,True,True,vede****,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107644394,1107644394
가공식품_비음료,군산에서 20키로 쌀 팔아요...무료배송입니다(군산만요),"40,000",ESCROW,중고나라 회원,True,True,군산 다판당,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107633356,1107633356
가공식품_비음료,제트맥스 카브 게이너 판매합니다,"40,000",ESCROW,중고나라 회원,True,True,한찬찬찬,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107627007,1107627007
가공식품_비음료,대만 총잉누가크래커,"16,000",SALE,중고나라 회원,False,True,늅늅,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107623530,1107623530
