카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
가공식품_음료,랩노쉬 프로틴 초코맛 34개,"51,000",SALE,중고나라 회원,False,True,akfnahd1234,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695829,1107695829
가공식품_음료,돌체구스토 스타벅스 캡슐/일리 디카페인 카페라떼 스틱 /이디야 핸드드립 커피/칸타타 캔커피,"5,000",SALE,인증+안전거래 회원,False,True,노믹,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107690353,1107690353
가공식품_음료,"스타벅스 프리퀀시 미션 1개, 일반 1개","5,000",SOLD_OUT,중고나라 회원,True,False,무지개,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107688860,1107688860
가공식품_음료,연습용 원두 팝니다.,"9,000",SALE,본인인증 회원,False,True,opopwasd,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107687728,1107687728
가공식품_음료,무료배송) 맥심 모카 골드 커피믹스 210T x 4,"99,000",SOLD_OUT,본인인증 회원,True,False,딩클레어,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107686158,1107686158
가공식품_음료,베트남 커피,"17,000",SALE,본인인증 회원,False,True,jmface,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107682962,1107682962
가공식품_음료,🤸‍♂️개구리즙은 성장기 아이들에게 많은 도움을 줍니다.🤸‍♂️,"150,000",ESCROW,중고나라 회원,True,True,건강명가,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107681976,1107681976
가공식품_음료,피타니 애사비 제니스칼 애사비샷,"60,000",SALE,본인인증 회원,False,True,faithj,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107665138,1107665138
가공식품_음료,칸타타 파우치 헤이즐넛향 아메리카노 1박스(10개) 싸게 팝니다.,"6,000",ESCROW,인증+안전거래 회원,True,True,제플리온,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107654934,1107654934
가공식품_음료,유기농 레몬즙 10박스(140포) 판매 (1박스단위로 가능),"34,000",SALE,중고나라 회원,False,True,공공칠뿡,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107652934,1107652934
가공식품_음료,뉴케어 화이바,"20,000",SALE,중고나라 회원,False,True,루룰마미,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107648122,1107648122
가공식품_음료,바나프레소 아메리카노+베이글 기프티콘 싸게 판매합니다,"2,000",SALE,본인인증 회원,False,True,09090e,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107647650,1107647650
가공식품_음료,미개봉새상품 황금이네 100% NFC착즙 유기농 석류즙 30포 팔아요,"15,000",ESCROW,본인인증 회원,True,True,2H7H,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107647364,1107647364
가공식품_음료,집중력이 떨어질땐 천연카페인 이롬 아미노 에너지샷 모로오렌지 저렴히 팝니다 보충제 각성제 몬스터,"11,111",SALE,중고나라 회원,False,True,lamlamlam77,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107639655,1107639655
가공식품_음료,심플라떼 51개 판매합니다. = 10200원+택배비 착불(별도)(개당 200원) 유통기한 25.8.27.,"10,200",ESCROW,본인인증 회원,True,True,pjm7909,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107630235,1107630235
가공식품_음료,뉴케어 구수한맛 200ml +고소한 검은깨맛 200ml 60개,"59,000",SOLD_OUT,인증+안전거래 회원,True,False,lyjo****,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107624931,1107624931
가공식품_음료,에너지스쿱 브록온 2박스일괄,"160,000",ESCROW,본인인증 회원,True,True,일월사일,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107624498,1107624498
가공식품_음료,마오타이주 팝니다. 2016년,"350,000",SOLD_OUT,중고나라 회원,False,False,telojb,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107623608,1107623608
