카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
가구/인테리어_서재/사무용가구,시디즈링고의자,"90,000",SALE,본인인증 회원,False,True,Park4985,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592606,1107592606
가구/인테리어_서재/사무용가구,"[삽니다] 무인양품 떡갈나무 수납선반 책장 삽니다. 5x3, 3x3, 3x2","500,000",ESCROW,중고나라 회원,True,True,inno202,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590927,1107590927
가구/인테리어_서재/사무용가구,무인양품 워킹체어 베이지 팔걸이포함,"80,000",SOLD_OUT,중고나라 회원,True,False,싲싲,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589045,1107589045
가구/인테리어_서재/사무용가구,몰(moll)책상과 컴프프로 의자 팔아요,"800,000",ESCROW,중고나라 회원,True,True,쫑,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107587112,1107587112
가구/인테리어_서재/사무용가구,어려운 경기에 사무실의자 FUSYS 최저가,"30,000",SOLD_OUT,◆셀러회원◆,True,False,보물창고 01056733166,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107586016,1107586016
가구/인테리어_서재/사무용가구,[판매] 160번 시디즈의자 스터디카페의자 사무용바퀴의자 매쉬 사무실의자 중고 시디즈의자매입,"50,000",SALE,◆셀러회원◆,False,True,반디가구,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107584272,1107584272
가구/인테리어_서재/사무용가구,[판매/매입] 144번 중고학원책상 학원용가구 자습실 책상세트 학교책걸상 판매하는곳,"30,000",SALE,◆셀러회원◆,False,True,반디가구,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107584158,1107584158
가구/인테리어_서재/사무용가구,[판매/매입] 159번 학원책걸상 학원가구 학생 책상세트 교육용 학원책상 중고업체,"30,000",SALE,◆셀러회원◆,False,True,반디가구,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107584053,1107584053
가구/인테리어_서재/사무용가구,[판매/매입] 145번 가꿈책상 학원책걸상 학원용가구 중고자습실 교육실 학생책상 파는 업체,"60,000",SALE,◆셀러회원◆,False,True,반디가구,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107583741,1107583741
가구/인테리어_서재/사무용가구,[판매/매입] 138번 2인용 1500 폴딩책상 학원책상 접이식책상 세미나 폴딩테이블,"50,000",SALE,◆셀러회원◆,False,True,반디가구,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107583061,1107583061
가구/인테리어_서재/사무용가구,데스커 컴퓨터책상 2개,"150,000",SALE,중고나라 회원,False,True,해든2,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107583045,1107583045
가구/인테리어_서재/사무용가구,[판매/매입] 137번 학생용책걸상 초등학생 학원책상 학원용가구 중고가구점 재활용센터,"25,000",SALE,◆셀러회원◆,False,True,반디가구,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107582948,1107582948
가구/인테리어_서재/사무용가구,[판매/매입] 136번 학교책걸상 학원책상 학원의자 교실 학생책상 중고 학원용가구,"200,000",SALE,◆셀러회원◆,False,True,반디가구,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107582816,1107582816
