카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
가구/인테리어_인테리어소품,아르텍 스툴 60 월넛,"350,000",ESCROW,본인인증 회원,True,True,개슈미아파,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697419,1107697419
가구/인테리어_인테리어소품,알로카시아 노빌리스 바리,"123,456",SALE,중고나라 회원,False,True,앗싸,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697334,1107697334
가구/인테리어_인테리어소품,안스리움 에오스 다크폼 / 레크x킹오스 분양합니다.,"123,456",SALE,중고나라 회원,False,True,앗싸,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697022,1107697022
가구/인테리어_인테리어소품,구스타브스베리 오이(구르카) 접시,"103,000",SALE,인증+안전거래 회원,False,True,연서글라,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696829,1107696829
가구/인테리어_인테리어소품,아기의자 유아의자 어린이의자 아동의자 접이식의자 꿀벌의자 동물의자 캠핑의자 의자 어린이집 유치원 키즈카페 유아캠핑의자 어린이캠핑의자 아기캠핑의자,"20,000",SALE,중고나라 회원,False,True,게시글읽고문자,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696679,1107696679
가구/인테리어_인테리어소품,미사용 빈티지그릇 영국아서우드,"45,000",SALE,인증+안전거래 회원,False,True,8890ksh,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696513,1107696513
가구/인테리어_인테리어소품,(이케아)데폴트 장식장(레드) 4개 일괄 7만원,"70,000",SOLD_OUT,인증+안전거래 회원,False,False,라인하트17,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695882,1107695882
가구/인테리어_인테리어소품,수입사 콘사 뜨개실 코바늘실 할인 판매,"2,345",SALE,본인인증 회원,False,True,zilju,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695714,1107695714
가구/인테리어_인테리어소품,메탈코드사  콘사 뜨개실 코바늘실 판매,"2,345",SALE,본인인증 회원,False,True,zilju,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695662,1107695662
가구/인테리어_인테리어소품,수입콘사 뜨개실 코바늘실 콘사,"2,345",SALE,본인인증 회원,False,True,zilju,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695634,1107695634
가구/인테리어_인테리어소품,슈퍼 파인메리노 울 콘사 뜨개실 코바늘실 판매,"2,345",SALE,본인인증 회원,False,True,zilju,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695565,1107695565
가구/인테리어_인테리어소품,3P케이스 리베로 장식장 처분합니다.,"250,000",SOLD_OUT,인증+안전거래 회원,True,False,라인하트17,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695019,1107695019
가구/인테리어_인테리어소품,코로니스타 다루칸투 화분 괴근식물,"180,000",SALE,인증+안전거래 회원,False,True,잭팟가든,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694771,1107694771
가구/인테리어_인테리어소품,제라늄 3종 만원 사이즈 너무 좋아요 중품이상,"10,000",SOLD_OUT,본인인증 회원,False,False,제라늄정원,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694766,1107694766
가구/인테리어_인테리어소품,금속 사슴 조형 인테리어 장식 수경재배 유리컵 화병,"2,000",SALE,인증+안전거래 회원,False,True,leecoris,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694553,1107694553
가구/인테리어_인테리어소품,"새상품/3D 달 모형 문라이트 무드등 16색 조명 15cm, 리모컨 작동 usb 충전","10,000",SALE,인증+안전거래 회원,False,True,leecoris,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694473,1107694473
가구/인테리어_인테리어소품,바구니 꽃바구니 소품 미니바구니 대형바구니 인테리어소품 장식품 빈티지소품 레트로소품 엔틱소품 모던소품 화분 식물 꽃 인테리어,"15,000",SALE,중고나라 회원,False,True,글보고문자주세요,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694200,1107694200
가구/인테리어_인테리어소품,사랑초 구근 세트,"7,000",SOLD_OUT,중고나라 회원,False,False,탱이낭자,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694039,1107694039
가구/인테리어_인테리어소품,빙수그릇 세트 엔틱접시 엔틱그릇 유리그릇 유리접시 디저트볼 아이스크림볼 유리컵 접시 그릇 주방용품 엔틱소품 모던소품 레트로소품 인테리어소품 인테리어 소품 엔틱 아이스크림그릇,"25,000",SALE,중고나라 회원,False,True,글보고문자주세요,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694009,1107694009
가구/인테리어_인테리어소품,사랑초 구근 세트,"7,000",SOLD_OUT,중고나라 회원,False,False,탱이낭자,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107693807,1107693807
가구/인테리어_인테리어소품,과일키티키티붕어빵롤케이크고전마이멜로디딸기포인트연장줄키티마카롱슈가바니즈,"38,000",ESCROW,인증+안전거래 회원,True,True,애기랑딸기,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107693378,1107693378
가구/인테리어_인테리어소품,대형해바라기꽃+벚꽃+고급라탄철재큰바구니모두인테리어로좋음전부합저렴하게5만원(수원),"50,000",SALE,본인인증 회원,False,True,ksh29850,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107692702,1107692702
가구/인테리어_인테리어소품,고급도자기화분5개(고급식물포함)저렴하게 2만5천원+만손초식물100개 덤(수원),"25,000",SALE,본인인증 회원,False,True,jos2985,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107692600,1107692600
가구/인테리어_인테리어소품,우드박스 2종 빈티지소품 인테리어소품 레트로소품 엔틱소품 모던소품 빈티지우드박스 나무상자 원목 나무소품 원목소품 소품 수납함 정리함 보관함 장식품,"30,000",SALE,중고나라 회원,False,True,eclipseUp,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107692394,1107692394
가구/인테리어_인테리어소품,로에베 캔들 공병,"20,000",SOLD_OUT,인증+안전거래 회원,True,False,간지의제왕,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107692173,1107692173
가구/인테리어_인테리어소품,베고니아 다수종,"10,000",SOLD_OUT,본인인증 회원,False,False,rite8818,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107690558,1107690558
가구/인테리어_인테리어소품,스튜디오 프로포즈 소품 정리,"20,000",ESCROW,본인인증 회원,True,True,간짜장탕슉,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107688521,1107688521
가구/인테리어_인테리어소품,제라늄4종 14.21 북안드로메다 잎로맨틱썸 타이라시베리안로즈,"12,345",SOLD_OUT,중고나라 회원,False,False,dudeweycoco,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107688146,1107688146
가구/인테리어_인테리어소품,새상품)벽장식 플랜테리어/몬스테라 고사리조화/인테리어 소품 길이 185,"53,000",SALE,중고나라 회원,False,True,라라플라워 74,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107687837,1107687837
가구/인테리어_인테리어소품,새상품)대형 유칼립투스 안개조화 리스,"17,000",SALE,중고나라 회원,False,True,라라플라워 74,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107687738,1107687738
가구/인테리어_인테리어소품,파인아트얀 네프사,"35,000",ESCROW,본인인증 회원,True,True,쪼꼬빵ㅇㅇ,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107686924,1107686924
가구/인테리어_인테리어소품,조명 파티션 소품 장식대 옷걸이 분수 커튼 거울 스텐드=,"12,345",SOLD_OUT,◆셀러회원◆,False,False,aselfurniture,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107686547,1107686547
가구/인테리어_인테리어소품,(택포)천주교 카톨릭 성물 액자 장식품 7개일괄,"20,000",ESCROW,인증+안전거래 회원,True,True,연두그린초록,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107685935,1107685935
가구/인테리어_인테리어소품,"♦️주택신축,리모델링 모델하우스급으로 시공해드립니다-건축자재,인테리어,업자환영","111,111",SOLD_OUT,◆셀러회원◆,True,False,견본주택해체상품판매,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107685590,1107685590
가구/인테리어_인테리어소품,나무모양 행거 명품 QM 그로브 옷걸이 2컬러,"250,000",ESCROW,중고나라 회원,True,True,블루레이크,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107685535,1107685535
가구/인테리어_인테리어소품,"업체유일업체대표가해체하는 모델하우스신발장,3연동현관중문판매합니다","111,111",ESCROW,◆셀러회원◆,True,True,견본주택해체상품판매,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107685395,1107685395
가구/인테리어_인테리어소품,제라늄 2종세트,"20,000",SALE,인증+안전거래 회원,False,True,제라 제라늄,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107684987,1107684987
가구/인테리어_인테리어소품,유럽 제라늄 개당 2000원에 팝니다,"2,000",SOLD_OUT,본인인증 회원,False,False,좋은아침미소,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107684976,1107684976
가구/인테리어_인테리어소품,제임스자비스 러그,"450,000",SALE,중고나라 회원,False,True,ART P,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107684733,1107684733
가구/인테리어_인테리어소품,"모델하우스창호판매 철심 없는 거실창틀? 저흰 무조건 보강재 넣습니다 준공서류도깔끔하게(중고샷시,건축자재)","111,111",ESCROW,◆셀러회원◆,True,True,견본주택해체상품판매,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107683911,1107683911
가구/인테리어_인테리어소품,앵두 전구,"2,000",SALE,중고나라 회원,False,True,미니미니칩췹,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107683713,1107683713
가구/인테리어_인테리어소품,"모델하우스해체싱크대, 업체유일♦️설치까지♦️저희가 끝냅니다","111,111",ESCROW,◆셀러회원◆,True,True,견본주택해체상품판매,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107683379,1107683379
가구/인테리어_인테리어소품,유어브리즈 디퓨저 150ml + 캔들 270ml + 스틱 크리스마스숲 미개봉 새제품 집들이 개업 선물 실내방향제,"21,000",SALE,중고나라 회원,False,True,돈워리빅해피,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107682864,1107682864
가구/인테리어_인테리어소품,"소장용 C Ration(씨레이션, MRE, 전투식량)","350,000",ESCROW,본인인증 회원,True,True,뚝심,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107682861,1107682861
가구/인테리어_인테리어소품,전동콘센트 팝업자동콘센트,"50,000",ESCROW,본인인증 회원,True,True,뚝심,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107682802,1107682802
가구/인테리어_인테리어소품,우량예(오량액) 52도 공병 팝니다.,"10,000",SALE,중고나라 회원,False,True,soddl,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107682021,1107682021
가구/인테리어_인테리어소품,투스카니대공 자스민,"55,000",SOLD_OUT,본인인증 회원,False,False,춘천이뻔한세상,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107680214,1107680214
가구/인테리어_인테리어소품,러시아제라늄 솔베이그 대품,"30,000",SALE,인증+안전거래 회원,False,True,hichoiss,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107680040,1107680040
가구/인테리어_인테리어소품,스테인리스 앵글밸브 (90개),"70,000",SALE,중고나라 회원,False,True,그런건없다,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107680008,1107680008
가구/인테리어_인테리어소품,연질화분 200개,"10,000",SALE,중고나라 회원,False,True,Litta84750,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107679607,1107679607
가구/인테리어_인테리어소품,"여행 마그넷, 유럽 여행 마그넷, 냉장고 자석, 냉장고 마그넷, 냉장고 마그네틱, 여행 마그넷, 여행 기념품 판매","2,222",SALE,중고나라 회원,False,True,프랑스산버터,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107679384,1107679384
가구/인테리어_인테리어소품,IDEAL 재봉틀 미싱 엔틱 장식 소품 인테리어 빈티지 전동미싱,"200,000",ESCROW,인증+안전거래 회원,True,True,세일장터,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107679259,1107679259
가구/인테리어_인테리어소품,호텔파리칠 화병 삽니다!,"45,000",ESCROW,중고나라 회원,True,True,덕복희가좋아,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107678810,1107678810
가구/인테리어_인테리어소품,가리모쿠 KNS 일괄판매,"1,700,000",SALE,본인인증 회원,False,True,nucaco1a,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107678125,1107678125
