카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
가구/인테리어_주방가구,(뚜껑포함)버미큘라 딥프라이팬 오븐세이프스킬렛 무쇠팬 24cm,"210,000",SALE,본인인증 회원,False,True,개슈미아파,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695737,1107695737
가구/인테리어_주방가구,골드의자 식당의자 카페 중고빠의자 업소용의자 원목의자 대리석테이블,"65,000",SALE,◆셀러회원◆,False,True,남양주스타일가구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107691985,1107691985
가구/인테리어_주방가구,(동두천 직거래만) *켓플랜 접이식의자 4개 일괄2만,"20,000",SALE,중고나라 회원,False,True,MaRiHuAnA,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107690041,1107690041
가구/인테리어_주방가구,"주방하부장, 싱크대하부장, 식세기 하부장","80,000",SALE,본인인증 회원,False,True,둥근선인장,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107689488,1107689488
가구/인테리어_주방가구,전통 자개상 (자개소반),"95,000",SALE,본인인증 회원,False,True,영범,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107687998,1107687998
가구/인테리어_주방가구,엔틱 빈티지 식탁 웨곤 의자 판매합니다=,"12,345",SOLD_OUT,◆셀러회원◆,False,False,aselfurniture,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107686508,1107686508
가구/인테리어_주방가구,중고 전기레인지 인덕션판매합니다.,"85,000",SALE,◆셀러회원◆,False,True,남양주스타일가구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107684237,1107684237
가구/인테리어_주방가구,업소용 진공포장기,"700,000",SALE,본인인증 회원,False,True,Angie,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107679513,1107679513
가구/인테리어_주방가구,까사 알렉시스 케이지 식탁 테이블,"800,000",SALE,본인인증 회원,False,True,Angie,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107679311,1107679311
가구/인테리어_주방가구,전시/협찬가구 할인판매[2인4인 테이블 책상 바테이블 의자 식탁]파이프가구 인더스트리얼 빈티지 중고,"70,000",SALE,중고나라 회원,False,True,APPENZ,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107678128,1107678128
가구/인테리어_주방가구,중고식당의자 카페의자 업소용의자 원목의자 골드의자 우드슬랩,"45,000",SALE,◆셀러회원◆,False,True,남양주스타일가구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107677130,1107677130
가구/인테리어_주방가구,싱크대 상하부장 전체 *떼가셔야합니다*서울 연희동,"100,000",SALE,중고나라 회원,False,True,HS,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107676283,1107676283
가구/인테리어_주방가구,불판테이블 업소용 가정용 고기테이블 로스타 테이블,"169,000",ESCROW,◆셀러회원◆,True,True,미엔우드가구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107675644,1107675644
가구/인테리어_주방가구,디자인벤처스 식탁,"180,000",SALE,본인인증 회원,False,True,피델리스,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107668043,1107668043
가구/인테리어_주방가구,카페의자 식당의자 중고업소용가구 원목의자 벨벳의자 우드슬랩,"80,000",SALE,◆셀러회원◆,False,True,남양주스타일가구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107665427,1107665427
가구/인테리어_주방가구,이케아 식탁 달스훌트 판매합니다,"90,000",SALE,중고나라 회원,False,True,빈사랑,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107664890,1107664890
가구/인테리어_주방가구,SK매직 전자레인지 MWO-20EC2 판매합니다.,"45,000",SALE,중고나라 회원,False,True,asd포인트,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107664391,1107664391
가구/인테리어_주방가구,[판매/매입]129번 식당수저통테이블 중고업소용식탁 식당용가구 판매업체,"130,000",SALE,◆셀러회원◆,False,True,반디가구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107663525,1107663525
가구/인테리어_주방가구,[판매/매입] 127번 식당용식탁 중고홀탁자 업소테이블 음식점가구 파는곳,"100,000",SALE,◆셀러회원◆,False,True,반디가구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107663505,1107663505
가구/인테리어_주방가구,[판매/매입]165번 카페테이블 카페의자 2인용 마블테이블 업소용 분식집 업소용식탁,"50,000",SALE,◆셀러회원◆,False,True,반디가구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107663454,1107663454
가구/인테리어_주방가구,[판매/매입] 164번 업소용 솥뚜껑 고기집식탁 로스타 도시가스 버너 불판 스텐테이블 깡통의자,"200,000",SALE,◆셀러회원◆,False,True,반디가구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107663429,1107663429
가구/인테리어_주방가구,[판매/매입] 161번 고깃집깡통테이블 식당용 로스터테이블 중고 가스렌지 고기불판식탁 깡통의자,"120,000",SALE,◆셀러회원◆,False,True,반디가구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107663417,1107663417
가구/인테리어_주방가구,플랫포인트 하브 세라믹 테이블 1200white,"1,700,000",SALE,본인인증 회원,False,True,이리스옹크,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107662407,1107662407
가구/인테리어_주방가구,업소용의자 중고카페의자 식당의자 원목중고의자 우드슬랩 골드의자,"85,000",SALE,◆셀러회원◆,False,True,남양주스타일가구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107660493,1107660493
가구/인테리어_주방가구,중고원목의자 카페의자 업소용의자 우드슬랩 빠의자 골드의자,"50,000",SALE,◆셀러회원◆,False,True,남양주스타일가구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107654938,1107654938
가구/인테리어_주방가구,오블리크 테이블 나노라이트 1800x900,"950,000",SOLD_OUT,인증+안전거래 회원,False,False,gudusol3,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107653649,1107653649
가구/인테리어_주방가구,중고호출벨 팝니다 이지콜 제품 벨 14개(수신기) 에요,"88,000",ESCROW,본인인증 회원,True,True,늘별나내,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107651767,1107651767
가구/인테리어_주방가구,한샘 유로 503 디아고 6인 세라믹 식탁 1800,"400,000",SALE,중고나라 회원,False,True,홈런왕조단,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107651680,1107651680
가구/인테리어_주방가구,4인용식탁(+의자),"70,000",SALE,중고나라 회원,False,True,뽁뽀기사랑,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107649396,1107649396
가구/인테리어_주방가구,싱크대 싱크볼 수전등 셋트로 판매합니다.,"70,000",SOLD_OUT,본인인증 회원,True,False,볼로니야,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107649381,1107649381
가구/인테리어_주방가구,와인장식장,"600,000",ESCROW,◆셀러회원◆,True,True,aselfurniture,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107646154,1107646154
가구/인테리어_주방가구,골드의자 식당의자 카페의자 업소용의자 원목의자 빠의자,"55,000",SALE,◆셀러회원◆,False,True,남양주스타일가구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107644566,1107644566
가구/인테리어_주방가구,꽃모양 조명 st,"120,000",SOLD_OUT,중고나라 회원,True,False,할리갈리루,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107644489,1107644489
가구/인테리어_주방가구,웨버 더 버드 팝니다.,"500,000",SOLD_OUT,중고나라 회원,False,False,호인이,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107641618,1107641618
가구/인테리어_주방가구,100년이상된 올드오크 빈티지 고재테이블,"646,000",SOLD_OUT,본인인증 회원,False,False,ahev,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107641374,1107641374
가구/인테리어_주방가구,100년이상된 올드오크 빈티지 고재 벽선반 카페벽선반 거실벽선반 주방벽선반 사운드바선반 사운드바거치대,"48,500",SOLD_OUT,본인인증 회원,False,False,ahev,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107641137,1107641137
가구/인테리어_주방가구,100년이상된 올드오크 빈티지 고재테이블,"1,950,000",SOLD_OUT,본인인증 회원,False,False,ahev,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107641117,1107641117
가구/인테리어_주방가구,호마이카테이블4인의자세트,"500,000",ESCROW,중고나라 회원,True,True,안늉하셈여,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107639100,1107639100
가구/인테리어_주방가구,이지콜 호출벨 ey-2003 1대 벨 ey-100 12개 팝니다,"80,000",ESCROW,인증+안전거래 회원,True,True,가즈아 나라로,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107637095,1107637095
가구/인테리어_주방가구,제빙기 Manitowoc U-240 (104kg) 수냉식 처분합니다!,"210,000",SOLD_OUT,본인인증 회원,True,False,JUST MUSIC 70,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107636580,1107636580
가구/인테리어_주방가구,식당 카페의자 업소용의자 원목의자 중고골드의자 우드슬랩 야외용가구,"75,000",SALE,◆셀러회원◆,False,True,남양주스타일가구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107636304,1107636304
가구/인테리어_주방가구,우성 전기 물 끓이기 30리터 12리터,"100,000",SALE,본인인증 회원,False,True,ONLe,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107635667,1107635667
가구/인테리어_주방가구,[대전-직거래] 파트라 아일랜드 의자 화이트 색상 2개,"50,000",SALE,중고나라 회원,False,True,친절한우오빠,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107634051,1107634051
가구/인테리어_주방가구,리차드램퍼트 아이언만 상판 블랙 다리 크롬 1600,"900,000",ESCROW,중고나라 회원,True,True,ksh616love,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107633890,1107633890
가구/인테리어_주방가구,세라믹 식탁 세트 1700 6인 벤치,"200,000",SALE,본인인증 회원,False,True,hibaaa5,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107628362,1107628362
가구/인테리어_주방가구,씨스콜제품 중고진동벨 팝니다 sgp-300r 10개 세트,"350,000",ESCROW,인증+안전거래 회원,True,True,칠칠폭스비,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107628210,1107628210
가구/인테리어_주방가구,진동벨 sgp-300r 10개 미개봉 팝니다 즉시처분,"480,000",ESCROW,본인인증 회원,True,True,늘별나내,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107628101,1107628101
가구/인테리어_주방가구,수입 hay 원목 6인용 식탁 팝니다,"500,000",SALE,본인인증 회원,False,True,워상,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107624411,1107624411
가구/인테리어_주방가구,씨스콜 sb-700 시계 2개 벨 st-300 12개 팝니다,"70,000",ESCROW,본인인증 회원,True,True,스스결속,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107622615,1107622615
가구/인테리어_주방가구,빈티지 허먼밀러 임스체어 (DCMU Chair),"600,000",SALE,본인인증 회원,False,True,jhbg1,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107622349,1107622349
가구/인테리어_주방가구,의자 각 각,"60,000",ESCROW,◆셀러회원◆,True,True,aselfurniture,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107622309,1107622309
가구/인테리어_주방가구,전자레인지장/키큰장/틈새장/비스포크장,"90,000",SALE,중고나라 회원,False,True,Judy,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107622015,1107622015
가구/인테리어_주방가구,씨스콜 시계페이저 2개 벨 18개 번호수신기 3구 1대 팝니다,"250,000",ESCROW,인증+안전거래 회원,True,True,가즈아 나라로,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107621190,1107621190
가구/인테리어_주방가구,식당폐업 수저테이블 식당의자 판매합니다,"2,000",ESCROW,중고나라 회원,True,True,ㅋㅋ,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107620831,1107620831
가구/인테리어_주방가구,카페진동벨 팝니다 12구,"190,000",ESCROW,인증+안전거래 회원,True,True,칠칠폭스비,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107620749,1107620749
가구/인테리어_주방가구,카페의자 식탁의자 식당의자 업소의자 커피숍의자 매장의자 교회의자 업소용의자 철재의자 미사용 새상품 입니다,"27,000",SALE,본인인증 회원,False,True,dufmaa,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107620109,1107620109
가구/인테리어_주방가구,불판테이블 업소용식탁고기 테이블 등받이의자 수납의자 식탁공장,"50,000",SALE,◆셀러회원◆,False,True,업소용가구박사,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107619433,1107619433
가구/인테리어_주방가구,르마블 포세린 식탁 팝니다,"240,000",SALE,인증+안전거래 회원,False,True,자키자키양,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107619174,1107619174
가구/인테리어_주방가구,업소용 캐빈 식당 나무의자 2만원,"20,000",SALE,◆셀러회원◆,False,True,업소용가구박사,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107619067,1107619067
가구/인테리어_주방가구,카페의자 식당의자 업소용 중고빈티지가구 원목의자 벨벳의자 우드슬랩,"75,000",SALE,◆셀러회원◆,False,True,남양주스타일가구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107618966,1107618966
가구/인테리어_주방가구,아웃도어 가게 식당 업소 테이블용 의자 팝니다,"32,000",SALE,중고나라 회원,False,True,gus1212,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107617345,1107617345
가구/인테리어_주방가구,[판매]식탁의자저렴히판매합니다,"50,000",SALE,◆셀러회원◆,False,True,스크래치 리퍼브가구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107614160,1107614160
가구/인테리어_주방가구,[판매]호두나무4인6인8인용원목식탁판매합니다,"300,000",SALE,◆셀러회원◆,False,True,스크래치 리퍼브가구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107614143,1107614143
가구/인테리어_주방가구,[판매]본톤세라믹테이블판매합니다,"50,000",SALE,◆셀러회원◆,False,True,스크래치 리퍼브가구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107614095,1107614095
가구/인테리어_주방가구,[판매]본톤2미터호두나무테이블판매합니다,"250,000",SALE,◆셀러회원◆,False,True,스크래치 리퍼브가구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107614056,1107614056
가구/인테리어_주방가구,[판매]천연대리석식탁판매합니다,"300,000",SALE,◆셀러회원◆,False,True,스크래치 리퍼브가구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107613980,1107613980
가구/인테리어_주방가구,[판매]호두나무원목스크레치테이블판매합니다,"200,000",SALE,◆셀러회원◆,False,True,스크래치 리퍼브가구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107613949,1107613949
가구/인테리어_주방가구,[판매]고급벤치의자판매합니다,"60,000",SALE,◆셀러회원◆,False,True,스크래치 리퍼브가구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107613912,1107613912
가구/인테리어_주방가구,[판매]원목식탁판매합니다,"200,000",SALE,◆셀러회원◆,False,True,스크래치 리퍼브가구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107613880,1107613880
가구/인테리어_주방가구,[판매]접이식원목테이블판매합니다,"50,000",SALE,◆셀러회원◆,False,True,스크래치 리퍼브가구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107613754,1107613754
가구/인테리어_주방가구,[판매]최고급호두나무원목식탁판매합니다,"500,000",SALE,◆셀러회원◆,False,True,스크래치 리퍼브가구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107613690,1107613690
가구/인테리어_주방가구,[판매]세라믹4인6인용식탁판매합니다,"200,000",SALE,◆셀러회원◆,False,True,스크래치 리퍼브가구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107613658,1107613658
가구/인테리어_주방가구,[판매]본톤고급세라믹테이블판매합니다,"450,000",SALE,◆셀러회원◆,False,True,스크래치 리퍼브가구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107613630,1107613630
가구/인테리어_주방가구,[판매]최고급본톤세라믹테이블판매합니다,"300,000",SALE,◆셀러회원◆,False,True,스크래치 리퍼브가구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107613568,1107613568
