카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
게임용품_XBOX,플스 엑박 타이틀 일괄 택포,"25,000",SALE,중고나라 회원,False,True,양심있게사는인생,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107689178,1107689178
게임용품_XBOX,엑시엑 + 추가패드 팝니다,"300,000",SOLD_OUT,본인인증 회원,True,False,사나이,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107685232,1107685232
게임용품_XBOX,엑스박스 브레이브나이트 리베랜트 영웅전 정발 밀봉신품,"39,000",SALE,중고나라 회원,False,True,게임뮤지엄,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107684716,1107684716
게임용품_XBOX,엑스박스360 나인티 나인 나이츠 정발 밀봉신품,"30,000",SALE,중고나라 회원,False,True,게임뮤지엄,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107682534,1107682534
게임용품_XBOX,XBOX360 메탈기어 라이징 리벤져스 (정발판),"33,000",SALE,본인인증 회원,False,True,당연한거,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107679221,1107679221
게임용품_XBOX,"xbox series x (엑시엑),엘리트패드2세대 팝니다","270,000",SOLD_OUT,본인인증 회원,False,False,둥실,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107678069,1107678069
게임용품_XBOX,"Xbox Series X(엑스박스, XSX, 엑시엑) + 1TB 스토리지 확장카드 + 한정판 패드 + 추가구성(옵션) 판매합니다.","420,000",SALE,본인인증 회원,False,True,쟁기ㅎ,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107676176,1107676176
게임용품_XBOX,xbox s 판매합니다(512G),"150,000",SOLD_OUT,중고나라 회원,True,False,shdsh999,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107675061,1107675061
게임용품_XBOX,[게임기] 엑스박스 원 엑스 XBOX ONE X 10만원(택배무료) 팝니다 [판매완료],"100,000",SOLD_OUT,중고나라 회원,True,False,헬스마왕,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107674212,1107674212
게임용품_XBOX,팔얼블2 8얼블2 팔얼2 미개봉 팝니다,"40,000",SOLD_OUT,중고나라 회원,False,False,깔끔한거래왕23,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107671239,1107671239
