카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
게임용품_기타 게임용품,오큘러스 메타 퀘스트2 Oculus Quest 2 VR안경,"300,000",SALE,중고나라 회원,False,True,dbadba1,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594650,1107594650
게임용품_기타 게임용품,SVSE5 사볼콘 판매,"150,000",SALE,중고나라 회원,False,True,모모987,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592417,1107592417
게임용품_기타 게임용품,"보드게임(케이크파티 산리오캐릭터즈, 마법사의 레시피)","2,000",SALE,본인인증 회원,False,True,하나둘셋넷aa,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592179,1107592179
게임용품_기타 게임용품,오딘2포탈 맥스 인디고,"620,000",SOLD_OUT,인증+안전거래 회원,True,False,캔유502s,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591330,1107591330
게임용품_기타 게임용품,쿠파스 쿠팡 파트너스 수익창출 유튜브 채널 판매합니다. / 샤오훙수 1688 틱톡 릴스,"650,000",ESCROW,◆셀러회원◆,True,True,유튜버파트너스,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591324,1107591324
게임용품_기타 게임용품,메타퀘스트3 512GB + 정품배터리스트랩,"620,000",SALE,중고나라 회원,False,True,네임마를,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591087,1107591087
게임용품_기타 게임용품,구글 플레이스토어 플레이포인트 500부터 구매합니다,"1,000,000",SOLD_OUT,중고나라 회원,False,False,cnc14,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590686,1107590686
게임용품_기타 게임용품,아컴호러 카드게임,"350,000",SALE,본인인증 회원,False,True,축파,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590343,1107590343
게임용품_기타 게임용품,피코박스 플러스 picobox 플러스 PC/PS,"130,000",SOLD_OUT,중고나라 회원,True,False,스라랄,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589148,1107589148
게임용품_기타 게임용품,로지텍 G29 레이싱휠 + 쉬프터 + 그란투리스모PS5,"270,000",SOLD_OUT,중고나라 회원,True,False,싲싲,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589014,1107589014
