카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
게임용품_닌텐도/WII,틱톡 라이트 신규이신분 삽니다 [8만원 입금] 내역⭕️,"80,000",SOLD_OUT,인증+안전거래 회원,True,False,친절한드워프,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593721,1107593721
게임용품_닌텐도/WII,닌텐도 툰링크 대난투 아미보 미개봉,"14,000",SALE,본인인증 회원,False,True,따봉도지,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593604,1107593604
게임용품_닌텐도/WII,닌텐도 스위치 조이콘 관련 악세사리 풀세트,"25,000",ESCROW,인증+안전거래 회원,True,True,거래최고좋아,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593539,1107593539
게임용품_닌텐도/WII,닌텐도 3ds xl 화이트 구큰다수,"280,000",SALE,인증+안전거래 회원,False,True,쿨거래해요8,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593399,1107593399
게임용품_닌텐도/WII,닌텐도 스위치 역전재판456 오도로키 컬렉션,"35,000",SALE,인증+안전거래 회원,False,True,쿨거래해요8,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593372,1107593372
게임용품_닌텐도/WII,닌텐도 3ds 리듬세상 더 베스트 플러스,"70,000",SALE,인증+안전거래 회원,False,True,쿨거래해요8,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593318,1107593318
게임용품_닌텐도/WII,닌텐도위유 베요네타,"15,000",SALE,본인인증 회원,False,True,쿠쿠쿠우,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592521,1107592521
게임용품_닌텐도/WII,닌텐도 조커 아미보 미개봉,"16,000",SALE,본인인증 회원,False,True,따봉도지,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592502,1107592502
게임용품_닌텐도/WII,닌텐도 모여봐요 동물의 숲 랩핑x에코백 L (콩돌이&밤돌이),"20,000",SALE,본인인증 회원,False,True,하나둘셋넷aa,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592153,1107592153
게임용품_닌텐도/WII,1~5탄 정품 아미보 카드 팔아요,"2,000",SALE,본인인증 회원,False,True,하나둘셋넷aa,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592132,1107592132
게임용품_닌텐도/WII,닌텐도 스위치 동물의숲 에디션 정품 구성 및 아미보카드,"170,000",SALE,인증+안전거래 회원,False,True,까르페디엠10,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591753,1107591753
게임용품_닌텐도/WII,닌텐도 스위치 OLED  풀박스 팝니다.,"260,000",SALE,인증+안전거래 회원,False,True,Gfunk104,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591675,1107591675
게임용품_닌텐도/WII,"마리오루이지rpg브라더십,제노블레이드크로니클스크로스디피니티브에디션팝니다.","68,000",SOLD_OUT,본인인증 회원,False,False,탱탱글탱,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591562,1107591562
게임용품_닌텐도/WII,닌텐도 DSi LL 블루 박스셋 (447600원) / 닌텐도 DSi LL 와인 레드 박스셋 (447600원),"2,000",SALE,본인인증 회원,False,True,DAISY76,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591431,1107591431
