카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
골프_골프백,제네시스 라이프스타일 골프캐디백,"450,000",SALE,중고나라 회원,False,True,무쏘니,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107693826,1107693826
골프_골프백,벤츠 골프백,"60,000",SALE,중고나라 회원,False,True,kekeke1234,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107689233,1107689233
골프_골프백,벤츠 테일러메이드 정품 코랄 핑크 캐디 백 보스턴 백 골프백 세트 초 경량 여성,"150,000",SALE,중고나라 회원,False,True,알버트권,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107677533,1107677533
골프_골프백,지포어캐디백팝니다,"500,000",ESCROW,인증+안전거래 회원,True,True,munkkk,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107677167,1107677167
골프_골프백,캐디백 새거,"12,345",SALE,본인인증 회원,False,True,대구입니다123,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107672037,1107672037
골프_골프백,스카티카메론 2022세라페 스탠드백,"2,500,000",SOLD_OUT,인증+안전거래 회원,True,False,스카티카메론아울렛,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107671412,1107671412
골프_골프백,스카티카메론 헤더그레이 카트백,"1,500,000",SOLD_OUT,인증+안전거래 회원,True,False,스카티카메론아울렛,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107671319,1107671319
골프_골프백,스카티카메론 마스터즈 토포그린 스탠드백,"2,700,000",SOLD_OUT,인증+안전거래 회원,True,False,스카티카메론아울렛,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107671243,1107671243
골프_골프백,벤틀리 골프항공커버,"60,000",ESCROW,본인인증 회원,True,True,mjs1982,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107670542,1107670542
골프_골프백,스카티카메론 패스파인더 미드나잇 겜블러 경량 스탠드백 새상품,"220,000",ESCROW,인증+안전거래 회원,True,True,kkm89617,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107662086,1107662086
골프_골프백,말본 골프 블레이즈 뉴베이직 트롤리 캐디백 새상품,"260,000",ESCROW,인증+안전거래 회원,True,True,kkm89617,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107662055,1107662055
골프_골프백,정품 말본 골프백 판매합니다.가품가격으로 정품쓰세요~~,"350,000",SOLD_OUT,본인인증 회원,True,False,hotdna,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107661787,1107661787
골프_골프백,"타이틀리스트 캐디백 팝니다. (택포84,000원)","84,000",SALE,본인인증 회원,False,True,slbd,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107656254,1107656254
골프_골프백,캘러웨이 Callaway 골프백 LEGACY하프백 저렴히 팝니다,"40,000",SALE,중고나라 회원,False,True,genesisivg90,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107655484,1107655484
골프_골프백,어뉴캐리어셋트,"300,000",SALE,본인인증 회원,False,True,태풍처럼,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107653491,1107653491
골프_골프백,맥그리거 캐디백 판매합니다.,"50,000",SALE,중고나라 회원,False,True,gbajstldk,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107651957,1107651957
골프_골프백,말본 보스턴백,"290,000",ESCROW,중고나라 회원,True,True,킴탱완,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107647845,1107647845
골프_골프백,말본 하프백 골프백 스탠드백 판매,"140,000",SOLD_OUT,본인인증 회원,False,False,팔아버릴테야,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107644471,1107644471
골프_골프백,타이틀리스트 BRW캐디백(백화점라인) 판매,"280,000",ESCROW,인증+안전거래 회원,True,True,토토로ee,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107643924,1107643924
골프_골프백,마루망 보스턴백,"60,000",SALE,본인인증 회원,False,True,sunset80,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107631953,1107631953
골프_골프백,타이틀리스트 골프백&보스턴백,"520,000",SALE,중고나라 회원,False,True,그림27님,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107621734,1107621734
골프_골프백,[카네정품] PXG 경량 캐디백 팝니다,"250,000",SOLD_OUT,본인인증 회원,False,False,yams0217,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107620178,1107620178
골프_골프백,스카티카메론 스탠디백 2024 미드나잇 겜블러,"2,600,000",SALE,중고나라 회원,False,True,브페8,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107618577,1107618577
골프_골프백,스카티카메론 세라페 3구 새제품,"2,323",SALE,본인인증 회원,False,True,세코님,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107616513,1107616513
골프_골프백,말본골프백 캐디백 스탠드백 플레이어 경량 그린,"220,000",ESCROW,인증+안전거래 회원,True,True,혁신ds,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107616308,1107616308
골프_골프백,PXG 유틸리티 토트백 새상품,"260,000",SALE,중고나라 회원,False,True,movement 케이,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107616057,1107616057
골프_골프백,골프 경량 스탠드백,"350,000",ESCROW,본인인증 회원,True,True,aeijtjt,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107615953,1107615953
골프_골프백,말본골프백 캐디백 트롤리바퀴형 화이트,"260,000",ESCROW,인증+안전거래 회원,True,True,혁신ds,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107615733,1107615733
골프_골프백,G/FORE 지포어 보스턴백 팝니다,"320,000",SALE,중고나라 회원,False,True,중고나라회원6986,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107615167,1107615167
골프_골프백,BMW 골프백 + 보스턴백 새제품,"200,000",SOLD_OUT,중고나라 회원,True,False,Siren7,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107614468,1107614468
골프_골프백,썬마운틴 카모플라쥬 골프백,"280,000",SOLD_OUT,중고나라 회원,True,False,검붕이 l 서울,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107610888,1107610888
골프_골프백,말본골프백 캐디백 보스턴백 카키,"2,222",SOLD_OUT,인증+안전거래 회원,True,False,혁신ds,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107609584,1107609584
골프_골프백,pxg골프백 캐디백 스탠드백 블랙 스컬 말본골프백,"290,000",ESCROW,인증+안전거래 회원,True,True,혁신ds,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107609494,1107609494
골프_골프백,말본 보스턴백 토트백 골프백 팝니다,"12,345",SOLD_OUT,중고나라 회원,True,False,아팔란치아주인,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107606864,1107606864
골프_골프백,커터앤백 핑크 보스톤백 팝니다.,"25,000",SALE,중고나라 회원,False,True,300js,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107605713,1107605713
골프_골프백,오지오 골프백 팝니다,"80,000",ESCROW,인증+안전거래 회원,True,True,고래밥,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107602149,1107602149
골프_골프백,(신품)포르쉐 블랙카모 보스턴백 여행용 가방 8만원,"80,000",ESCROW,중고나라 회원,True,True,pomman12,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107600020,1107600020
골프_골프백,(신품)포르쉐 회색 보스턴백 여행용 가방 8만원,"80,000",ESCROW,중고나라 회원,True,True,pomman12,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107599953,1107599953
골프_골프백,나이키 골프백 핑크 스탠드백 삽니다.,"333,333",SALE,본인인증 회원,False,True,TheOven,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107599312,1107599312
골프_골프백,말본 m버킷 클래식 스탠드백 보스턴백 세트 골프백 박스채 새상품,"285,000",ESCROW,중고나라 회원,True,True,simsonpark,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107597925,1107597925
골프_골프백,파리게이츠 여성용 바퀴형 트롤리 골프백 골프가방 새상품 팔아요,"227,000",ESCROW,중고나라 회원,True,True,ghskzm,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107597873,1107597873
