카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
남성패션_신발,반스(VANS) 올드스쿨 그레이 스니커즈 운동화 보드화 판매(260),"30,000",SALE,본인인증 회원,False,True,왕코군,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697436,1107697436
남성패션_신발,뉴발란스 300 레브라이트 CRT300EC 스니커즈 운동화 판매(260),"30,000",SALE,본인인증 회원,False,True,왕코군,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697421,1107697421
남성패션_신발,크록스 에코 클로그 280,"2,000",SALE,본인인증 회원,False,True,박토리씨,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697339,1107697339
남성패션_신발,[280] 라코스테 텍스타일 L003 메탈릭,"85,000",ESCROW,본인인증 회원,True,True,구루구루3,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697318,1107697318
남성패션_신발,르브론21 타히티안 280 로얄사이즈 - 정품 새제품,"97,000",SALE,중고나라 회원,False,True,백호태섭,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697138,1107697138
남성패션_신발,[265] 뉴발란스 자운드 991 그레이,"540,000",SALE,본인인증 회원,False,True,밤바라밤바라,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697028,1107697028
남성패션_신발,푸마PUMA TX-3 255사이즈 운동화,"35,000",ESCROW,중고나라 회원,True,True,거대한새,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696282,1107696282
남성패션_신발,펜디 플로우 패브릭 스니커즈 남성 운동화,"590,000",ESCROW,중고나라 회원,True,True,hwan****,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696070,1107696070
남성패션_신발,285mm 디젤 스니커즈,"45,000",ESCROW,중고나라 회원,True,True,0봉봉구0,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695540,1107695540
남성패션_신발,290mm 아디다스 울트라부스트 20 글로우 런닝화,"32,000",ESCROW,중고나라 회원,True,True,0봉봉구0,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695504,1107695504
남성패션_신발,265mm 나이키 루나레이드 플래티넘 농구화,"48,000",ESCROW,중고나라 회원,True,True,냥냥2냥2,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695462,1107695462
남성패션_신발,디스커버리 남성 운동화 265,"40,000",SOLD_OUT,인증+안전거래 회원,True,False,꿀템샵,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695446,1107695446
남성패션_신발,260 나이키 코비AD 라이즈 미드 농구화,"48,000",ESCROW,중고나라 회원,True,True,냥냥2냥2,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695444,1107695444
남성패션_신발,260mm 아디다스 가젤 메탈릭 실버 스니커즈,"38,000",ESCROW,중고나라 회원,True,True,냥냥2냥2,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695428,1107695428
남성패션_신발,260mm 쿠에른 가죽 슬립온,"65,000",ESCROW,중고나라 회원,True,True,냥냥2냥2,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695413,1107695413
