카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
도서_기타,"스타워즈 백과사전 서적, 책 팝니다.","70,000",SALE,본인인증 회원,False,True,로세니아,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697330,1107697330
도서_기타,"사진으로 기록된 20세기 전쟁사 팝니다.
​","60,000",SALE,본인인증 회원,False,True,로세니아,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697137,1107697137
도서_기타,옛날잡지 (과학동아/전원생활/coffee/coffee&Tea/DESIGN),"12,345",SALE,인증+안전거래 회원,False,True,너울가지,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696457,1107696457
도서_기타,최강의 식사,"10,000",SALE,본인인증 회원,False,True,득템하자용,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694173,1107694173
도서_기타,(미사용) (2권세트)그래머인유즈 grammar in use INTERMEDIATE,"20,000",SALE,본인인증 회원,False,True,About me,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107692717,1107692717
도서_기타,세키로 아트웍스 저렴히 판매합니다,"25,000",SALE,인증+안전거래 회원,False,True,원더라면,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107692475,1107692475
도서_기타,피오 표토북,"50,000",ESCROW,중고나라 회원,True,True,저녀크,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107685463,1107685463
도서_기타,크레이지 자이언트 스페셜 사진집 판매합니다,"35,000",SALE,인증+안전거래 회원,False,True,바부바부7979,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107683928,1107683928
도서_기타,찬송가 cd.테이프팝니다,"3,000",SALE,중고나라 회원,False,True,su 범물,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107682047,1107682047
도서_기타,유동균 컴활 1급 혼합패키지,"48,000",SALE,중고나라 회원,False,True,스터디플래인,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107680171,1107680171
