카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
도서_비문학/인문학,신학책 (재단책) 판매합니다.,"50,000",ESCROW,중고나라 회원,True,True,jsujs,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697198,1107697198
도서_비문학/인문학,태양의 서커스 - 루치아 굿즈,"15,000",SALE,중고나라 회원,False,True,swansong,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696452,1107696452
도서_비문학/인문학,"철학,부의세계사,반전의한국사_택포15000원(정가5만원)","15,000",SALE,본인인증 회원,False,True,sempre0,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695056,1107695056
도서_비문학/인문학,아동 과학 초등학생 영어 원서 andrew lost 앤드류로스트 Lost,"45,000",ESCROW,인증+안전거래 회원,True,True,듀오퐁,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107693711,1107693711
도서_비문학/인문학,존 키건 2차세계대전사 12000원에 팝니다,"12,000",SALE,중고나라 회원,False,True,알파베타,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107692448,1107692448
도서_비문학/인문학,문재인의 운명 세트(초판1쇄) 무료배송,"30,000",SALE,본인인증 회원,False,True,뿌뿌잉1515,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107692033,1107692033
도서_비문학/인문학,문재인의 위로(초판1쇄) 무료배송,"10,000",SALE,본인인증 회원,False,True,뿌뿌잉1515,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107691862,1107691862
도서_비문학/인문학,이나모리 가즈오 책 판매합니다.,"32,000",SALE,중고나라 회원,False,True,크랜스,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107691255,1107691255
도서_비문학/인문학,환생무신 (1-12권),"80,000",ESCROW,중고나라 회원,True,True,빼꼬미,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107690762,1107690762
도서_비문학/인문학,마룡의후예(1-6권),"20,000",ESCROW,중고나라 회원,True,True,빼꼬미,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107690566,1107690566
