카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
도서_소설/문학,[드라마 책] 송지나의 카이스트,"25,000",SALE,중고나라 회원,False,True,swansong,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696428,1107696428
도서_소설/문학,설록 홈즈 소장본 전집세트 팝니다,"40,000",SALE,중고나라 회원,False,True,메탈01,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696366,1107696366
도서_소설/문학,몬테크리스토 백작 1~5권 양장본 (민음사),"30,000",SOLD_OUT,중고나라 회원,False,False,필쏘굿,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695164,1107695164
도서_소설/문학,해리포터 조아라 패러디. 개인지 소장본,"100,000",SALE,중고나라 회원,False,True,메이누라,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107693937,1107693937
도서_소설/문학,스파이교실 원서 초판 미개봉 팝니다,"15,000",SALE,본인인증 회원,False,True,hamellen,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107691473,1107691473
도서_소설/문학,친구여동생 2권 초판 미개봉 팝니다,"20,000",SALE,본인인증 회원,False,True,hamellen,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107691458,1107691458
도서_소설/문학,소드아트온라인 한정판 미개봉 팝니다,"25,000",SALE,본인인증 회원,False,True,hamellen,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107691437,1107691437
도서_소설/문학,애거시 크리스티 전집 (양장) 판매합니다.,"26,000",SALE,중고나라 회원,False,True,크랜스,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107691109,1107691109
도서_소설/문학,판타지 웹소설 약 60권 일괄,"47,000",SALE,중고나라 회원,False,True,은뚜12,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107690624,1107690624
도서_소설/문학,일본 추리소설 11권 일괄판매,"11,111",SOLD_OUT,중고나라 회원,False,False,질 들뢰즈 2,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107690439,1107690439
